idx,cell,a_in,a_out,v_th,e_leak,a_gt,bias_gt,a_h,h_v_mid,h_slope,tau_h_v,v_pre,v_onset
0,R1-6,1.889638,1.416088,-50.344149,-50.000000,0.968860,0.000000,0.500000,-51.081103,-0.200000,-49.776984,-26.367782,-1.728007
1,R7,1.889638,0.522640,-49.572089,-50.000000,0.995424,0.000000,0.500000,-51.081103,-0.200000,-49.776984,-57.662211,34.186352
2,R8,1.889638,1.350322,-50.360510,-50.000000,1.042763,0.000000,0.500000,-51.081103,-0.200000,-49.776984,-37.207334,17.253574
3,L1,1.889638,0.585275,-50.362314,-20.000000,1.659481,0.000000,0.110584,-51.081103,-0.200000,-49.776984,-56.030690,-45.440024
4,L2,1.889638,1.457662,-49.948418,-20.000000,1.800932,0.000000,0.895021,-51.081103,-0.200000,-49.776984,-67.672909,-13.781830
5,L3,1.889638,1.389708,-50.448084,-50.000000,1.787307,0.000000,0.500000,-51.081103,-0.200000,-49.776984,-37.219168,-13.945391
6,L4,1.889638,0.572661,-50.431568,-50.000000,1.696650,0.000000,0.065547,-51.081103,-0.200000,-49.776984,7.512306,-15.732539
7,L5,1.889638,0.571155,-50.468939,-50.000000,1.828454,0.000000,0.051058,-51.081103,-0.200000,-49.776984,-12.317079,-16.383987
8,Mi1,1.889638,0.614212,-50.419574,-50.000000,1.903717,0.000000,0.500000,-51.081103,-0.200000,-49.776984,-35.649640,-17.862244
9,Tm3,1.889638,1.457625,-50.422072,-50.000000,0.503806,0.000000,0.500000,-51.081103,-0.200000,-49.776984,-7.474893,-3.935507
10,Mi4,1.889638,1.283120,-49.534742,-50.000000,1.818111,0.000000,0.500000,-51.081103,-0.200000,-49.776984,-25.900192,-17.226034
11,Mi9,1.889638,0.431883,-49.570362,-50.000000,1.969800,0.000000,0.500000,-51.081103,-0.200000,-49.776984,-28.549679,-23.209046
12,T4a,1.889638,0.530334,-50.269181,-50.000000,0.970636,0.000000,0.500000,-51.081103,-0.200000,-49.776984,-2.973820,-6.360398
13,T4b,1.889638,1.538225,-49.765027,-50.000000,1.018692,0.000000,0.500000,-51.081103,-0.200000,-49.776984,-15.422113,-19.475065
14,T4c,1.889638,0.575066,-49.600818,-50.000000,1.018793,0.000000,0.500000,-51.081103,-0.200000,-49.776984,-8.483073,-18.379980
15,T4d,1.889638,1.730215,-50.789084,-50.000000,1.011415,0.000000,0.500000,-51.081103,-0.200000,-49.776984,-2.049554,-6.169598
16,Tm1,1.889638,0.551495,-50.440118,-50.000000,0.932176,0.000000,0.500000,-51.081103,-0.200000,-49.776984,19.714861,-24.674916
17,Tm2,1.889638,0.754026,-50.425697,-50.000000,1.536524,0.000000,0.500000,-51.081103,-0.200000,-49.776984,7.956073,4.112424
18,Tm4,1.889638,1.779220,-49.755677,-50.000000,0.499192,0.000000,0.500000,-51.081103,-0.200000,-49.776984,-8.321280,-27.864942
19,Tm9,1.889638,0.612998,-50.442601,-50.000000,1.667466,0.000000,0.500000,-51.081103,-0.200000,-49.776984,-1.727871,-5.572040
20,T5a,1.889638,1.470211,-50.421261,-50.000000,1.041786,0.000000,0.500000,-51.081103,-0.200000,-49.776984,-11.623134,-2.354204
21,T5b,1.889638,0.641992,-49.593649,-50.000000,1.049134,0.000000,0.500000,-51.081103,-0.200000,-49.776984,-17.012481,-5.657175
22,T5c,1.889638,1.389336,-50.420849,-50.000000,1.047932,0.000000,0.500000,-51.081103,-0.200000,-49.776984,-10.108406,-1.690220
23,T5d,1.889638,1.400163,-50.422873,-50.000000,0.982475,0.000000,0.500000,-51.081103,-0.200000,-49.776984,-10.051495,-0.980197
24,T1,1.889638,0.552936,-49.590097,-50.000000,0.950208,0.000000,0.500000,-51.081103,-0.200000,-49.776984,15.668495,-15.332153
25,T2,1.889638,1.537580,-50.495538,-50.000000,1.002696,0.000000,0.500000,-51.081103,-0.200000,-49.776984,-3.570721,-0.948423
26,T2a,1.889638,1.703688,-50.732456,-50.000000,1.003709,0.000000,0.500000,-51.081103,-0.200000,-49.776984,-1.955461,0.201895
27,T3,1.889638,1.445317,-50.423967,-50.000000,1.004771,0.000000,0.500000,-51.081103,-0.200000,-49.776984,3.621201,4.075500
28,C2,1.889638,1.386752,-49.547251,-50.000000,1.034932,0.000000,0.500000,-51.081103,-0.200000,-49.776984,-36.637715,13.764318
29,C3,1.889638,1.391777,-49.537446,-50.000000,1.033970,0.000000,0.500000,-51.081103,-0.200000,-49.776984,-19.982422,-9.021921
30,Lawf1,1.889638,1.318301,-50.038085,-50.000000,0.991320,0.000000,0.500000,-51.081103,-0.200000,-49.776984,4.972988,7.641668
31,Lawf2,1.889638,0.588044,-49.579883,-50.000000,1.023746,0.000000,0.500000,-51.081103,-0.200000,-49.776984,-26.661935,-5.456111
32,Dm3v,1.889638,1.462346,-50.392283,-50.000000,1.041821,0.000000,0.500000,-51.081103,-0.200000,-49.776984,-27.757065,5.304548
33,Lai,1.889638,1.776431,-49.656726,-50.000000,0.981943,0.000000,0.500000,-51.081103,-0.200000,-49.776984,-65.248750,-23.868368
34,Mi10,1.889638,1.879335,-49.639039,-50.000000,1.023673,0.000000,0.500000,-51.081103,-0.200000,-49.776984,-20.952156,-3.598798
35,Mi13,1.889638,1.445296,-49.513484,-50.000000,0.960885,0.000000,0.500000,-51.081103,-0.200000,-49.776984,-26.825716,2.488438
36,Mi14,1.889638,1.416351,-49.524800,-50.000000,0.974229,0.000000,0.500000,-51.081103,-0.200000,-49.776984,-4.490241,-0.086204
