cell_idx,cell,a_gt,bias_gt,a_in,a_out,e_leak,v_th,tau_lp,tau_hp,a_h,v_pre,v_onset,v_spot_end,delta_v
0,R1-6,1.012411,19.480392,0.984513,0.950636,-0.480829,-50.000000,9.321500,208.870453,0.000000,19.414829,19.480392,21.343824,1.863432
1,R7,1.030938,18.702120,0.984513,0.982006,0.498428,-50.000000,9.938683,191.977722,0.000000,18.651791,18.702120,20.511427,1.809307
2,R8,0.999706,19.552847,0.984513,1.008496,0.103648,-50.000000,10.564502,199.809494,0.000000,19.495226,19.552847,21.332315,1.779469
3,L1,1.019394,-10.985533,0.984513,0.991165,0.422671,-50.000000,10.097342,198.790253,-0.020657,-10.882033,-10.985533,-11.413130,-0.427597
4,L2,1.000075,-18.976793,0.984513,1.019810,0.434163,-50.000000,10.386356,194.143417,0.034818,-18.840309,-18.976793,-19.504608,-0.527815
5,L3,0.960880,-7.429910,0.984513,1.013436,0.025922,-50.000000,9.517178,190.635895,0.000000,-7.372609,-7.429910,-7.656066,-0.226156
6,L4,0.974893,-0.064838,0.984513,1.046649,-0.355441,-50.000000,9.756145,204.082108,0.011842,-0.056483,-0.064838,-0.081291,-0.016453
7,L5,1.041102,-1.895141,0.984513,0.989298,-0.114572,-50.000000,9.489388,190.344269,-0.007422,-1.894741,-1.895141,-1.883202,0.011939
8,Mi1,1.027038,-3.027411,0.984513,0.967531,0.297575,-50.000000,10.440163,206.279770,0.000000,-3.054113,-3.027411,-2.976403,0.051008
9,Tm3,0.987821,1.845672,0.984513,0.991332,-0.352588,-50.000000,9.089242,191.606583,0.000000,1.806934,1.845672,1.908623,0.062951
10,Mi4,1.003139,1.151788,0.984513,1.006445,-0.203610,-50.000000,9.593985,195.055893,0.000000,1.157818,1.151788,1.108037,-0.043751
11,Mi9,0.989295,1.958139,0.984513,1.008121,-0.359386,-50.000000,9.425476,190.555542,0.000000,1.973065,1.958139,1.921938,-0.036201
12,T4a,1.049056,2.298503,0.984513,1.012190,-0.054417,-50.000000,10.894479,206.271973,0.000000,2.290176,2.298503,2.308935,0.010432
13,T4b,1.044257,1.430641,0.984513,1.040206,-0.406928,-50.000000,9.823335,202.772964,0.000000,1.423539,1.430641,1.439208,0.008566
14,T4c,1.034947,2.572633,0.984513,0.968721,0.372952,-50.000000,9.026303,194.388565,0.000000,2.563845,2.572633,2.581688,0.009055
15,T4d,1.023924,1.481359,0.984513,1.049149,-0.434099,-50.000000,9.953213,199.726654,0.000000,1.474004,1.481359,1.489574,0.008215
16,Tm1,0.964091,3.646941,0.984513,0.989702,-0.256590,-50.000000,9.352578,198.893723,0.000000,3.745528,3.646941,3.468228,-0.178712
17,Tm2,0.996321,5.064069,0.984513,0.959579,-0.202617,-50.000000,10.875253,207.843216,0.000000,5.122118,5.064069,4.932535,-0.131534
18,Tm4,1.042310,2.673257,0.984513,1.047669,0.167226,-50.000000,9.740434,197.436279,0.000000,2.720407,2.673257,2.582319,-0.090938
19,Tm9,0.963833,0.817802,0.984513,1.010063,0.431321,-50.000000,9.760215,200.409103,0.000000,0.823319,0.817802,0.807325,-0.010476
20,T5a,1.015213,3.877689,0.984513,0.982863,-0.438564,-50.000000,10.468155,202.579407,0.000000,3.870054,3.877689,3.873921,-0.003768
21,T5b,0.953905,3.741475,0.984513,0.969270,-0.013969,-50.000000,10.564538,194.448364,0.000000,3.734567,3.741475,3.738730,-0.002744
22,T5c,0.973609,3.840341,0.984513,1.014268,-0.389415,-50.000000,10.719590,206.734207,0.000000,3.832736,3.840341,3.837117,-0.003223
23,T5d,0.985152,4.030774,0.984513,0.996418,0.442881,-50.000000,10.846887,209.657623,0.000000,4.025247,4.030774,4.026953,-0.003820
24,T1,0.980179,-0.223718,0.984513,1.035153,0.385239,-50.000000,10.260145,200.465302,0.000000,-0.145769,-0.223718,-0.370321,-0.146602
25,T2,0.974185,6.987543,0.984513,0.951691,-0.127875,-50.000000,9.228912,192.510391,0.000000,6.965751,6.987543,6.994112,0.006568
26,T2a,0.957072,5.306535,0.984513,1.013275,-0.402445,-50.000000,10.500538,194.681122,0.000000,5.297308,5.306535,5.303642,-0.002893
27,T3,0.994803,7.959950,0.984513,0.961358,0.220295,-50.000000,10.505289,201.378479,0.000000,7.943416,7.959950,7.962179,0.002228
28,C2,1.041466,0.763021,0.984513,1.016661,0.400394,-50.000000,10.414424,193.892349,0.000000,0.745800,0.763021,0.797615,0.034594
