cell_idx,cell,a_gt,bias_gt,a_in,a_out,e_leak,v_th,tau_lp,tau_hp,a_h,v_pre,v_onset,v_spot_end,delta_v
0,R1-6,0.979325,2.399837,3.615033,0.660893,-18.357609,-31.659243,12.676167,202.394592,0.000000,2.349454,2.399837,6.821870,4.422034
1,R7,1.017565,-17.206120,3.615033,10.000000,-36.546696,-12.995975,10.115849,198.536255,0.000000,-17.258993,-17.206120,-12.386209,4.819910
2,R8,1.046883,-1.722282,3.615033,2.932798,-21.625605,-28.005579,59.689301,202.385406,0.000000,-1.737735,-1.722282,0.980313,2.702596
3,L1,1.855137,-19.974241,3.615033,3.180295,-19.937910,-29.566942,10.000000,244.093277,1.000000,-19.937910,-19.974241,-25.844717,-5.870476
4,L2,1.948405,-17.968826,3.615033,2.292464,-16.958790,-33.362938,10.000000,253.434845,0.985033,-17.908970,-17.968826,-25.626171,-7.657345
5,L3,1.629355,-22.433266,3.615033,6.608022,-22.745323,-26.985977,42.047558,196.777527,0.000000,-22.378893,-22.433266,-24.442259,-2.008993
6,L4,0.689314,-5.135177,3.615033,0.849679,-5.122893,-44.870502,10.397135,254.498474,1.000000,-5.122894,-5.135177,-10.300573,-5.165397
7,L5,2.000000,-30.145348,3.615033,2.414541,-24.113459,-25.681879,10.000000,196.060394,0.782723,-30.151045,-30.145348,-19.506083,10.639265
8,Mi1,2.000000,-21.906006,3.615033,0.344122,-13.468188,-36.868187,15.637567,199.635895,0.000000,-21.879581,-21.906006,-10.478006,11.427999
9,Tm3,1.623510,-9.551782,3.615033,0.756999,-4.628231,-45.207966,10.000000,206.171463,0.000000,-9.495185,-9.551782,6.216242,15.768024
10,Mi4,2.000000,-26.763189,3.615033,10.000000,-25.961004,-23.971178,10.000000,202.995728,0.000000,-26.737633,-26.763189,-13.182600,13.580589
11,Mi9,2.000000,-10.544973,3.615033,1.729365,-20.308542,-29.409313,12.351092,202.975769,0.000000,-10.417290,-10.544973,-18.822580,-8.277607
12,T4a,0.977248,-17.316137,3.615033,4.440983,-19.515369,-30.621176,15.072938,191.692993,0.000000,-17.472824,-17.316137,-34.943253,-17.627115
13,T4b,1.026773,-27.814735,3.615033,6.218686,-22.795189,-26.944120,10.000000,204.495453,0.000000,-27.601023,-27.814735,-22.247713,5.567022
14,T4c,0.958304,-34.682205,3.615033,5.079472,-28.880684,-21.435478,10.000000,191.720947,0.000000,-34.870766,-34.682205,-24.967482,9.714724
15,T4d,0.988920,-25.901205,3.615033,7.954104,-11.426691,-38.381702,40.112743,196.461014,0.000000,-25.925068,-25.901205,-23.891891,2.009314
16,Tm1,2.000000,3.351004,3.615033,0.647819,-11.190422,-38.897324,10.000000,207.420151,0.000000,3.413053,3.351004,-6.914193,-10.265197
17,Tm2,2.000000,-3.593508,3.615033,0.496272,-24.045965,-25.881489,10.000000,206.657211,0.000000,-3.553204,-3.593508,-11.180321,-7.586812
18,Tm4,1.760966,-15.025846,3.615033,4.549350,-19.132708,-30.638388,10.000000,201.728363,0.000000,-15.139248,-15.025846,-27.802351,-12.776505
19,Tm9,1.581882,6.818632,3.615033,0.126635,-2.069873,-47.909714,10.000000,198.107452,0.000000,7.074631,6.818632,-1.004082,-7.822714
