cell,polarity,time_s,dff
Mi1,ON,0.0,0.0
Mi1,ON,0.04081632653061224,0.0
Mi1,ON,0.08163265306122448,0.03076923076923077
Mi1,ON,0.12244897959183673,0.046153846153846156
Mi1,ON,0.16326530612244897,0.1076923076923077
Mi1,ON,0.20408163265306123,0.13846153846153847
Mi1,ON,0.24489795918367346,0.16923076923076924
Mi1,ON,0.2857142857142857,0.23076923076923078
Mi1,ON,0.32653061224489793,0.2923076923076923
Mi1,ON,0.36734693877551017,0.35384615384615387
Mi1,ON,0.4081632653061224,0.4153846153846154
Mi1,ON,0.4489795918367347,0.4923076923076923
Mi1,ON,0.4897959183673469,0.5692307692307692
Mi1,ON,0.5306122448979592,0.6307692307692307
Mi1,ON,0.5714285714285714,0.7076923076923076
Mi1,ON,0.6122448979591837,0.7692307692307692
Mi1,ON,0.6530612244897959,0.8307692307692307
Mi1,ON,0.6938775510204082,0.8615384615384616
Mi1,ON,0.7346938775510203,0.9230769230769231
Mi1,ON,0.7755102040816326,0.9692307692307691
Mi1,ON,0.8163265306122449,0.9846153846153844
Mi1,ON,0.8571428571428571,1.0307692307692307
Mi1,ON,0.8979591836734694,1.046153846153846
Mi1,ON,0.9387755102040816,1.0615384615384615
Mi1,ON,0.9795918367346939,1.123076923076923
Mi1,ON,1.0204081632653061,1.169230769230769
Mi1,ON,1.0612244897959184,1.2153846153846153
Mi1,ON,1.1020408163265307,1.2461538461538462
Mi1,ON,1.142857142857143,1.2769230769230768
Mi1,ON,1.183673469387755,1.2615384615384615
Mi1,ON,1.2244897959183674,1.2769230769230768
Mi1,ON,1.2653061224489797,1.3076923076923077
Mi1,ON,1.306122448979592,1.3076923076923077
Mi1,ON,1.3469387755102042,1.3076923076923077
Mi1,ON,1.3877551020408163,1.3076923076923077
Mi1,ON,1.4285714285714286,1.3076923076923077
Mi1,ON,1.469387755102041,1.323076923076923
Mi1,ON,1.5102040816326532,1.3384615384615384
Mi1,ON,1.5510204081632655,1.3538461538461537
Mi1,ON,1.5918367346938775,1.3538461538461537
Mi1,ON,1.6326530612244898,1.3384615384615384
Mi1,ON,1.6734693877551021,1.3384615384615384
Mi1,ON,1.7142857142857144,1.3384615384615384
Mi1,ON,1.7551020408163267,1.3538461538461537
Mi1,ON,1.7959183673469388,1.3538461538461537
Mi1,ON,1.836734693877551,1.3692307692307693
Mi1,ON,1.8775510204081634,1.3692307692307693
Mi1,ON,1.9183673469387756,1.3538461538461537
Mi1,ON,1.959183673469388,1.3538461538461537
Mi1,ON,2.0,1.3538461538461537
Mi1,ON,2.0408163265306123,1.3538461538461537
