idx,cell,a_in,a_out,v_th,e_leak,a_gt,bias_gt,a_h,h_v_mid,h_slope,tau_h_v,v_pre,v_onset
43,Tm5a,1.363538,1.625554,-50.492000,-50.000000,0.959302,0.000000,0.500000,-48.595095,-0.280964,-49.093579,-35.007607,13.542942
44,Tm5b,1.363538,1.506281,-50.526039,-50.000000,1.045060,0.000000,0.500000,-48.595095,-0.280964,-49.093579,-52.920547,27.461500
45,Tm5c,1.363538,1.013496,-49.688328,-50.000000,1.024933,0.000000,0.500000,-48.595095,-0.280964,-49.093579,6.125486,-4.881162
46,Tm5f,1.363538,1.416378,-50.393505,-50.000000,0.975482,0.000000,0.500000,-48.595095,-0.280964,-49.093579,-12.653949,-6.162059
47,TmY10,1.363538,1.330979,-50.375850,-50.000000,1.003946,0.000000,0.500000,-48.595095,-0.280964,-49.093579,20.263149,2.961724
48,TmY11,1.363538,0.878863,-50.569263,-50.000000,1.046356,0.000000,0.500000,-48.595095,-0.280964,-49.093579,-24.235368,-0.089076
49,TmY14,1.363538,1.316995,-50.533287,-50.000000,1.005054,0.000000,0.500000,-48.595095,-0.280964,-49.093579,-23.883438,-18.403178
50,TmY15,1.363538,1.307250,-50.343354,-50.000000,0.980221,0.000000,0.500000,-48.595095,-0.280964,-49.093579,1.321755,2.705002
51,TmY3,1.363538,1.455787,-50.582733,-50.000000,0.955909,0.000000,0.500000,-48.595095,-0.280964,-49.093579,-9.612980,-17.381526
52,TmY4,1.363538,0.578369,-49.571611,-50.000000,0.991663,0.000000,0.500000,-48.595095,-0.280964,-49.093579,-42.605228,14.556528
53,TmY5a,1.363538,0.672852,-49.666720,-50.000000,1.033526,0.000000,0.500000,-48.595095,-0.280964,-49.093579,-10.723850,-9.641547
54,TmY9q,1.363538,0.594750,-49.639354,-50.000000,0.968987,0.000000,0.500000,-48.595095,-0.280964,-49.093579,-18.415572,-6.376592
55,TmY9q__perp,1.363538,1.160253,-50.124676,-50.000000,0.962720,0.000000,0.500000,-48.595095,-0.280964,-49.093579,-16.754791,-7.338013
