,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Mi4,Mi9,T1,T2,T2a,T3,T4a,T4b,T4c,T4d,T5a,T5b,T5c,T5d,Tm1,Tm2,Tm20,Tm21,Tm3,Tm4,Tm9,C2,C3,Lawf1,Lawf2
R1-6,10.000000,,,2.530328,1.632297,0.576474,10.000000,,,,,0.248757,,,,,,,,,,,,,,,,,,,1.017849,0.372748,,
R7,,,6.807363,6.312429,,1.955430,,,0.100000,0.100000,7.866723,,,,,,,,,,,,,,,10.000000,,,,,,0.439242,1.017175,
R8,,1.196089,0.100000,10.000000,0.100000,1.477988,,0.100000,0.100000,0.100000,7.852121,0.997507,,,,,,,,,,,,,,10.000000,0.970188,,,,1.000437,0.443419,0.100000,0.967099
L1,0.100000,0.100000,0.100000,0.100000,5.370763,4.132032,0.100000,5.112975,6.562211,0.100000,,1.002344,1.025539,10.000000,,,,,,,,,,0.100000,0.100000,,,6.682727,,,0.402107,0.413730,,0.964268
L2,10.000000,,0.100000,0.100000,2.790494,0.100000,6.238514,0.100000,0.100000,0.100000,0.100000,0.286261,0.912598,0.986797,,,,,,,,,,0.847929,0.450421,0.100000,,0.100000,3.470901,,1.046771,1.256469,,
L3,,9.026547,4.947045,0.100000,0.100000,,,,10.000000,0.100000,1.065742,1.022369,,,,,,,,,,,,0.100000,10.000000,0.100000,1.002434,,10.000000,0.100000,0.982498,1.022638,0.100000,
L4,0.670589,,,0.100000,10.000000,10.000000,0.863512,1.021941,0.734983,,0.100000,,1.048987,,,,,,,,,,,3.457183,10.000000,,,,10.000000,1.031160,,0.989510,1.041098,0.975093
L5,,,,10.000000,9.800241,,,10.000000,0.100000,0.335289,0.771235,1.047996,0.974559,2.890857,,,,,,,,,,0.100000,0.100000,0.286606,0.100000,0.100000,0.100000,,0.482514,0.100000,1.011700,1.025357
Mi1,,0.100000,10.000000,2.987696,0.100000,,,0.100000,1.451949,10.000000,0.100000,1.006685,1.024107,2.196503,0.996040,0.453568,0.784722,0.447017,0.668857,,,,,0.100000,0.100000,4.175725,0.100000,0.100000,0.100000,,0.552134,0.100000,2.986327,0.378577
Mi4,,,,,0.129454,5.165807,,0.100000,0.100000,9.866188,1.107655,1.000895,,0.100000,,0.100000,0.100000,1.014934,1.039551,,,,,10.000000,0.100000,3.647512,,3.181104,3.030692,9.226502,0.984649,0.986528,0.100000,1.039747
Mi9,,,,,,9.018171,4.830422,,0.100000,0.100000,,,1.009866,0.100000,0.998553,1.593870,2.356235,0.954236,1.042757,,,,,0.100000,10.000000,10.000000,0.100000,0.100000,5.718130,0.100000,1.001090,,1.600991,0.990051
T1,0.996852,0.968036,1.040555,,1.896547,0.120991,,1.014412,,,0.978365,,,,,,,,,,,,,0.974396,0.982336,0.955021,,,1.036515,,,,,
T2,,,,,,,,0.983111,0.747378,,1.027590,,0.975703,0.982774,1.026678,,,,,,,,,1.026403,1.036804,,0.999857,1.027527,1.006085,,,,,0.959942
T2a,,,,,,,,,5.967540,,,,1.024111,10.000000,0.967539,,,,,,,,,0.100000,,1.576113,1.005846,0.100000,0.953364,,1.019471,,,0.952150
T3,,,,,,,,,,,,,1.032395,1.014405,1.046764,,,,1.000939,,,,,0.971550,,,0.968629,0.749053,,,,1.039870,,1.032761
T4a,,,,,,,,,,,5.522857,,,,,8.909446,0.961101,1.010952,1.041570,1.015089,,,,,,,,,,,,0.146395,,
T4b,,,,,,,,,3.341022,0.100000,7.638185,,,,,0.100000,0.378200,,1.000416,,1.021114,,,,,,,,,,,,,
T4c,,,,,,,,,,,0.832993,,0.961928,,,,,1.030043,,,,0.961793,1.040644,,,,,,,,,,,
T4d,,,,,,,,,1.033048,,,,,,,,,0.961995,0.994495,,,,0.957345,,,,,,,,,,,
T5a,,,,,,,,,,,,,1.042387,,,1.024529,,,,0.995612,1.007864,,,,0.644338,,,,,,,,,
T5b,,,,,,,,,,,,,1.037814,,,,1.034757,,,0.955776,0.978769,,,,,,,,,,,,,
T5c,,,,,,,,,,,,,0.958554,,,,,1.045669,,,1.020340,1.022866,0.979186,,,,,,,,,,,
T5d,,,,,,,,,,,,,0.973980,,,,,0.981901,0.969546,,,,1.024873,,,,,,,,,,,
Tm1,,,,,0.100000,,,2.056877,0.331163,10.000000,0.100000,1.003263,0.973466,0.100000,0.530814,,,1.018861,,0.567503,0.992768,0.956001,0.985285,0.445661,0.100000,0.100000,9.414544,0.100000,0.100000,0.100000,0.973356,1.416564,,1.261730
Tm2,,,,1.015733,0.100000,,,0.353404,5.567175,9.777303,3.601191,0.761019,0.552071,0.100000,0.737267,1.004380,,0.983871,,0.594242,1.025948,0.982793,1.040779,0.100000,,,10.000000,10.000000,0.100000,10.000000,,1.081754,0.100000,0.950835
