idx,ctype,inp_gain,out_gain,Ih_gmax,Ih_gmax_off,out_scale,Ih_midv,Ih_slope,tau_midv,Ih_midv_off,Ih_slope_off,tau_midv_off
0,C2,1.423801,0.217968,0.000000,0.000000,1.000000,-48.795625,-0.200000,-51.001053,-48.684217,-0.200000,-47.564860
1,C3,1.337646,1.564567,0.000000,0.000000,1.000000,-48.795625,-0.200000,-51.001053,-48.684217,-0.200000,-47.564860
2,L1,1.695405,0.100000,0.000000,0.000000,6.907450,-48.795625,-0.200000,-51.001053,-48.684217,-0.200000,-47.564860
3,L2,0.100000,0.100000,0.000000,0.000000,6.939936,-48.795625,-0.200000,-51.001053,-48.684217,-0.200000,-47.564860
4,L3,0.838360,0.779506,0.000000,0.000000,2.001297,-48.795625,-0.200000,-51.001053,-48.684217,-0.200000,-47.564860
5,L4,1.403970,0.100000,0.000000,0.000000,0.918198,-48.795625,-0.200000,-51.001053,-48.684217,-0.200000,-47.564860
6,L5,1.337646,1.564567,0.000000,0.000000,0.000000,-48.795625,-0.200000,-51.001053,-48.684217,-0.200000,-47.564860
7,Mi1,1.728498,0.100000,0.000000,0.000000,0.000000,-48.795625,-0.200000,-51.001053,-48.684217,-0.200000,-47.564860
8,Mi4,1.728498,0.100000,0.000000,0.000000,0.000000,-48.795625,-0.200000,-51.001053,-48.684217,-0.200000,-47.564860
9,Mi9,1.145777,1.811952,51.071831,52.219852,2.845825,-48.795625,-0.200000,-51.001053,-48.684217,-0.200000,-47.564860
10,R1-6,4.622976,1.792445,53.593682,47.661843,1.000000,-48.795625,-0.200000,-51.001053,-48.684217,-0.200000,-47.564860
11,R7,0.100000,0.100000,0.000000,0.000000,1.000000,-48.795625,-0.200000,-51.001053,-48.684217,-0.200000,-47.564860
12,R8,1.370899,0.100000,0.000000,0.000000,1.000000,-48.795625,-0.200000,-51.001053,-48.684217,-0.200000,-47.564860
13,T1,0.712439,1.590348,0.000000,0.000000,1.000000,-48.795625,-0.200000,-51.001053,-48.684217,-0.200000,-47.564860
14,T2,1.533443,0.669201,0.000000,0.000000,1.000000,-48.795625,-0.200000,-51.001053,-48.684217,-0.200000,-47.564860
15,T2a,3.343245,2.402458,0.000000,0.000000,1.000000,-48.795625,-0.200000,-51.001053,-48.684217,-0.200000,-47.564860
16,T3,3.343245,2.402458,0.000000,0.000000,1.000000,-48.795625,-0.200000,-51.001053,-48.684217,-0.200000,-47.564860
17,T4a,1.529071,1.516168,0.000000,0.000000,0.000000,-48.795625,-0.200000,-51.001053,-48.684217,-0.200000,-47.564860
18,T4b,0.100000,0.100000,0.000000,0.000000,0.000000,-48.795625,-0.200000,-51.001053,-48.684217,-0.200000,-47.564860
19,T4c,0.910036,0.516041,0.000000,0.000000,0.000000,-48.795625,-0.200000,-51.001053,-48.684217,-0.200000,-47.564860
20,T4d,0.100000,1.502106,0.865348,0.000000,0.000000,-48.795625,-0.200000,-51.001053,-48.684217,-0.200000,-47.564860
21,T5a,0.100000,0.100000,0.000000,0.000000,0.000000,-48.795625,-0.200000,-51.001053,-48.684217,-0.200000,-47.564860
22,T5b,1.501610,0.100000,0.000000,0.000000,0.000000,-48.795625,-0.200000,-51.001053,-48.684217,-0.200000,-47.564860
23,T5c,4.622976,1.792445,53.593682,47.661843,0.000000,-48.795625,-0.200000,-51.001053,-48.684217,-0.200000,-47.564860
24,T5d,0.100000,0.100000,0.000000,0.000000,0.000000,-48.795625,-0.200000,-51.001053,-48.684217,-0.200000,-47.564860
25,Tm1,0.169204,0.100000,0.000000,0.000000,1.056458,-48.795625,-0.200000,-51.001053,-48.684217,-0.200000,-47.564860
26,Tm2,1.695405,0.100000,0.000000,0.000000,1.504546,-48.795625,-0.200000,-51.001053,-48.684217,-0.200000,-47.564860
27,Tm20,1.533443,0.669201,0.000000,0.000000,1.000000,-48.795625,-0.200000,-51.001053,-48.684217,-0.200000,-47.564860
28,Tm21,1.454897,0.119057,0.890581,0.001723,1.000000,-48.795625,-0.200000,-51.001053,-48.684217,-0.200000,-47.564860
29,Tm3,0.717484,0.100000,0.000000,0.000000,0.696248,-48.795625,-0.200000,-51.001053,-48.684217,-0.200000,-47.564860
30,Tm4,1.533443,0.669201,0.000000,0.000000,2.845324,-48.795625,-0.200000,-51.001053,-48.684217,-0.200000,-47.564860
31,Tm9,0.838360,0.779506,0.000000,0.000000,3.125325,-48.795625,-0.200000,-51.001053,-48.684217,-0.200000,-47.564860
