,C2,C3,L1,L2,L3,L4,L5,Mi1,Mi4,Mi9,R1-6,R7,R8,T1,T2,T2a,T3,T4a,T4b,T4c,T4d,T5a,T5b,T5c,T5d,Tm1,Tm2,Tm20,Tm21,Tm3,Tm4,Tm9
C2,1.100634,1.407807,0.470461,0.100000,0.501721,0.380780,1.597688,1.633365,1.536086,,0.778476,0.941842,1.169120,0.540604,1.013133,0.962247,1.021427,,,,,,,,,0.431930,,,,,,0.408807
C3,0.949698,,0.320704,0.326922,0.538766,1.079726,0.100000,0.100000,0.950419,0.524448,0.981126,,,0.423159,1.804856,1.037560,1.007283,1.003513,1.008904,1.034833,1.044796,,,,,1.588492,1.116741,0.415240,1.024297,0.989585,1.635848,0.490523
L1,0.123879,0.217098,0.100000,0.100000,1.042105,0.100000,3.863010,5.080072,0.100000,,0.100000,18.747649,0.483521,13.921022,0.100000,0.100000,,,,,,,,,,0.100000,0.100000,,,0.586604,,
L2,0.816195,1.906930,0.100000,0.147646,6.966216,3.691762,0.100000,0.100000,1.108974,0.100000,0.759364,,1.929332,0.100000,2.623439,1.001807,,,,,,,,,,2.430383,5.470826,0.472546,,0.100000,4.317268,
L3,0.897926,1.767690,0.100000,0.100000,,,,1.232600,0.100000,1.905380,,0.100000,0.259392,0.100000,,,,,,,,,,,,0.100000,17.863131,0.100000,1.013143,,12.261755,8.687152
L4,,1.260717,0.100000,0.752377,0.100000,0.985693,1.686083,0.100000,,7.195002,3.772709,,,,0.846850,,,,,,,,,,,0.300600,0.100000,,,,15.851044,8.152413
L5,0.100000,0.287917,1.779451,8.607164,,,8.097036,0.100000,0.100000,0.100000,,,,0.100000,0.100000,27.286460,,,,,,,,,,0.100000,0.100000,21.277981,0.993309,0.100000,0.100000,
Mi1,0.100000,0.100000,0.100000,0.100000,,,0.100000,3.109428,3.001984,8.255225,,0.100000,0.100000,0.100000,0.365089,10.713472,0.100000,13.750688,15.445064,11.005303,0.100000,,,,,0.100000,0.177559,17.624647,0.960790,14.243230,0.100000,
Mi4,1.046208,1.036140,,0.100000,0.100000,,0.241803,0.834970,1.322075,0.100000,,,,1.180230,,0.997234,,22.312875,3.609290,2.642711,0.963947,,,,,0.704593,0.100000,0.100000,,5.571612,1.045659,0.100000
Mi9,0.956375,,,,8.401118,1.461290,,0.241965,6.032867,,,,,,2.413842,0.100000,6.884309,0.100000,0.100000,0.100000,0.350576,,,,,0.100000,1.525558,9.350239,1.028564,0.100000,1.384693,0.100000
R1-6,0.422609,1.226483,5.274082,4.426141,9.543911,2.137620,,,,,2.851996,,,0.100000,,,,,,,,,,,,,,,,,,
R7,,0.453457,0.100000,,14.411453,,,4.898226,0.100000,2.454244,,,0.100000,,,,,,,,,,,,,,,6.446117,,,,
R8,0.365809,0.410281,11.107583,0.100000,12.994953,,15.606969,14.201231,0.100000,24.410312,,0.100000,0.100000,0.100000,,,,,,,,,,,,,,13.245127,0.967361,,,
T1,,,,0.761776,0.100000,,0.100000,,,9.484082,7.019154,18.279728,0.100000,,,,,,,,,,,,,2.341365,0.100000,0.100000,,,0.100000,
T2,,,,,,,0.100000,1.799699,,4.767442,,,,,2.264086,0.993649,0.993228,,,,,,,,,1.573407,0.573265,,1.048597,4.384306,0.100000,
T2a,1.231220,,,,,,,2.035058,,,,,,,0.978452,0.100000,0.100000,,,,,,,,,8.340505,,10.966515,1.036319,0.100000,0.100000,
T3,,0.982296,,,,,,,,,,,,,0.100000,0.956630,1.004276,,,,0.975008,,,,,0.100000,,,0.984571,5.491183,,
T4a,,0.100000,,,,,,,,7.044092,,,,,,,,4.557393,0.990032,0.965907,0.974272,0.991334,,,,,,,,,,
T4b,,,,,,,,0.100000,0.998344,8.061339,,,,,,,,0.100000,0.100000,,1.018956,,0.663471,,,,,,,,,
T4c,,,,,,,,,,5.145160,,,,,1.028134,,,,,0.100000,,,,0.986975,1.010018,,,,,,,
T4d,,,,,,,,0.100000,,,,,,,,,,,,0.976223,1.030063,,,,1.026150,,,,,,,
T5a,,,,,,,,,,,,,,,1.063016,,,1.004470,,,,0.998942,0.953425,,,,0.997235,,,,,
T5b,,,,,,,,,,,,,,,1.237209,,,,2.398783,,,0.976275,0.100000,,,,,,,,,
T5c,,,,,,,,,,,,,,,0.899798,,,,,0.941751,,,1.018476,1.024376,1.005080,,,,,,,
T5d,,,,,,,,,,,,,,,0.658719,,,,,10.553450,0.975941,,,,1.485732,,,,,,,
Tm1,1.010174,2.249364,,0.388960,,,0.100000,0.100000,0.100000,4.201788,,,,1.154442,3.550275,1.094403,3.442075,,,0.972878,,0.850571,3.487475,0.931025,5.403756,13.163472,2.394491,1.314066,1.039192,0.107491,0.100000,12.503858
Tm2,,2.746509,0.100000,0.100000,,,0.100000,0.100000,0.100000,7.512048,,,,0.100000,1.205053,0.100000,0.960095,0.962136,,18.655699,,0.551778,2.966803,0.242665,7.496052,0.605386,,,0.976466,0.100000,0.100000,0.812247
Tm20,,1.771597,,,,,,,10.170002,6.535677,,,,5.815442,2.827742,0.100000,,,,,,,,,,20.734700,13.392412,7.244599,1.017353,,,10.036343
Tm21,,,,,,,,0.785770,,,,,,,0.959488,0.969825,,,,,,,,,,1.116475,,,0.958772,,,
Tm3,0.983229,1.001686,3.170499,0.100000,,,,0.100000,1.977465,19.468831,,,,,0.100000,12.356391,0.100000,8.276177,18.052247,6.773056,0.640421,,0.997712,,1.024059,,,,,9.162025,0.100000,
Tm4,1.157952,2.420312,,1.144862,,,,0.873205,8.183086,,,,,0.100000,0.100000,1.534307,12.049901,,,,,0.831728,0.105298,0.494769,10.268481,0.100000,0.100000,,1.020359,0.100000,5.652411,
Tm9,,,,,0.100000,,,,0.100000,0.100000,,,,,0.994833,2.127533,,,,,,0.968413,0.100000,1.021073,5.054035,0.100000,4.595861,0.100000,0.959528,,7.756883,1.008468
