idx,cell,a_in,a_out,v_th,e_leak,a_gt,bias_gt,a_h,v_mid_h_g,h_slope,v_mid_h_tau,v_pre,v_onset
43,Tm5a,2.038667,10.000000,-50.000000,-50.000000,1.041345,0.000000,0.000000,-44.565719,-0.240698,-40.000000,-56.175806,-54.264127
44,Tm5b,2.038667,1.495916,-50.000000,-50.000000,1.043265,0.000000,0.000000,-44.565719,-0.240698,-40.000000,-56.026103,-55.714388
45,Tm5c,2.038667,7.742133,-50.000000,-50.000000,1.043995,0.000000,0.000000,-44.565719,-0.240698,-40.000000,-48.895101,-48.613443
46,Tm5f,2.038667,1.055192,-50.000000,-50.000000,1.037024,0.000000,0.000000,-44.565719,-0.240698,-40.000000,-35.467846,-33.206166
47,TmY10,2.038667,1.735201,-50.000000,-50.000000,0.994457,0.000000,0.000000,-44.565719,-0.240698,-40.000000,-49.627571,-49.650825
48,TmY11,2.038667,0.100000,-50.000000,-50.000000,0.999607,0.000000,0.000000,-44.565719,-0.240698,-40.000000,-68.685938,-68.766060
49,TmY14,2.038667,4.063589,-50.000000,-50.000000,0.978587,0.000000,0.000000,-44.565719,-0.240698,-40.000000,-45.143965,-46.478046
50,TmY15,2.038667,2.517046,-50.000000,-50.000000,0.951653,0.000000,0.000000,-44.565719,-0.240698,-40.000000,-7.997351,-7.751128
51,TmY3,2.038667,0.100000,-50.000000,-50.000000,0.981649,0.000000,0.000000,-44.565719,-0.240698,-40.000000,-64.426400,-62.801770
52,TmY4,2.038667,0.766400,-50.000000,-50.000000,0.993765,0.000000,0.000000,-44.565719,-0.240698,-40.000000,-60.854210,-60.594746
53,TmY5a,2.038667,2.733406,-50.000000,-50.000000,1.018903,0.000000,0.000000,-44.565719,-0.240698,-40.000000,-1.549622,2.206031
54,TmY9q,2.038667,0.515854,-50.000000,-50.000000,0.960364,0.000000,0.000000,-44.565719,-0.240698,-40.000000,-34.096935,-33.702440
55,TmY9q__perp,2.038667,2.801659,-50.000000,-50.000000,0.955964,0.000000,0.000000,-44.565719,-0.240698,-40.000000,-31.228718,-30.048211
