,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Mi4,Mi9,T1,T2,T2a,T3,T4a,T4b,T4c,T4d,T5a,T5b,T5c,T5d,Tm1,Tm2,Tm20,Tm21,Tm3,Tm4,Tm9,C2,C3
R1-6,5.000000,,,5.000000,4.786374,5.000000,5.000000,,,,,3.215941,,,,,,,,,,,,,,,,,,,0.538776,2.838025
R7,,,0.500000,5.000000,,5.000000,,,0.500000,0.500000,5.000000,,,,,,,,,,,,,,,5.000000,,,,,,0.500000
R8,,0.500000,0.500000,5.000000,0.500000,4.990727,,0.500000,0.500000,0.500000,5.000000,1.935311,,,,,,,,,,,,,,5.000000,1.034498,,,,1.012832,1.909671
L1,0.500000,1.482969,0.500000,0.500000,1.098701,1.119936,0.500000,2.134331,2.876837,1.518540,,2.472308,4.914696,1.493653,,,,,,,,,,0.500000,0.509311,,,3.700691,,,0.500000,5.000000
L2,2.468831,,4.969449,0.500000,1.318351,0.500000,4.470207,0.500000,0.500000,0.500000,2.360564,0.500000,2.501116,0.957478,,,,,,,,,,1.123594,1.205124,0.500000,,0.500000,5.000000,,0.500000,2.934571
L3,,0.500000,0.500000,5.000000,5.000000,,,,0.500000,2.313519,5.000000,0.500000,,,,,,,,,,,,2.999003,5.000000,4.620731,0.954543,,5.000000,5.000000,1.006625,0.672745
L4,5.000000,,,2.075428,1.175668,0.500000,4.219790,0.500000,0.500000,,0.500000,,1.441406,,,,,,,,,,,0.500000,1.652411,,,,1.363404,0.500000,,0.500000
L5,,,,0.500000,1.593542,,,0.500000,2.510363,5.000000,0.500000,1.044809,0.915191,4.829773,,,,,,,,,,0.500000,0.500000,5.000000,0.500000,4.561334,0.500000,,0.500000,1.710540
Mi1,,5.000000,5.000000,2.122791,2.228167,,,0.500000,5.000000,3.115594,0.500000,1.176902,0.879540,0.500000,2.331390,0.500000,0.950144,0.500000,3.482683,,,,,0.500000,0.500000,5.000000,0.540024,0.500000,0.500000,,0.500000,3.270607
Mi4,,,,,1.087251,0.500000,,5.000000,0.500000,0.500000,0.596605,0.997681,,0.500000,,1.007807,0.500000,1.098810,0.500000,,,,,5.000000,0.594136,0.500000,,3.114698,0.500000,5.000000,0.966106,0.965839
Mi9,,,,,,0.500000,1.561459,,0.500000,4.294117,,,0.500000,2.279793,0.500000,1.078971,5.000000,1.720674,0.500000,,,,,0.500000,5.000000,5.000000,2.068461,0.500000,1.716052,0.500000,1.013402,
T1,1.047292,0.965257,1.031919,,0.500000,3.932457,,1.677720,,,1.982135,,,,,,,,,,,,,0.612044,0.500000,1.985866,,,0.500000,,,
T2,,,,,,,,2.268494,0.500000,,0.500000,,3.651096,1.021233,5.000000,,,,,,,,,3.911621,3.182286,,0.500000,0.500000,0.500000,,,
T2a,,,,,,,,,0.500000,,,,0.500000,5.000000,0.500000,,,,,,,,,0.500000,,5.000000,0.988322,5.000000,0.692980,,0.971891,
T3,,,,,,,,,,,,,0.500000,0.955960,1.018060,,,,0.999369,,,,,0.502876,,,1.376445,5.000000,,,,5.000000
T4a,,,,,,,,,,,1.104835,,,,,0.951774,0.951096,1.049727,0.952449,0.962158,,,,,,,,,,,,0.817919
T4b,,,,,,,,,0.500000,4.487988,4.642291,,,,,1.011304,3.910843,,1.023586,,4.640911,,,,,,,,,,,
T4c,,,,,,,,,,,0.500000,,1.000692,,,,,0.966403,,,,0.950661,1.006826,,,,,,,,,
T4d,,,,,,,,,5.000000,,,,,,,,,0.953599,5.000000,,,,1.020221,,,,,,,,,
T5a,,,,,,,,,,,,,4.999993,,,0.995866,,,,4.320644,0.958973,,,,0.500000,,,,,,,
T5b,,,,,,,,,,,,,0.861020,,,,2.209169,,,1.044163,3.281703,,,,,,,,,,,
T5c,,,,,,,,,,,,,2.320451,,,,,1.030323,,,0.986575,1.457003,1.022887,,,,,,,,,
T5d,,,,,,,,,,,,,5.000000,,,,,0.998327,1.021717,,,,0.500000,,,,,,,,,
Tm1,,,,,0.524271,,,2.868960,0.500000,0.500000,2.424762,0.500000,5.000000,4.420254,5.000000,,,0.970677,,0.744337,0.500000,2.242718,5.000000,5.000000,0.500000,0.500000,0.500000,0.500000,0.500000,4.849438,0.987972,0.500000
Tm2,,,,0.500000,0.500000,,,3.290893,5.000000,0.500000,2.545286,0.713832,0.626238,0.500000,0.886424,1.011921,,0.500000,,0.500000,0.523202,0.675975,5.000000,0.500000,,,0.500000,1.484088,0.500000,0.500000,,0.500000
Tm20,,,,,,,,,,0.500000,0.567320,0.500000,5.000000,4.052118,,,,,,,,,,2.278205,5.000000,2.220078,0.989054,,,5.000000,,0.500000
Tm21,,,,,,,,,0.888326,,,,0.500000,0.993689,,,,,,,,,,0.500000,,,1.215583,,,,,
Tm3,,,,3.805149,0.500000,,,,0.773309,0.500000,1.626415,,0.535131,2.650838,0.500000,0.761323,0.500000,0.500000,4.944387,,1.007145,,0.979494,,,,,5.000000,0.500000,,0.964214,0.500000
Tm4,,,,,2.493379,,,,0.500000,3.169607,,1.026731,0.500000,5.000000,3.557272,,,,,0.500000,1.969102,0.932650,5.000000,5.000000,1.177862,,0.500000,0.500000,5.000000,,1.042593,0.805990
Tm9,,,,,,0.500000,,,,1.792240,0.500000,,5.000000,0.500000,,,,,,0.500000,0.500000,4.081226,3.783078,5.000000,0.500000,0.500000,0.968581,,0.500000,5.000000,,
C2,0.997634,0.956676,1.067165,0.500000,0.500000,4.999223,0.500000,2.212883,0.500000,1.417791,,0.998775,1.025763,0.969160,0.959118,,,,,,,,,0.500000,,,,,,1.835477,0.998070,0.975843
C3,3.649031,,,0.500000,0.500000,3.540028,5.000000,5.000000,5.000000,1.755972,0.775286,2.987630,0.525113,0.628585,0.500000,1.037127,0.500000,1.022616,0.973127,,,,,0.500000,0.500000,0.500000,1.100509,1.215884,3.515121,3.590863,0.979320,
