idx,cell,a_gt,bias_gt,a_in,a_out,e_leak,v_th,a_h,v_mid_h_g,v_mid_h_tau,h_slope,v_pre,v_onset
0,R1-6,1.028175,0.000000,1.440150,4.189026,-50.000000,-50.000000,0.000000,-39.970527,-40.000000,-0.203321,-30.214320,-30.198860
1,R7,1.020642,0.000000,1.440150,1.333032,-49.743161,-50.000000,0.000000,-39.970527,-40.000000,-0.203321,-31.727050,-31.689018
2,R8,0.951625,0.000000,1.440150,0.100000,-49.999553,-50.000000,0.000000,-39.970527,-40.000000,-0.203321,-40.386412,-40.458750
3,L1,0.498776,0.000000,1.440150,1.627780,-1.987144,-50.000000,0.542372,-39.970527,-40.000000,-0.203321,-33.294748,-33.334779
4,L2,0.546243,0.000000,1.440150,1.139499,-10.412147,-50.000000,1.000000,-39.970527,-40.000000,-0.203321,-32.600742,-32.673750
5,L3,2.315047,0.000000,1.440150,6.303347,-24.413229,-50.000000,0.000000,-39.970527,-40.000000,-0.203321,-64.823706,-65.143051
6,L4,0.111774,0.000000,1.440150,0.121148,-50.000000,-50.000000,1.000000,-39.970527,-40.000000,-0.203321,-12.397353,-12.419675
7,L5,0.427718,0.000000,1.440150,2.294987,-50.000000,-50.000000,1.000000,-39.970527,-40.000000,-0.203321,-22.415752,-22.320607
8,Mi1,0.884166,0.000000,1.440150,0.199348,-23.348142,-50.000000,0.000000,-39.970527,-40.000000,-0.203321,-32.044713,-31.707454
9,Tm3,0.286059,0.000000,1.440150,0.100000,-41.332778,-50.000000,0.000000,-39.970527,-40.000000,-0.203321,-24.355977,-23.724762
10,Mi4,0.577314,0.000000,1.440150,0.229950,-32.584729,-50.000000,0.000000,-39.970527,-40.000000,-0.203321,-19.704353,-18.146780
11,Mi9,0.497305,0.000000,1.440150,2.468687,-38.349789,-50.000000,0.000000,-39.970527,-40.000000,-0.203321,-23.164548,-24.076716
