idx,cell,a_in,a_out,v_th,e_leak,a_gt,bias_gt,a_h,v_mid_h_g,h_slope,v_mid_h_tau,v_pre,v_onset
0,R1-6,1.745985,1.851644,-50.000000,-50.000000,1.048105,0.000000,0.000000,-46.422955,-0.200000,-55.137551,-30.989858,-30.969469
1,R7,1.745985,1.478455,-50.000000,-50.000000,1.008379,0.000000,0.000000,-46.422955,-0.200000,-55.137551,-30.980281,-30.969179
2,R8,1.745985,1.097023,-50.000000,-50.000000,0.999728,0.000000,0.000000,-46.422955,-0.200000,-55.137551,-44.995293,-45.126507
3,L1,1.745985,1.604421,-50.000000,-20.000000,0.446967,0.000000,1.000000,-46.422955,-0.200000,-55.137551,-34.679576,-34.804057
4,L2,1.745985,1.824541,-50.000000,-20.000000,0.423553,0.000000,1.000000,-46.422955,-0.200000,-55.137551,-33.823550,-34.722795
5,L3,1.745985,0.367602,-50.000000,-50.000000,1.955064,0.000000,0.000000,-46.422955,-0.200000,-55.137551,-58.266658,-59.464805
6,L4,1.745985,0.601505,-50.000000,-50.000000,0.172107,0.000000,1.000000,-46.422955,-0.200000,-55.137551,-16.147913,-16.494368
7,L5,1.745985,1.547966,-50.000000,-50.000000,0.933199,0.000000,0.146271,-46.422955,-0.200000,-55.137551,-38.511808,-37.473842
8,Mi1,1.745985,1.051708,-50.000000,-50.000000,1.077123,0.000000,0.000000,-46.422955,-0.200000,-55.137551,-28.005922,-25.281836
9,Tm3,1.745985,1.225449,-50.000000,-50.000000,0.557893,0.000000,0.000000,-46.422955,-0.200000,-55.137551,-39.139189,-34.670174
10,Mi4,1.745985,1.017693,-50.000000,-50.000000,1.035208,0.000000,0.000000,-46.422955,-0.200000,-55.137551,-31.725213,-28.714062
11,Mi9,1.745985,2.768196,-50.000000,-50.000000,0.437049,0.000000,0.000000,-46.422955,-0.200000,-55.137551,-21.307272,-22.126668
12,T4a,1.745985,1.267867,-50.000000,-50.000000,0.987359,0.000000,0.000000,-46.422955,-0.200000,-55.137551,-40.925283,-33.313507
13,T4b,1.745985,0.854222,-50.000000,-50.000000,1.025733,0.000000,0.000000,-46.422955,-0.200000,-55.137551,-56.246414,-55.092503
14,T4c,1.745985,0.828262,-50.000000,-50.000000,0.971267,0.000000,0.000000,-46.422955,-0.200000,-55.137551,-38.085972,-37.175710
15,T4d,1.745985,6.012571,-50.000000,-50.000000,0.989627,0.000000,0.000000,-46.422955,-0.200000,-55.137551,-33.205543,-27.749454
16,Tm1,1.745985,0.359500,-50.000000,-50.000000,0.806491,0.000000,0.000000,-46.422955,-0.200000,-55.137551,-19.277194,-21.264908
17,Tm2,1.745985,0.516409,-50.000000,-50.000000,0.409902,0.000000,0.000000,-46.422955,-0.200000,-55.137551,-15.468794,-16.058662
18,Tm4,1.745985,0.812668,-50.000000,-50.000000,0.275965,0.000000,0.000000,-46.422955,-0.200000,-55.137551,-13.953620,-16.350894
19,Tm9,1.745985,1.048095,-50.000000,-50.000000,1.073235,0.000000,0.000000,-46.422955,-0.200000,-55.137551,-48.516651,-50.285686
20,T5a,1.745985,0.346776,-50.000000,-50.000000,0.950875,0.000000,0.000000,-46.422955,-0.200000,-55.137551,-19.515158,-19.789630
21,T5b,1.745985,2.227757,-50.000000,-50.000000,1.003634,0.000000,0.000000,-46.422955,-0.200000,-55.137551,-15.911406,-17.869467
22,T5c,1.745985,1.088216,-50.000000,-50.000000,1.022523,0.000000,0.000000,-46.422955,-0.200000,-55.137551,-14.896291,-14.991256
23,T5d,1.745985,7.713380,-50.000000,-50.000000,0.957633,0.000000,0.000000,-46.422955,-0.200000,-55.137551,-44.305942,-44.663814
24,T1,1.745985,2.825159,-50.000000,-50.000000,1.026355,0.000000,0.000000,-46.422955,-0.200000,-55.137551,-36.961914,-40.651380
25,T2,1.745985,1.256664,-50.000000,-50.000000,1.031596,0.000000,0.000000,-46.422955,-0.200000,-55.137551,-25.086665,-18.280124
26,T2a,1.745985,1.127294,-50.000000,-50.000000,1.047693,0.000000,0.000000,-46.422955,-0.200000,-55.137551,-21.974837,-18.899221
27,T3,1.745985,1.932449,-50.000000,-50.000000,1.009775,0.000000,0.000000,-46.422955,-0.200000,-55.137551,1.035740,4.138105
28,C2,1.745985,0.291788,-50.000000,-50.000000,0.962289,0.000000,0.000000,-46.422955,-0.200000,-55.137551,-5.420833,-3.455123
29,C3,1.745985,0.668726,-50.000000,-50.000000,1.000286,0.000000,0.000000,-46.422955,-0.200000,-55.137551,-16.706805,-12.860612
30,Lawf1,1.745985,1.821124,-50.000000,-50.000000,0.988497,0.000000,0.000000,-46.422955,-0.200000,-55.137551,-42.722656,-39.931872
31,Lawf2,1.745985,2.403982,-50.000000,-50.000000,0.954880,0.000000,0.000000,-46.422955,-0.200000,-55.137551,-21.973884,-19.959634
32,Dm3v,1.745985,3.298905,-50.000000,-50.000000,1.023205,0.000000,0.000000,-46.422955,-0.200000,-55.137551,-14.451104,-15.370679
33,Lai,1.745985,4.894665,-50.000000,-50.000000,1.047962,0.000000,0.000000,-46.422955,-0.200000,-55.137551,-56.217074,-55.676334
34,Mi10,1.745985,0.577068,-50.000000,-50.000000,1.019261,0.000000,0.000000,-46.422955,-0.200000,-55.137551,-67.476515,-67.523671
35,Mi13,1.745985,1.010943,-50.000000,-50.000000,1.004338,0.000000,0.000000,-46.422955,-0.200000,-55.137551,-27.744015,-27.923925
36,Mi14,1.745985,5.960017,-50.000000,-50.000000,0.963333,0.000000,0.000000,-46.422955,-0.200000,-55.137551,2.974960,3.865430
37,Mi15,1.745985,5.498690,-50.000000,-50.000000,0.956674,0.000000,0.000000,-46.422955,-0.200000,-55.137551,-36.021737,-33.847091
38,Mi2,1.745985,1.035828,-50.000000,-50.000000,0.991095,0.000000,0.000000,-46.422955,-0.200000,-55.137551,-8.058863,-8.024517
39,Tm16,1.745985,1.910701,-50.000000,-50.000000,1.044581,0.000000,0.000000,-46.422955,-0.200000,-55.137551,-58.405459,-58.520735
40,Tm20,1.745985,0.542750,-50.000000,-50.000000,0.983187,0.000000,0.000000,-46.422955,-0.200000,-55.137551,-25.690272,-29.514905
41,Tm21,1.745985,6.029890,-50.000000,-50.000000,0.989766,0.000000,0.000000,-46.422955,-0.200000,-55.137551,-49.369422,-48.134528
42,Tm27,1.745985,3.648095,-50.000000,-50.000000,1.039492,0.000000,0.000000,-46.422955,-0.200000,-55.137551,-54.490239,-52.795862
43,Tm5a,1.745985,6.663115,-50.000000,-50.000000,0.953291,0.000000,0.000000,-46.422955,-0.200000,-55.137551,-59.010472,-58.829938
44,Tm5b,1.745985,0.802269,-50.000000,-50.000000,0.961776,0.000000,0.000000,-46.422955,-0.200000,-55.137551,-63.652169,-63.604326
45,Tm5c,1.745985,1.497053,-50.000000,-50.000000,0.990305,0.000000,0.000000,-46.422955,-0.200000,-55.137551,-27.402024,-27.238709
46,Tm5f,1.745985,1.296883,-50.000000,-50.000000,0.992745,0.000000,0.000000,-46.422955,-0.200000,-55.137551,-42.797126,-42.395865
47,TmY10,1.745985,1.982652,-50.000000,-50.000000,1.031922,0.000000,0.000000,-46.422955,-0.200000,-55.137551,-49.688776,-49.619839
48,TmY11,1.745985,0.100000,-50.000000,-50.000000,1.021068,0.000000,0.000000,-46.422955,-0.200000,-55.137551,-68.637656,-68.739584
49,TmY14,1.745985,4.175498,-50.000000,-50.000000,1.009445,0.000000,0.000000,-46.422955,-0.200000,-55.137551,-46.337651,-47.081616
50,TmY15,1.745985,2.186862,-50.000000,-50.000000,1.039805,0.000000,0.000000,-46.422955,-0.200000,-55.137551,-13.192579,-12.292341
51,TmY3,1.745985,0.117001,-50.000000,-50.000000,0.984849,0.000000,0.000000,-46.422955,-0.200000,-55.137551,-62.469332,-60.951618
52,TmY4,1.745985,10.000000,-50.000000,-50.000000,0.972953,0.000000,0.000000,-46.422955,-0.200000,-55.137551,-59.034628,-57.114097
53,TmY5a,1.745985,3.151221,-50.000000,-50.000000,1.005764,0.000000,0.000000,-46.422955,-0.200000,-55.137551,-18.457290,-18.421972
54,TmY9q,1.745985,0.352772,-50.000000,-50.000000,0.982970,0.000000,0.000000,-46.422955,-0.200000,-55.137551,-21.569266,-19.604721
55,TmY9q__perp,1.745985,4.072268,-50.000000,-50.000000,0.976887,0.000000,0.000000,-46.422955,-0.200000,-55.137551,-29.889193,-28.945789
