type,neuron_count,kept
R1-6,3437,True
T2a,866,True
Tm3,858,True
T4c,842,True
T3,823,True
Mi1,796,True
L1,793,True
L2,791,True
L5,785,True
T4d,777,True
Tm1,775,True
Mi9,770,True
C3,768,True
Tm2,767,True
T5c,766,True
Mi4,765,True
T5b,760,True
Tm9,755,True
T4b,748,True
Tm20,744,True
T5a,743,True
C2,743,True
T1,738,True
L3,738,True
T4a,737,True
Tm4,734,True
T5d,727,True
T2,725,True
L4,724,True
R7,659,True
R8,655,True
Tm21,623,True
Dm2,598,True
TmY5a,572,True
Tm27,559,True
Dm3p,500,True
Mi15,480,True
Dm3q,456,True
Mi2,427,True
Tm5f,397,True
TmY3,359,True
Tm25,353,True
Mi13,350,True
Dm3v,320,True
Tm5c,308,True
Y3,305,True
Dm10,249,True
Tm5e,239,True
Tm7,234,True
Lai,231,True
Tm5b,226,True
TmY10,222,True
Tm5a,219,True
TmY4,211,True
Mi10,207,True
Dm15,201,True
Dm8b,197,True
Sm02,195,True
TmY9q__perp,189,True
TmY14,185,True
Dm8a,184,True
LC12,183,True
TmY11,178,True
Tm5d,174,True
Tm16,174,True
TmY9q,173,True
Lawf2,168,True
TmY31,156,True
Sm07,153,True
Lawf1,152,True
Sm01,144,True
LC17,142,True
TmY20,142,True
Tm36,141,True
TmY15,135,True
Dm9,128,True
Mi14,127,True
MeTu1,123,True
LC10a,121,True
Pm01,119,True
Tm8a,119,True
LLPC2,115,True
Tm37,114,True
LLPC1,113,True
Dm12,109,True
LPLC2,102,True
LLPC3,102,True
LC10c,102,True
Y12,97,True
LC10d,95,True
Sm03,94,True
Pm03,94,True
Li06,93,True
LC18,92,True
Li10,92,True
LC9,92,True
Pm02,88,True
Li05,86,True
Li01,84,True
Sm09,83,True
Y1,82,True
LPC1,82,True
Sm08,81,True
Sm06,81,True
Y4,79,True
Tm32,76,True
TmY16,76,True
Pm05,75,True
Sm04,74,True
LC16,74,True
Sm05,73,True
LPLC1,72,True
Sm12,72,True
LC13,70,True
Y11,68,True
Tlp1,67,True
Dm11,66,True
MeTu3c,65,True
LPC2,62,True
LC21,62,True
LC11,61,True
MeTu4a,60,True
Tm35,60,True
LC6,60,True
Pm08,59,True
Tm8b,59,True
LC28a,56,True
LPi09,56,True
Tm33,56,True
MLt3,55,True
LC15,54,True
Tm31,54,True
LPLC4,54,True
Sm15,53,True
LC10e,51,True
LPi07,51,True
LPi04,51,True
MeTu4c,51,True
MTe51,50,True
LC4,50,True
Tlp4,49,True
Li02,49,True
MLt2,48,True
LPi02,48,True
MTe01a,47,True
Dm20,47,True
LC22,46,True
MeTu3b,46,True
Li03,46,True
Li17,45,True
MLt1,44,True
MLt4,44,True
Dm16,44,True
LC10b,43,True
cLP02,43,True
Sm10,43,True
LPi05,42,True
Pm04,40,True
Dm4,39,True
MTe02,38,True
Pm09,38,True
Tm34,37,True
Dm1,37,True
MLt5,36,True
LLPt,36,True
MeTu2a,36,True
LC24,35,True
LMa5,34,True
Sm16,34,True
LMa4,33,True
Li13,32,True
Li11,32,True
Dm6,31,True
LC26,31,True
MLt6,30,True
MTe50,29,True
LC25,29,True
Sm32,29,True
Tlp14,29,True
Sm20,28,True
LMa1,28,True
LCe02,28,True
aMe5,28,True
MTe54,28,True
LMt2,27,True
MTe01b,27,True
LPi11,27,True
Tlp5,27,True
cLP01,27,True
Sm19,27,True
LC20a,26,True
Li09,26,True
Pm06,25,True
Dm18,25,True
LCe03,25,True
MLt7,24,True
MTe03,24,True
MTe52,24,True
Dm13,24,True
Pm10,24,True
DmDRA1,23,True
LC29,23,True
LCe01b,23,True
Sm22,23,True
LC20b,23,True
LMt1,23,True
Sm21,22,True
Sm23,22,True
LPi08,22,True
Li08,22,True
Li12,21,True
LPi10,21,True
cLP03,20,True
LPTe01,20,True
Sm13,20,True
LMa2,20,True
MeTu3a,20,True
LMt4,20,True
Sm14,19,True
LC27,19,True
LCe04,18,True
LMa3,18,True
LMt3,18,True
uncertain,18,True
MTe04,18,True
LC40,18,True
MeTu4d,18,True
LPi06,17,True
LC31a,17,True
LC36,17,True
Sm18,17,True
Li16,17,True
Pm11,16,True
Li04,16,True
LT52,16,True
LPi01,16,True
Pm07,16,True
Li15,16,True
LC33,15,True
Li18,15,True
MeTu2b,14,True
MLt8,14,True
Dm14,14,True
Li14,13,True
Sm31,12,True
DmDRA2,12,True
MeTu4b,12,True
LCe01a,12,True
LC45,12,True
Sm30,12,True
Dm19,11,True
MTe05,11,True
LT57,11,True
LT51,11,True
Li21,11,True
Li07,10,True
Sm26,10,True
LC37,9,True
Sm25,9,True
LCe09,8,True
Li22,8,True
LTe64,8,True
MTe06,8,True
cL01,8,True
LCe05,8,True
LTe09,7,True
LC46,7,True
MTe53,7,True
LC19,7,True
LPi03,7,True
LC34,7,True
Sm27,7,True
LCe06,6,True
LPTe02,6,True
LC43,6,True
Sm17,6,True
LTe58,6,True
Lat,6,True
LC41,6,True
PDt,6,True
Li24,6,True
LatB,6,True
LCe07,6,True
Sm34,6,True
Sm43,6,True
APDN3,6,True
MTe08,6,True
aMe4,5,True
LT81,5,True
LC31b,5,True
LTe68,5,True
Sm29,5,True
Dm17,4,True
MTe10,4,True
LT70,4,True
LTe65,4,True
Sm24,4,True
VST2,4,True
Sm11,4,True
LTe38a,4,True
LT53,4,True
cL02b,4,True
LC35,4,True
LTe43,4,True
LC39,4,True
MTe09,4,True
s-LNv,4,True
LT78,4,True
cL03,4,True
LCe08,4,True
Li26,4,True
LPT31,4,True
Sm35,3,True
cL02a,3,True
AN_multi_124,3,True
Sm28,3,True
cL18,3,True
Sm33,3,True
cM03,3,True
cLLPM01,3,True
MC65,3,True
MTe12,3,True
MTe13,3,True
cM04,3,True
LT77,3,True
cL02c,3,True
LLPC4,3,True
Li20,3,True
cM08c,3,True
LTe63,3,True
