idx,ctype,inp_gain,out_gain,tau_m,bias,adapt_gain,tau_adapt,out_scale,gate_pivot
0,R1,0.101815,4.405555,54.123132,-0.103245,-2.000000,100.754266,11.398566,0.500000
1,R2,0.100769,4.430786,47.668274,-0.107183,-2.000000,100.754266,11.916193,0.500000
2,R3,0.100513,3.844377,54.906690,-0.054046,-2.000000,100.754266,11.143838,0.500000
3,R4,0.103164,4.406059,49.373984,-0.093784,-2.000000,100.754266,11.746430,0.500000
4,R5,0.104234,3.938443,53.009090,-0.067447,-2.000000,100.754266,11.380683,0.500000
5,R6,0.102862,4.203461,56.996044,-0.090043,-2.000000,100.754266,11.181618,0.500000
6,R7,0.100000,5.612258,54.948249,2.000000,-2.000000,96.705447,7.419081,0.500000
7,R8,0.100000,5.112104,55.409460,2.000000,-2.000000,94.708275,6.573869,0.500000
8,L1,3.499609,4.729635,42.633900,2.000000,-1.951572,105.153257,6.503110,0.500000
9,L2,3.468068,1.862676,50.671263,1.998385,-1.610584,104.071609,6.439178,0.500000
10,L3,7.326679,5.035494,50.308880,1.989990,-1.966183,94.684562,9.782556,0.500000
11,L4,8.000010,1.216628,49.066906,0.855381,-1.909669,100.488577,16.877323,0.500000
12,L5,2.763345,3.889836,49.850817,2.000000,-2.000000,92.953995,0.701453,0.500000
13,Lawf1,0.100000,0.100000,52.925394,-0.579274,0.000000,10.000000,1.000000,0.500000
14,Lawf2,5.312912,5.970454,37.403402,1.676657,0.000000,10.000000,1.000000,0.500000
15,Am,0.100000,0.100000,51.731769,-0.411413,0.000000,10.000000,1.000000,0.500000
16,C2,0.100000,0.100000,47.485524,-0.527605,0.000000,10.000000,1.000000,0.500000
17,C3,0.101565,1.446363,56.848318,1.873034,0.000000,10.000000,1.000000,0.500000
18,CT1(Lo1),0.100000,0.100000,46.880981,-0.594164,0.000000,10.000000,1.000000,0.500000
19,CT1(M10),0.100000,0.310184,50.761542,-0.906007,0.000000,10.000000,1.000000,0.500000
20,Mi1,2.439310,2.996838,39.292881,1.943084,0.000000,10.000000,1.722053,0.500000
21,Mi2,0.100000,0.100000,51.930740,-0.928587,0.000000,10.000000,1.000000,0.500000
22,Mi3,0.100000,0.389828,52.487116,-1.124223,0.000000,10.000000,1.000000,0.500000
23,Mi4,5.536001,2.713390,27.435748,-0.717460,0.000000,10.000000,6.026604,0.500000
