idx,ctype,in_gain,out_gain,out_scale,tau_m,tau_hp,bias,hp_gain
0,C2,1.000000,0.348142,0.982173,47.787596,195.082542,-1.333330,1.000000
1,C3,1.000000,15.144674,0.955760,64.162208,225.753561,-0.950017,1.000000
2,L1,1.000000,7.130665,12.939945,40.357149,182.045606,0.598906,4.035428
3,L2,1.000000,0.314262,8.679884,67.534700,206.734912,-2.000000,3.085069
4,L3,1.000000,22.483897,26.451994,49.906581,219.139254,1.695717,1.000000
5,L4,1.000000,14.681439,20.927595,79.375437,223.614667,2.000000,4.035453
6,L5,1.000000,9.143191,1.906227,27.974580,180.773453,0.219635,3.214574
7,Mi1,1.000000,1.302044,8.021202,48.555296,197.686548,-0.001690,1.000000
8,Mi4,1.000000,0.100000,25.441640,80.669533,220.709950,-1.712772,1.000000
9,Mi9,1.000000,26.672464,12.489679,61.687424,216.532553,2.000000,1.000000
10,R1-6,1.000000,19.977417,0.998213,51.675415,200.674793,-0.058361,1.000000
11,R7,1.000000,26.988516,0.999515,37.079072,214.658990,1.157658,1.000000
12,R8,1.000000,24.294839,0.958947,75.183659,233.457426,0.058368,1.000000
13,T1,1.000000,8.633631,0.981218,71.381531,224.918170,1.171820,1.000000
14,T2,1.000000,7.559727,1.006280,48.171239,200.214280,-1.801065,1.000000
15,T2a,1.000000,0.100000,0.994416,52.535081,201.683577,-0.977213,1.000000
16,T3,1.000000,0.140269,0.978591,49.285850,194.938205,-0.813278,1.000000
17,T4a,1.000000,7.401787,1.049730,42.147501,204.384329,-2.000000,1.000000
18,T4b,1.000000,12.134308,1.029668,41.235229,218.635096,-1.531533,1.000000
19,T4c,1.000000,11.578613,0.971319,33.569993,220.952294,-1.822868,1.000000
20,T4d,1.000000,1.457969,0.964660,50.041132,193.055348,-0.733578,1.000000
21,T5a,1.000000,0.894711,0.956099,53.726649,208.252996,-1.175814,1.000000
22,T5b,1.000000,0.100000,0.988279,54.993252,199.690615,-1.344738,1.000000
23,T5c,1.000000,2.608805,0.983449,53.416767,201.729015,-2.000000,1.000000
24,T5d,1.000000,15.763532,1.010803,46.930350,193.128981,2.000000,1.000000
25,Tm1,1.000000,14.534010,0.100000,14.846831,158.535417,0.900669,1.000000
26,Tm2,1.000000,10.698934,0.100000,52.940196,190.869921,-1.140810,1.000000
27,Tm20,1.000000,19.518102,1.022117,59.923518,221.032203,1.860569,1.000000
28,Tm21,1.000000,2.952576,1.015830,49.630248,209.082461,-0.621709,1.000000
29,Tm3,1.000000,11.932959,19.819958,43.538611,220.120048,0.002036,1.000000
30,Tm4,1.000000,0.465605,15.160768,55.337775,199.235668,-0.844974,1.000000
31,Tm9,1.000000,18.902343,27.752588,73.691050,221.984434,-0.225850,1.000000
