,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Mi4,Mi9,T1,T2,T2a,T3,T4a,T4b,T4c,T4d,T5a,T5b,T5c,T5d,Tm1,Tm2,Tm20,Tm21,Tm3,Tm4,Tm9,C2,C3
R1-6,5.000000,,,5.000000,5.000000,5.000000,5.000000,,,,,3.496105,,,,,,,,,,,,,,,,,,,0.500000,0.500000
R7,,,0.500000,5.000000,,5.000000,,,0.500000,0.500000,5.000000,,,,,,,,,,,,,,,5.000000,,,,,,1.024569
R8,,0.500000,5.000000,5.000000,0.500000,5.000000,,0.500000,0.500000,0.500000,5.000000,5.000000,,,,,,,,,,,,,,5.000000,1.033374,,,,5.000000,1.046728
L1,2.183574,0.500000,1.769071,0.691224,0.547454,1.113945,0.500000,5.000000,1.555177,0.500000,,5.000000,5.000000,5.000000,,,,,,,,,,0.500000,0.745700,,,5.000000,,,4.873172,5.000000
L2,0.500000,,1.374786,0.500000,1.142766,5.000000,4.652707,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.957867,,,,,,,,,,1.078352,1.209000,5.000000,,0.500000,5.000000,,0.603780,5.000000
L3,,0.500000,0.500000,0.500000,0.500000,,,,0.500000,0.500000,0.500000,3.703258,,,,,,,,,,,,0.500000,5.000000,5.000000,0.977592,,0.500000,5.000000,0.500000,5.000000
L4,0.866059,,,0.500000,0.500000,0.500000,0.500000,0.500000,5.000000,,0.500000,,0.500000,,,,,,,,,,,0.500000,1.116053,,,,5.000000,0.500000,,5.000000
L5,,,,0.500000,0.500000,,,5.000000,5.000000,5.000000,0.500000,0.500000,5.000000,3.532147,,,,,,,,,,0.500000,0.500000,0.500000,5.000000,5.000000,0.500000,,2.834304,0.965095
Mi1,,0.500000,5.000000,0.500000,1.598502,,,5.000000,5.000000,5.000000,0.500000,0.500000,5.000000,0.500000,0.500000,5.000000,0.500000,5.000000,0.500000,,,,,0.500000,0.569220,0.500000,5.000000,5.000000,0.500000,,0.613639,2.801810
Mi4,,,,,1.148513,5.000000,,5.000000,0.500000,0.500000,3.410568,5.000000,,0.500000,,0.500000,0.500000,5.000000,0.994368,,,,,5.000000,0.500000,5.000000,,0.500000,0.500000,5.000000,0.500000,0.968310
