idx,cell,a_in,a_out,v_th,e_leak,a_gt,bias_gt,a_h,h_v_mid,h_slope,tau_h_v,v_pre,v_onset
0,R1-6,1.676101,1.533109,-49.645336,-50.000000,1.044064,0.000000,0.500000,-49.500351,-0.318644,-49.649887,-27.000474,-27.000470
1,R7,1.676101,1.424824,-50.651620,-50.000000,0.979222,0.000000,0.500000,-49.500351,-0.318644,-49.649887,-29.955770,-29.955765
2,R8,1.676101,0.533290,-49.711655,-50.000000,1.049133,0.000000,0.500000,-49.500351,-0.318644,-49.649887,-31.343768,-31.343800
3,L1,1.676101,1.649431,-49.724136,-20.000000,0.303047,0.000000,0.386621,-49.500351,-0.318644,-49.649887,-42.368259,-42.368135
4,L2,1.676101,1.029609,-50.393885,-20.000000,0.418024,0.000000,0.959024,-49.500351,-0.318644,-49.649887,-41.419461,-41.419466
5,L3,1.676101,1.754756,-49.924395,-50.000000,1.579329,0.000000,0.500000,-49.500351,-0.318644,-49.649887,-34.769457,-34.768934
6,L4,1.676101,0.331646,-50.214774,-50.000000,0.321677,0.000000,0.740388,-49.500351,-0.318644,-49.649887,-28.656325,-28.656372
7,L5,1.676101,0.388654,-49.738412,-50.000000,0.901380,0.000000,1.000000,-49.500351,-0.318644,-49.649887,-34.213604,-34.213250
8,Mi1,1.676101,1.701694,-49.845748,-50.000000,0.999354,0.000000,0.500000,-49.500351,-0.318644,-49.649887,-36.178562,-36.178276
9,Tm3,1.676101,1.014219,-49.663546,-50.000000,0.423102,0.000000,0.500000,-49.500351,-0.318644,-49.649887,-21.964831,-21.962426
10,Mi4,1.676101,0.426639,-49.312937,-50.000000,1.552308,0.000000,0.500000,-49.500351,-0.318644,-49.649887,-37.558463,-37.558421
11,Mi9,1.676101,1.708542,-49.606789,-50.000000,1.108762,0.000000,0.500000,-49.500351,-0.318644,-49.649887,-6.438844,-6.438828
12,T4a,1.676101,0.161891,-50.149428,-50.000000,0.964188,0.000000,0.500000,-49.500351,-0.318644,-49.649887,-34.658024,-34.657983
13,T4b,1.676101,0.775949,-49.512312,-50.000000,0.963232,0.000000,0.500000,-49.500351,-0.318644,-49.649887,-30.179380,-30.178573
14,T4c,1.676101,0.795030,-49.418279,-50.000000,1.027029,0.000000,0.500000,-49.500351,-0.318644,-49.649887,-27.439955,-27.438936
15,T4d,1.676101,1.024462,-50.453500,-50.000000,1.015569,0.000000,0.500000,-49.500351,-0.318644,-49.649887,-12.458821,-12.456881
16,Tm1,1.676101,0.201817,-49.997098,-50.000000,1.236905,0.000000,0.500000,-49.500351,-0.318644,-49.649887,-22.123836,-22.125094
17,Tm2,1.676101,0.473650,-50.716022,-50.000000,0.952447,0.000000,0.500000,-49.500351,-0.318644,-49.649887,-21.218718,-21.219214
18,Tm4,1.676101,0.962052,-50.098189,-50.000000,0.522499,0.000000,0.500000,-49.500351,-0.318644,-49.649887,-27.800512,-27.801363
19,Tm9,1.676101,0.884158,-49.989904,-50.000000,0.307396,0.000000,0.500000,-49.500351,-0.318644,-49.649887,-10.498776,-10.498244
20,T5a,1.676101,1.350982,-50.365105,-50.000000,1.007861,0.000000,0.500000,-49.500351,-0.318644,-49.649887,-5.670837,-5.670768
21,T5b,1.676101,1.718104,-50.749495,-50.000000,1.045454,0.000000,0.500000,-49.500351,-0.318644,-49.649887,-2.738847,-2.737925
22,T5c,1.676101,1.138849,-50.390200,-50.000000,0.979250,0.000000,0.500000,-49.500351,-0.318644,-49.649887,-6.063300,-6.062584
23,T5d,1.676101,1.098858,-50.132397,-50.000000,1.022363,0.000000,0.500000,-49.500351,-0.318644,-49.649887,-8.104608,-8.104252
24,T1,1.676101,0.503652,-50.327096,-50.000000,1.037119,0.000000,0.500000,-49.500351,-0.318644,-49.649887,-36.275125,-36.275149
25,T2,1.676101,1.474503,-50.512297,-50.000000,0.959201,0.000000,0.500000,-49.500351,-0.318644,-49.649887,-1.829326,-1.826821
26,T2a,1.676101,0.584615,-49.838094,-50.000000,0.963280,0.000000,0.500000,-49.500351,-0.318644,-49.649887,-6.448661,-6.447714
27,T3,1.676101,0.502401,-49.475870,-50.000000,1.000692,0.000000,0.500000,-49.500351,-0.318644,-49.649887,-0.519635,-0.517535
28,C2,1.676101,0.151587,-49.591353,-50.000000,1.000817,0.000000,0.500000,-49.500351,-0.318644,-49.649887,-31.512229,-31.511342
29,C3,1.676101,0.698238,-50.166018,-50.000000,0.995440,0.000000,0.500000,-49.500351,-0.318644,-49.649887,-30.190524,-30.190011
30,Lawf1,1.676101,1.788515,-50.226752,-50.000000,1.021515,0.000000,0.500000,-49.500351,-0.318644,-49.649887,-24.667340,-24.666091
31,Lawf2,1.676101,1.449870,-50.531557,-50.000000,0.958498,0.000000,0.500000,-49.500351,-0.318644,-49.649887,-13.308876,-13.306141
32,Dm3v,1.676101,1.381710,-50.459177,-50.000000,1.024120,0.000000,0.500000,-49.500351,-0.318644,-49.649887,-23.406980,-23.408488
33,Lai,1.676101,0.414767,-50.229401,-50.000000,1.004359,0.000000,0.500000,-49.500351,-0.318644,-49.649887,-38.563225,-38.561670
34,Mi10,1.676101,1.309823,-49.126859,-50.000000,1.011786,0.000000,0.500000,-49.500351,-0.318644,-49.649887,-41.787374,-41.787266
35,Mi13,1.676101,0.566972,-49.469796,-50.000000,0.952778,0.000000,0.500000,-49.500351,-0.318644,-49.649887,-29.989515,-29.989494
36,Mi14,1.676101,0.936842,-49.967747,-50.000000,0.964038,0.000000,0.500000,-49.500351,-0.318644,-49.649887,-4.487814,-4.484728
37,Mi15,1.676101,0.130445,-49.880990,-50.000000,1.003662,0.000000,0.500000,-49.500351,-0.318644,-49.649887,-36.711793,-36.711856
38,Mi2,1.676101,0.697275,-49.631598,-50.000000,0.968218,0.000000,0.500000,-49.500351,-0.318644,-49.649887,-20.793305,-20.792744
39,Tm16,1.676101,0.751461,-50.073021,-50.000000,0.960636,0.000000,0.500000,-49.500351,-0.318644,-49.649887,-35.905743,-35.905751
40,Tm20,1.676101,1.505937,-49.854984,-50.000000,0.966267,0.000000,0.500000,-49.500351,-0.318644,-49.649887,-11.067060,-11.066794
41,Tm21,1.676101,1.224986,-50.555652,-50.000000,1.049555,0.000000,0.500000,-49.500351,-0.318644,-49.649887,-22.169495,-22.169336
42,Tm27,1.676101,0.228847,-49.234125,-50.000000,0.963031,0.000000,0.500000,-49.500351,-0.318644,-49.649887,-31.042421,-31.042034
43,Tm5a,1.676101,0.445949,-49.118658,-50.000000,0.975826,0.000000,0.500000,-49.500351,-0.318644,-49.649887,-35.211316,-35.211092
44,Tm5b,1.676101,0.126038,-49.157640,-50.000000,0.955402,0.000000,0.500000,-49.500351,-0.318644,-49.649887,-36.342669,-36.342760
45,Tm5c,1.676101,1.150192,-50.708693,-50.000000,0.952659,0.000000,0.500000,-49.500351,-0.318644,-49.649887,-8.416797,-8.415771
46,Tm5f,1.676101,0.866990,-49.502712,-50.000000,1.005406,0.000000,0.500000,-49.500351,-0.318644,-49.649887,-13.113349,-13.111695
47,TmY10,1.676101,1.266044,-49.465655,-50.000000,0.964491,0.000000,0.500000,-49.500351,-0.318644,-49.649887,-23.699320,-23.698887
48,TmY11,1.676101,0.111557,-49.248533,-50.000000,1.046910,0.000000,0.500000,-49.500351,-0.318644,-49.649887,-40.848673,-40.848631
49,TmY14,1.676101,0.414922,-50.105316,-50.000000,0.973073,0.000000,0.500000,-49.500351,-0.318644,-49.649887,-15.311677,-15.312806
50,TmY15,1.676101,1.587600,-50.497345,-50.000000,1.006179,0.000000,0.500000,-49.500351,-0.318644,-49.649887,1.220904,1.223851
51,TmY3,1.676101,1.516790,-50.564181,-50.000000,0.959742,0.000000,0.500000,-49.500351,-0.318644,-49.649887,-18.784418,-18.782289
52,TmY4,1.676101,0.583338,-49.567560,-50.000000,0.981796,0.000000,0.500000,-49.500351,-0.318644,-49.649887,-33.909223,-33.908110
53,TmY5a,1.676101,0.998835,-49.885861,-50.000000,0.999485,0.000000,0.500000,-49.500351,-0.318644,-49.649887,-6.716380,-6.715211
54,TmY9q,1.676101,0.620992,-49.357882,-50.000000,0.962104,0.000000,0.500000,-49.500351,-0.318644,-49.649887,-24.497796,-24.498284
55,TmY9q__perp,1.676101,1.151710,-49.426396,-50.000000,1.034935,0.000000,0.500000,-49.500351,-0.318644,-49.649887,-23.704368,-23.705176
