,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Mi4,Mi9,T1,T2,T2a,T3,T4a,T4b,T4c,T4d,T5a,T5b,T5c,T5d,Tm1,Tm2,Tm20,Tm21,Tm3,Tm4,Tm9,C2,C3
R1-6,1.312903,,,2.755059,3.298324,2.701885,4.907799,,,,,1.674632,,,,,,,,,,,,,,,,,,,0.959246,0.425294
R7,,,0.189356,13.056230,,10.439043,,,0.100000,0.747555,8.339809,,,,,,,,,,,,,,,9.957697,,,,,,1.188871
R8,,1.361196,2.362992,13.450808,13.851333,2.161846,,0.277605,0.100000,0.100000,8.226015,6.943011,,,,,,,,,,,,,,0.100000,1.020332,,,,1.035930,0.100000
L1,0.100000,0.100000,0.704583,0.267371,0.100000,0.147633,0.100000,1.875481,2.531278,1.287781,,2.824177,0.996706,0.989843,,,,,,,,,,1.731556,2.316039,,,3.790532,,,1.063420,1.467660
L2,1.850438,,0.560846,4.743024,1.879466,0.100000,5.397309,0.152287,1.031893,0.100000,1.832481,0.148372,1.013196,1.048267,,,,,,,,,,1.645073,1.209201,1.329013,,0.100000,4.255753,,0.972592,2.227458
L3,,0.520320,0.100000,0.100000,8.373192,,,,0.100000,0.100000,2.644443,1.520173,,,,,,,,,,,,1.461176,7.347818,1.738541,1.020709,,8.706715,4.823825,0.989267,1.055521
L4,1.772866,,,4.990471,1.262609,2.291683,0.274007,1.086234,3.877948,,0.749497,,0.964201,,,,,,,,,,,0.430731,0.100000,,,,1.824973,0.100000,,1.452414
L5,,,,2.534230,5.875965,,,4.474688,1.828718,0.855662,3.322888,2.683923,0.708029,0.981070,,,,,,,,,,5.757170,5.631344,2.797295,0.510871,1.171313,1.446362,,0.524162,2.258963
Mi1,,0.100000,1.656651,0.999510,0.100000,,,3.830196,0.100000,1.549846,2.497566,0.100000,1.046309,1.021521,0.435811,0.100000,0.100000,0.100000,1.327607,,,,,0.100000,0.100000,0.101768,0.954346,6.735535,0.100000,,0.957649,2.913112
Mi4,,,,,0.424097,1.160386,,0.798940,0.988161,1.180069,0.100000,1.019117,,0.969583,,1.066142,0.769280,0.820591,0.975963,,,,,0.731936,0.525407,0.661581,,1.798764,1.025537,0.100000,0.988198,0.979881
Mi9,,,,,,11.205235,2.074106,,6.544239,3.238222,,,0.982208,2.105574,0.978524,0.181555,0.100000,0.720006,1.143547,,,,,0.100000,0.110932,0.100000,1.225752,0.100000,0.100000,3.351337,0.997524,
T1,1.030320,1.572476,0.111545,,1.477187,1.565553,,0.282540,,,3.679287,,,,,,,,,,,,,5.165854,3.200613,1.085374,,,4.519687,,,
