type,neuron_count,kept
R1-6,3735,True
T2a,908,True
Tm3,897,True
T4c,868,True
T3,853,True
L2,848,True
L1,834,True
L5,795,True
T4d,792,True
Mi1,785,True
Tm2,782,True
Mi9,781,True
Tm1,779,True
T5c,770,True
Tm9,767,True
Mi4,766,True
C3,759,True
T4b,759,True
Tm4,755,True
T5b,754,True
Tm20,750,True
T5d,742,True
T2,741,True
T5a,740,True
T4a,720,True
L3,692,True
C2,685,True
Tm21,668,True
T1,658,True
L4,652,True
R8,625,True
Dm2,619,True
TmY5a,604,True
R7,595,True
Tm27,577,True
Dm3p,505,True
Mi15,491,True
Dm3q,445,True
Mi2,424,True
Tm5f,404,True
TmY3,375,True
Tm25,369,True
Mi13,365,True
Dm3v,320,True
Tm5c,308,True
Y3,298,True
Tm5e,259,True
Dm10,251,True
Tm7,250,True
Tm5a,229,True
TmY10,225,True
TmY4,221,True
Tm5b,221,True
Dm8b,203,True
Dm15,201,True
TmY11,199,True
Mi10,199,True
LC12,198,True
Sm02,194,True
TmY9q__perp,188,True
TmY9q,185,True
TmY14,185,True
Lawf2,177,True
Dm8a,175,True
Tm16,169,True
Tm5d,162,True
TmY31,161,True
Sm07,158,True
Tm36,141,True
TmY20,141,True
Sm01,138,True
LC17,134,True
Lawf1,128,True
Mi14,125,True
Tm37,124,True
Pm01,122,True
TmY15,122,True
MeTu1,120,True
LLPC2,120,True
LC10a,116,True
Tm8a,115,True
LPLC2,108,True
Y12,108,True
Dm12,107,True
LLPC1,106,True
Li06,103,True
Lai,102,True
LLPC3,102,True
LC10c,101,True
LC18,96,True
Pm03,96,True
Li10,94,True
LC10d,93,True
Pm02,93,True
Tm32,92,True
LC9,87,True
Y4,85,True
Sm08,85,True
Y1,84,True
Li01,83,True
LPC1,82,True
Li05,81,True
Sm03,80,True
Sm04,78,True
LC16,78,True
Dm9,77,True
Sm06,77,True
Sm12,76,True
Sm09,75,True
LC13,75,True
TmY16,74,True
Pm05,73,True
MeTu3c,72,True
Tlp1,72,True
MeTu4a,70,True
Sm05,70,True
LC21,68,True
LPLC1,68,True
Tm8b,67,True
LC11,66,True
LC6,65,True
Dm11,65,True
Sm15,63,True
Tm33,62,True
Y11,62,True
Tm35,58,True
LPi09,58,True
Pm08,58,True
LPLC4,56,True
MLt2,55,True
LPC2,55,True
LC4,54,True
Li02,53,True
MLt3,53,True
MeTu3b,53,True
Tm31,53,True
LC10e,52,True
LC15,51,True
MTe51,49,True
MLt1,48,True
cLP02,48,True
Dm20,48,True
Dm16,47,True
Tlp4,46,True
MLt4,45,True
Li17,44,True
LPi07,44,True
LC22,43,True
MeTu4c,42,True
LC28a,42,True
LMa5,42,True
Pm04,42,True
LC24,41,True
LC10b,40,True
LPi02,39,True
MTe02,39,True
Dm4,38,True
Li03,37,True
Dm1,36,True
Pm09,35,True
Sm10,35,True
LPi04,35,True
Li13,35,True
LPi05,34,True
MeTu2a,34,True
Tm34,34,True
LC25,34,True
Dm6,34,True
LMa4,34,True
Sm16,33,True
LLPt,32,True
MLt5,31,True
Sm32,31,True
Sm20,31,True
Li11,30,True
MTe01a,29,True
LMt2,29,True
MLt6,29,True
Sm19,28,True
LMa1,28,True
MTe54,28,True
Tlp5,28,True
LPi11,27,True
aMe5,27,True
LC26,26,True
Tlp14,26,True
Pm06,26,True
Li09,26,True
LCe02,25,True
Sm22,25,True
Dm13,25,True
MTe50,25,True
Pm07,25,True
MTe01b,25,True
LMt1,25,True
MLt7,24,True
cLP01,24,True
Dm18,24,True
DmDRA1,24,True
MTe03,23,True
LC20b,23,True
LC29,22,True
Li08,22,True
Pm10,22,True
LPi01,22,True
LPi10,21,True
Li12,20,True
MeTu3a,20,True
Sm18,20,True
Li16,19,True
Sm13,19,True
cLP03,19,True
MeTu4d,19,True
LC40,19,True
LCe04,19,True
LMt4,19,True
Sm21,19,True
Sm23,19,True
LPi08,18,True
LC36,18,True
MTe52,18,True
LCe01b,18,True
LC27,18,True
LC31a,18,True
LPTe01,18,True
LMa3,17,True
LMt3,17,True
LMa2,17,True
LPi06,17,True
Pm11,17,True
Sm14,17,True
Li18,17,True
MeTu2b,17,True
Li15,16,True
uncertain,15,True
LT52,15,True
MTe05,14,True
Sm30,14,True
Dm14,14,True
Dm19,14,True
LC33,14,True
Li14,13,True
LC20a,13,True
Li07,12,True
LC45,12,True
MTe04,12,True
LCe03,12,True
DmDRA2,12,True
LT51,11,True
LCe05,11,True
LT57,11,True
LCe01a,11,True
Sm31,11,True
Li04,10,True
MTe06,10,True
Sm26,10,True
MLt8,10,True
Li22,9,True
cL01,9,True
LC37,9,True
aMe4,9,True
MeTu4b,9,True
LTe64,8,True
Sm25,8,True
LCe09,8,True
LTe09,8,True
LC19,8,True
MTe53,8,True
LC34,7,True
Sm17,7,True
Li21,7,True
LC46,7,True
MTe07,7,True
Sm27,7,True
LPi03,6,True
LTe58,6,True
MTe09,6,True
LC41,6,True
LCe07,6,True
APDN3,6,True
MTe08,6,True
LC43,6,True
LC31b,5,True
Sm34,5,True
Sm29,5,True
PDt,5,True
LCe06,5,True
LPTe02,5,True
LTe68,5,True
LTe38a,4,True
cL03,4,True
LC39,4,True
VST2,4,True
MTe10,4,True
Li26,4,True
Li24,4,True
Dm17,4,True
LT81,4,True
LC35,4,True
LTe66,4,True
cL02a,4,True
LT70,4,True
Sm11,4,True
LTe43,4,True
LPT31,4,True
LT53,4,True
LT78,4,True
Sm24,4,True
LTe63,3,True
cL02b,3,True
LTe33,3,True
LPT23,3,True
cL18,3,True
MTe12,3,True
cM08a,3,True
LLPC4,3,True
LT38,3,True
cLLPM01,3,True
LT74,3,True
cM08c,3,True
aMe26,3,True
LTe49b,3,True
LTe65,3,True
MTe11,3,True
LTe01,3,True
cM04,3,True
LTe32,3,True
LT77,3,True
Sm43,3,True
cL02c,3,True
LTe49c,3,True
LT82,3,True
LatB,3,True
Sm36,3,True
MC65,3,True
Li20,3,True
Sm28,3,True
Sm35,3,True
cM03,3,True
cLLP02,2,True
LC44,2,True
LT63,2,True
LTe54,2,True
LC10f,2,True
LTe50,2,True
LTe49e,2,True
MTe13,2,True
aMe17c,2,True
LTe37,2,True
Pm13,2,True
cM08b,2,True
cL21,2,True
Sm38,2,True
MTe17,2,True
Li28,2,True
LT80,2,True
Nod1,2,True
Li25,2,True
PLP231,2,True
Li27,2,True
MTe16,2,True
Sm33,2,True
OA-AL2i2,2,True
mALC6,2,True
MTe18,2,True
cL04,2,True
LTe02,2,True
LT68,2,True
PLP174,2,True
CB2216,2,True
cM11,2,True
LT73,2,True
VST1,2,True
Pm14,2,True
LT64,2,True
LTe38b,2,True
LTe47,2,True
Sm40,2,True
DN1a,2,True
LPi14,2,True
s-CPDN3A,2,True
aMe17b,2,True
MTe14,2,True
Pm12,2,True
Li19,2,True
OA-AL2i3,2,True
LTe49a,2,True
LTe03,2,True
MTe15,2,True
LT43,2,True
aMe8,2,True
CB3089,2,True
aMe12,2,True
cM09,2,True
VSm,2,True
CB3790,2,True
PLP241,2,True
s-LNv,2,True
LTe67,2,True
aMe1,2,True
LTe59a,1,True
DCH,1,True
LTe49f,1,True
LTe76,1,True
OA-AL2i1,1,True
PLP032,1,True
cM15,1,True
MTe40,1,True
cL11,1,True
LTe17,1,True
MeTu4_unknown,1,True
LPT27,1,True
LT47,1,True
LT33,1,True
aMe6a,1,True
OA-AL2i4,1,True
LTe46,1,True
MTe32,1,True
aMe3,1,True
LTe74,1,True
LTe23,1,True
LT61a,1,True
cM05,1,True
H2,1,True
mALC4,1,True
cM19,1,True
MTe49,1,True
aMe22,1,True
cLP04,1,True
cM14,1,True
cM01b,1,True
LT85,1,True
cL22b,1,True
Li32,1,True
HSN,1,True
CB3238,1,True
LT34,1,True
LTe31,1,True
LT84,1,True
VCH,1,True
LTe62,1,True
LPT29,1,True
LTe08,1,True
MTe21,1,True
Lat,1,True
MTe22,1,True
CT1,1,True
PLP021,1,True
HSE,1,True
cL22a,1,True
CB2197,1,True
MTe23,1,True
cLPL01,1,True
Am1,1,True
LTe27,1,True
LT36,1,True
LT11,1,True
LPT49,1,True
LT76,1,True
MTe35,1,True
LT75,1,True
MTe28,1,True
CB2685,1,True
MTe38,1,True
vCal1,1,True
LC31c,1,True
LTe73,1,True
Li23,1,True
aMe17a1,1,True
LPT47_vCal2,1,True
VS2,1,True
LPT52,1,True
cL13,1,True
CB2848,1,True
DNpe053,1,True
cMLLP01,1,True
cLLPM02,1,True
LTe28,1,True
cL22c,1,True
LTe49d,1,True
cL15,1,True
VS6,1,True
Nod2,1,True
PLP215,1,True
LPT53,1,True
aMe24,1,True
cM16,1,True
LT41,1,True
LTe10,1,True
LTe21,1,True
LTe59b,1,True
mALB5,1,True
LTe25,1,True
MTe44,1,True
LT39,1,True
MTe27,1,True
PLP185,1,True
PLP251,1,True
LPi13,1,True
Nod5,1,True
CB3235,1,True
cL09,1,True
LTe56,1,True
LTe42c,1,True
LPT21,1,True
VS8,1,True
LTe14,1,True
LNd_CRY+_ITP+,1,True
MTe39,1,True
LTe12,1,True
cM12,1,True
LT58,1,True
MTe43,1,True
LT87,1,True
aMe25,1,True
cML01,1,True
LTe36,1,True
PLP069,1,True
MTe45,1,True
MTe26,1,True
cL05,1,True
LT1d,1,True
Sm37,1,True
Li29,1,True
LTe42b,1,True
LTe48,1,True
MTe34,1,True
MTe30,1,True
LTe16,1,True
cM10,1,True
LTe53,1,True
LT67,1,True
Li30,1,True
LT60,1,True
LPT51,1,True
PLP068,1,True
PLP155,1,True
DGI,1,True
LTe29,1,True
cL10,1,True
DN1-l,1,True
CB0230,1,True
LPT28,1,True
Sm39,1,True
cM02a,1,True
LTe20,1,True
LT59,1,True
LT1c,1,True
cL07,1,True
LTe04,1,True
LTe35,1,True
mALD2,1,True
LTe07,1,True
LTe42a,1,True
cLM01,1,True
MTe25,1,True
cM01c,1,True
LPT48_vCal3,1,True
cMLLP02,1,True
LTe18,1,True
cL08,1,True
aMe20,1,True
HSS,1,True
LT69,1,True
LPT54,1,True
AN_multi_124,1,True
Li31,1,True
cM17,1,True
LTe41,1,True
aMe6c,1,True
LTe55,1,True
LT37,1,True
PLP004,1,True
MTe20,1,True
CB2580,1,True
LT72,1,True
PLP177,1,True
5-HTPMPV01,1,True
LCe08,1,True
LTe57,1,True
LTe22,1,True
MTe42,1,True
cM06,1,True
LTe06,1,True
cM02b,1,True
LTe30,1,True
LPT30,1,True
cM07,1,True
LTe19,1,True
LT83,1,True
HBeyelet,1,True
CB0802,1,True
