,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Mi4,Mi9,T1,T2,T2a,T3,T4a,T4b,T4c,T4d,T5a,T5b,T5c,T5d,Tm1,Tm2,Tm20,Tm21,Tm3,Tm4,Tm9,C2,C3
R1-6,2.455845,,,5.000000,5.000000,0.500000,0.500000,,,,,0.500000,,,,,,,,,,,,,,,,,,,0.500000,0.500000
R7,,,0.757684,5.000000,,1.002825,,,0.500000,0.582960,0.821861,,,,,,,,,,,,,,,0.723640,,,,,,0.500000
R8,,5.000000,0.500000,5.000000,0.500000,0.500000,,5.000000,0.500000,0.500000,0.892051,5.000000,,,,,,,,,,,,,,3.615903,1.060624,,,,3.610088,0.500000
L1,0.595825,3.891987,2.891424,0.501063,0.501174,1.712856,0.500000,5.000000,0.500000,0.500000,,5.000000,0.500000,0.622466,,,,,,,,,,0.500000,0.500000,,,1.727323,,,0.500000,0.609141
L2,0.500000,,0.500000,3.309874,5.000000,4.133299,5.000000,0.500000,0.500000,0.500000,0.500000,5.000000,0.500000,1.048894,,,,,,,,,,0.500000,2.769086,1.949083,,0.500000,4.350630,,0.520582,0.500000
L3,,2.918562,4.791368,4.867981,5.000000,,,,0.500000,1.609764,1.041414,5.000000,,,,,,,,,,,,1.680429,0.500000,0.500000,0.990320,,0.686669,1.194437,0.500000,0.500000
L4,0.500000,,,5.000000,5.000000,4.870368,1.108336,3.815904,0.653826,,0.500000,,1.772004,,,,,,,,,,,0.500000,2.591309,,,,0.500000,0.500000,,5.000000
L5,,,,1.435655,0.500000,,,5.000000,0.500000,0.500000,0.500000,3.961327,3.037639,0.500000,,,,,,,,,,0.500000,0.500000,5.000000,3.499362,5.000000,0.500000,,2.153982,5.000000
Mi1,,5.000000,5.000000,0.500000,4.644085,,,4.965401,0.500000,1.228875,0.690804,2.708325,1.534787,5.000000,1.851188,0.500000,0.500000,0.500000,4.671212,,,,,0.500000,0.500000,2.629500,4.738246,2.017546,3.024165,,4.653313,0.500000
Mi4,,,,,5.000000,3.208162,,0.500000,0.558442,1.449362,0.500000,5.000000,,0.500000,,0.500000,4.811757,0.500000,0.500000,,,,,0.500000,1.765146,0.500000,,5.000000,3.937738,5.000000,2.569282,0.500000
Mi9,,,,,,0.618226,0.500000,,5.000000,0.650743,,,1.724431,0.500000,0.500000,0.829841,0.500000,4.513766,0.500000,,,,,0.851999,5.000000,5.000000,5.000000,0.500000,1.671325,0.500000,0.500000,
T1,0.500000,0.852452,1.792626,,2.999867,1.787308,,0.500000,,,0.500000,,,,,,,,,,,,,0.638420,0.500000,1.830535,,,0.500000,,,
T2,,,,,,,,5.000000,1.440057,,4.074765,,0.500000,0.983384,0.750697,,,,,,,,,0.583463,0.500000,,0.500000,5.000000,0.500000,,,
T2a,,,,,,,,,2.433644,,,,1.562207,0.500000,4.960358,,,,,,,,,0.505119,,2.303734,0.955907,0.500000,4.993616,,0.500000,
