cell_idx,cell,a_gt,bias_gt,a_in,a_out,e_leak,v_th,tau_lp,tau_hp,a_h,v_pre,v_onset,v_spot_end,delta_v
0,R1-6,0.979325,3.258259,3.591220,0.661542,-17.537556,-32.479420,10.000000,202.394592,0.000000,3.200742,3.258259,7.464068,4.205809
1,R7,1.017565,-17.041922,3.591220,10.000000,-36.391460,-13.151244,10.000000,198.536255,0.000000,-17.095406,-17.041922,-12.417742,4.624180
2,R8,1.046883,-2.237711,3.591220,3.016876,-22.142839,-27.488352,61.321243,202.385406,0.000000,-2.252927,-2.237711,0.339897,2.577608
3,L1,1.866008,-20.088844,3.591220,3.173940,-20.042261,-29.462584,10.000000,245.163422,1.000000,-20.042263,-20.088844,-25.875237,-5.786392
4,L2,2.000000,-19.004333,3.591220,3.043318,-17.792017,-32.529675,10.000000,253.924423,0.983070,-18.930647,-19.004333,-26.450993,-7.446659
5,L3,1.734435,-22.263462,3.591220,6.524105,-22.661203,-27.070091,40.376637,196.777527,0.000000,-22.202980,-22.263462,-24.689762,-2.426300
6,L4,0.834187,-7.185437,3.591220,0.489298,-7.163288,-42.829666,12.421327,254.622879,1.000000,-7.163287,-7.185437,-13.355199,-6.169762
7,L5,2.000000,-27.996422,3.591220,2.270259,-24.040749,-25.754587,10.000000,197.391708,0.849667,-28.045467,-27.996422,-18.792835,9.203587
8,Mi1,2.000000,-18.146976,3.591220,0.208991,-10.095299,-40.241081,14.525946,199.635895,0.000000,-18.119457,-18.146976,-6.436684,11.710293
9,Tm3,1.690021,-9.115616,3.591220,0.789220,-4.476823,-45.358891,10.000000,206.171463,0.000000,-9.052059,-9.115616,6.754289,15.869905
10,Mi4,2.000000,-26.548702,3.591220,10.000000,-25.591593,-24.340597,10.000000,202.995728,0.000000,-26.517412,-26.548702,-12.614333,13.934369
11,Mi9,1.924500,-11.709876,3.591220,1.346360,-20.510098,-29.207752,12.852868,202.975769,0.000000,-11.641032,-11.709876,-20.340250,-8.630374
12,T4a,0.977248,-19.384993,3.591220,5.642440,-21.333076,-28.803457,46.470787,191.692993,0.000000,-19.384069,-19.384993,-30.440311,-11.055319
13,T4b,1.026773,0.777821,3.591220,4.271701,-10.191733,-39.547558,10.000000,204.495453,0.000000,0.913428,0.777821,12.714774,11.936953
14,T4c,0.958304,-33.300381,3.591220,4.874979,-24.493963,-25.822180,10.000000,191.720947,0.000000,-33.248264,-33.300381,-23.464411,9.835970
15,T4d,0.988920,-9.829627,3.591220,7.387243,-2.370612,-47.437775,10.000000,196.461014,0.000000,-9.600855,-9.829627,-3.560383,6.269244
16,Tm1,2.000000,1.832255,3.591220,1.016939,-11.792130,-38.295650,10.000000,207.420151,0.000000,1.887406,1.832255,-8.465631,-10.297887
17,Tm2,2.000000,-0.866174,3.591220,0.406615,-20.250004,-29.677387,10.000000,206.657211,0.000000,-0.801631,-0.866174,-8.670751,-7.804577
18,Tm4,1.771114,-14.926375,3.591220,5.437100,-19.289858,-30.481276,10.000000,201.728363,0.000000,-14.995360,-14.926375,-27.083323,-12.156947
19,Tm9,1.642232,6.970502,3.591220,0.100000,-2.275040,-47.705120,10.000000,198.107452,0.000000,7.194074,6.970502,-2.763725,-9.734227
20,T5a,0.964568,74.809364,3.591220,6.645229,-35.464294,-14.706724,15.190560,203.654327,0.000000,60.744183,74.809364,157.859818,83.050453
21,T5b,1.037620,44.735191,3.591220,8.770937,6.911554,-56.682961,52.169712,192.365814,0.000000,44.584938,44.735191,40.873409,-3.861782
22,T5c,1.004699,40.397770,3.591220,3.685907,-7.677740,-41.979271,30.711771,206.194382,0.000000,39.756046,40.397770,30.210043,-10.187727
23,T5d,1.027673,-4.797348,3.591220,4.636086,0.817834,-50.634773,15.838569,205.722946,0.000000,-4.877102,-4.797348,-5.751897,-0.954548
24,T1,1.041854,-16.554363,3.591220,3.779755,-24.112242,-25.411127,51.130672,200.625961,0.000000,-16.455048,-16.554363,-19.713129,-3.158766
25,T2,0.999167,-9.206380,3.591220,1.137635,-15.912966,-34.419945,53.208435,190.401825,0.000000,-9.193319,-9.206380,4.259737,13.466117
26,T2a,0.959739,-8.224533,3.591220,3.799578,-12.272475,-37.935570,28.220707,194.960602,0.000000,-8.191109,-8.224533,-7.865319,0.359214
27,T3,1.009148,99.584312,3.591220,0.377774,-2.780440,-46.757622,40.219746,207.706207,0.000000,98.970787,99.584312,82.000038,-17.584274
28,C2,1.031919,-63.170776,3.591220,4.544946,-11.790780,-38.221947,10.000000,203.662598,0.000000,-63.159931,-63.170776,-43.181515,19.989262
29,C3,0.962766,-53.712006,3.591220,1.045308,-6.635247,-43.560837,10.000000,201.777756,0.000000,-53.575298,-53.712006,-34.972507,18.739498
30,Lawf1,1.002224,-6.473628,3.591220,0.960724,-25.177362,-24.655897,10.000000,195.405869,0.000000,-3.737214,-6.473628,-21.453362,-14.979734
31,Lawf2,0.987450,-4.561552,3.591220,2.684418,-28.458992,-21.169821,10.000000,201.267639,0.000000,-4.762037,-4.561552,-12.625513,-8.063961
32,Dm3v,0.992276,15.595754,3.591220,3.546802,-6.597825,-43.204208,15.804657,202.283112,0.000000,15.532337,15.595754,-9.434016,-25.029770
33,Lai,0.996363,-65.347305,3.591220,0.100000,-1.490757,-48.572090,10.000000,195.440750,0.000000,-64.696709,-65.347305,-78.011711,-12.664406
34,Mi10,0.961423,-4.229784,3.591220,0.100000,-11.729990,-38.054348,10.000000,199.717422,0.000000,-4.464605,-4.229784,-4.727365,-0.497581
35,Mi13,1.047786,-19.688957,3.591220,1.793481,-24.100948,-26.215364,58.243145,207.654709,0.000000,-19.612965,-19.688957,-20.738535,-1.049578
36,Mi14,0.987604,12.703724,3.591220,3.140603,-2.316833,-48.073563,10.000000,194.804047,0.000000,12.586392,12.703724,9.999488,-2.704236
37,Mi15,0.987342,-33.293602,3.591220,5.257160,-15.662987,-34.392822,10.000000,206.505020,0.000000,-33.152634,-33.293602,-28.793949,4.499653
38,Mi2,1.020933,-22.985540,3.591220,3.637539,-24.925085,-24.604031,10.000000,204.507797,0.000000,-22.974953,-22.985540,-21.865740,1.119801
39,Tm16,0.980096,-26.338266,3.591220,7.196622,-20.792063,-29.338577,51.388138,205.433014,0.000000,-26.132816,-26.338266,-168.972290,-142.634024
40,Tm20,1.009765,-12.926244,3.591220,5.729976,-20.011332,-30.235924,52.278328,200.211960,0.000000,-13.138112,-12.926244,-47.655613,-34.729369
41,Tm21,1.004144,1.732592,3.591220,4.064918,-8.760532,-41.627678,10.000000,208.737793,0.000000,1.656799,1.732592,36.969437,35.236845
42,Tm27,0.954652,2.462945,3.591220,0.865582,-16.184227,-33.633915,10.000000,193.281235,0.000000,1.340822,2.462945,-9.866199,-12.329144
43,Tm5a,1.042006,200.000000,3.591220,9.362297,19.669708,-69.988831,19.982149,190.531769,0.000000,1761.996460,3149.297119,20447.033203,17297.736084
44,Tm5b,1.010586,14.901470,3.591220,6.303378,14.581424,-65.066681,10.000000,203.992249,0.000000,10.732403,14.901470,103.384964,88.483494
45,Tm5c,1.003587,-6.837858,3.591220,5.954318,-8.543379,-41.830269,10.000000,193.210449,0.000000,-6.935297,-6.837858,-10.073329,-3.235471
46,Tm5f,1.036302,200.000000,3.591220,1.160404,5.990214,-55.492615,20.298857,196.728424,0.000000,287.244507,440.685486,4081.774170,3641.088684
