idx,ctype,inp_gain,out_gain,tau_m,bias,adapt_gain,tau_adapt,out_scale,gate_pivot
0,R1,1.269673,0.100000,46.088955,1.202989,-1.998986,115.454992,26.217819,0.500000
1,R2,2.384008,3.498765,28.073969,0.217984,-1.998986,115.454992,24.561666,0.500000
2,R3,4.459097,0.101960,51.629535,1.900991,-1.998986,115.454992,18.811436,0.500000
3,R4,8.850614,0.100000,51.161574,1.779925,-1.998986,115.454992,19.464168,0.500000
4,R5,4.353255,0.536021,41.384537,0.457008,-1.998986,115.454992,25.136713,0.500000
5,R6,4.750702,13.805679,10.000000,-0.753975,-1.998986,115.454992,16.414687,0.500000
6,R7,0.688411,0.100000,54.202573,2.000000,-2.000000,130.782474,30.182173,0.500000
7,R8,1.149729,8.236270,48.019092,2.000000,-1.997724,107.029890,19.716802,0.500000
8,L1,7.184763,0.100000,51.593879,-1.502819,0.448845,118.456222,3.655891,0.500000
9,L2,3.411114,6.750028,45.980045,0.150948,0.802130,102.813670,15.700724,0.500000
10,L3,5.104859,6.230012,52.968593,2.000000,-2.000000,127.779766,22.248693,0.500000
11,L4,7.960429,5.431304,42.728678,1.999759,-1.999757,99.828808,43.109839,0.500000
12,L5,3.986519,3.539119,58.769066,1.643055,-0.345177,99.862997,0.000000,0.500000
13,Lawf1,1.565446,2.263598,45.577828,1.232105,0.000000,10.000000,1.000000,0.500000
14,Lawf2,0.100000,0.100000,54.935108,-0.710074,0.000000,10.000000,1.000000,0.500000
15,Am,1.147312,0.100000,46.667165,-0.555016,0.000000,10.000000,1.000000,0.500000
16,C2,0.100000,0.100000,49.464773,-0.531423,0.000000,10.000000,1.000000,0.500000
17,C3,0.761689,0.100000,49.337213,-0.499378,0.000000,10.000000,1.000000,0.500000
18,CT1(Lo1),8.355711,9.839414,118.190171,0.830921,0.000000,10.000000,1.000000,0.500000
19,CT1(M10),0.548371,0.447277,45.571321,-0.386706,0.000000,10.000000,1.000000,0.500000
20,Mi1,4.637209,5.373258,57.752396,-1.706233,0.000000,10.000000,0.000000,0.500000
21,Mi2,0.104239,0.121338,62.073641,1.782167,0.000000,10.000000,1.000000,0.500000
22,Mi3,0.566334,0.530366,47.844553,-0.172684,0.000000,10.000000,1.000000,0.500000
23,Mi4,4.814199,4.028379,10.000000,-1.231807,0.000000,10.000000,5.632064,0.500000
24,Mi9,9.032191,9.580766,66.115377,-1.960924,0.000000,10.000000,5.485458,0.500000
25,Mi10,2.097251,8.743646,50.092719,2.000000,0.000000,10.000000,1.000000,0.500000
26,Mi11,0.507692,0.519894,46.835972,-0.046801,0.000000,10.000000,1.000000,0.500000
27,Mi12,0.649247,0.100000,51.927583,-0.155316,0.000000,10.000000,1.000000,0.500000
28,Mi13,0.100000,0.367301,50.618194,-1.318002,0.000000,10.000000,1.000000,0.500000
29,Mi14,0.494522,0.398585,51.604778,-0.923941,0.000000,10.000000,1.000000,0.500000
30,Mi15,0.100000,0.100000,45.980298,-0.509997,0.000000,10.000000,1.000000,0.500000
31,T1,10.455397,8.633613,54.695013,1.922060,0.000000,10.000000,1.000000,0.500000
32,T2,1.884927,1.401389,45.267105,1.223374,0.000000,10.000000,1.000000,0.500000
33,T2a,0.168585,0.425619,49.654968,-0.683455,0.000000,10.000000,1.000000,0.500000
34,T3,12.527849,11.699792,51.793734,1.388165,0.000000,10.000000,1.000000,0.500000
35,T4a,2.098901,12.481948,16.264646,1.029283,0.000000,10.000000,1.000000,0.500000
36,T4b,0.394921,0.523009,52.809425,-0.223518,0.000000,10.000000,1.000000,0.500000
37,T4c,0.374597,1.129574,46.782917,-0.330964,0.000000,10.000000,1.000000,0.500000
38,T4d,0.597369,0.100000,52.899770,-0.492683,0.000000,10.000000,1.000000,0.500000
39,T5a,0.100000,0.460774,51.626077,-1.689560,0.000000,10.000000,1.000000,0.500000
40,T5b,0.100000,0.100000,31.408039,-0.116955,0.000000,10.000000,1.000000,0.500000
41,T5c,2.059989,1.816467,40.311265,-0.196186,0.000000,10.000000,1.000000,0.500000
42,T5d,0.100000,0.100000,52.989751,-1.815854,0.000000,10.000000,1.000000,0.500000
43,Tm1,7.257494,0.170809,78.320941,-2.000000,0.000000,10.000000,7.722078,0.500000
44,Tm2,4.313569,0.100000,10.000000,-1.999975,0.000000,10.000000,9.966377,0.500000
45,Tm3,0.100000,1.129202,53.194815,-0.945916,0.000000,10.000000,0.000000,0.500000
46,Tm4,5.636836,1.136307,25.975828,2.000000,0.000000,10.000000,9.472804,0.500000
47,Tm5Y,8.489080,8.115588,31.749489,-2.000000,0.000000,10.000000,1.000000,0.500000
48,Tm5a,0.559232,0.596651,51.155763,-0.022054,0.000000,10.000000,1.000000,0.500000
49,Tm5b,1.921944,1.576130,52.060055,-0.209773,0.000000,10.000000,1.000000,0.500000
50,Tm5c,14.883266,13.569193,10.000000,1.774333,0.000000,10.000000,1.000000,0.500000
51,Tm9,11.183109,12.410647,18.290387,-0.882147,0.000000,10.000000,9.084675,0.500000
52,Tm16,1.016682,0.963963,45.835220,-0.387861,0.000000,10.000000,1.000000,0.500000
53,Tm20,9.259796,9.098336,37.227732,0.267867,0.000000,10.000000,1.000000,0.500000
54,Tm28,1.655482,1.625755,52.977961,-0.792171,0.000000,10.000000,1.000000,0.500000
55,Tm30,0.488012,0.594678,54.710375,0.042919,0.000000,10.000000,1.000000,0.500000
56,TmY3,19.756939,21.660241,43.959357,1.997671,0.000000,10.000000,1.000000,0.500000
57,TmY4,0.133296,0.100000,53.938349,-0.621748,0.000000,10.000000,1.000000,0.500000
58,TmY5a,0.100000,3.566047,58.749522,-2.000000,0.000000,10.000000,1.000000,0.500000
59,TmY9,0.100000,0.100000,50.103012,-0.678924,0.000000,10.000000,1.000000,0.500000
60,TmY10,11.429230,11.785603,39.062130,-2.000000,0.000000,10.000000,1.000000,0.500000
61,TmY13,0.100000,0.100000,46.418219,-0.668143,0.000000,10.000000,1.000000,0.500000
62,TmY14,3.211983,2.935616,35.223963,1.752186,0.000000,10.000000,1.000000,0.500000
63,TmY15,0.222402,2.355725,13.766114,1.413223,0.000000,10.000000,1.000000,0.500000
64,TmY18,7.153321,7.979475,56.297374,2.000000,0.000000,10.000000,1.000000,0.500000
