idx,ctype,in_gain,out_gain,out_scale,tau_lp,tau_hp,v_rest,hp_gain
0,R1-6,1.000000,5.000000,0.978157,33.911617,9998.447107,-0.473622,1.000000
1,R7,1.000000,5.000000,1.036017,34.424029,10000.000000,-0.094751,1.000000
2,R8,1.000000,5.000000,0.961755,38.467610,9996.427670,-0.425063,1.000000
3,L1,1.000000,5.000000,0.971799,38.227273,202.301656,3.430411,5.000000
4,L2,1.000000,3.916485,1.019958,35.461655,193.256184,5.047785,5.000000
5,L3,1.000000,0.500000,0.984306,35.638060,10000.000000,-2.555851,1.000000
6,L4,1.000000,1.051399,1.027899,42.931472,205.916717,-0.345590,5.000000
7,L5,1.000000,5.000000,0.950006,35.918905,182.876458,0.293235,2.807052
8,Mi1,1.000000,2.977650,1.023966,37.214468,9997.545352,7.812985,1.000000
9,Mi4,1.000000,5.000000,1.000319,39.463896,9991.204504,1.590928,1.000000
10,Mi9,1.000000,2.068362,1.022866,41.309562,9989.319936,2.769845,1.000000
11,T1,1.000000,2.781839,1.030396,44.787008,9996.664330,-5.129798,1.000000
12,T2,1.000000,5.000000,1.007367,58.559917,9989.816499,3.915471,1.000000
13,T2a,1.000000,5.000000,0.965816,44.435759,9991.511847,3.511062,1.000000
14,T3,1.000000,1.645750,0.981003,48.312685,9983.029219,0.847371,1.000000
15,T4a,1.000000,1.763760,1.026423,51.621974,9994.819670,8.892185,1.000000
16,T4b,1.000000,1.614029,1.003480,52.237259,9995.367332,8.818888,1.000000
17,T4c,1.000000,0.510105,1.023591,51.509270,9998.194615,6.051327,1.000000
18,T4d,1.000000,0.816778,0.986345,48.381111,9999.999954,-0.852233,1.000000
19,T5a,1.000000,0.500000,0.985674,49.434821,9992.559119,-2.965285,1.000000
20,T5b,1.000000,4.989516,1.049280,55.448799,9998.218188,11.393727,1.000000
21,T5c,1.000000,4.638287,1.032383,45.966926,9999.980020,3.478078,1.000000
22,T5d,1.000000,5.000000,1.049243,51.501703,9997.510766,0.802937,1.000000
23,Tm1,1.000000,3.979427,1.005870,36.844517,9992.850630,9.677303,1.000000
24,Tm2,1.000000,0.500000,0.975842,36.169749,10000.000000,-3.695947,1.000000
25,Tm20,1.000000,5.000000,1.027544,33.229525,9987.233168,11.027709,1.000000
26,Tm21,1.000000,2.511685,1.045167,45.623704,9994.476709,2.022234,1.000000
27,Tm3,1.000000,4.641914,0.951001,37.465645,10000.000000,3.501505,1.000000
28,Tm4,1.000000,3.897673,1.001497,40.480790,10000.000000,1.341941,1.000000
29,Tm9,1.000000,3.077450,1.005090,38.480251,9987.576591,11.348410,1.000000
30,C2,1.000000,1.356616,0.970870,51.291038,10000.000000,-0.560232,1.000000
31,C3,1.000000,4.871462,1.021785,44.245801,9996.781987,-2.292096,1.000000
