pre_type,post_type,nt_type,gS,e_syn,v_th,k_minus,delta,s
R1-6,L1,Histamine,0.0009041568874650271,-69.6401554394207,-45.34463447044145,0.1179650230671546,3.590983937410978,0.0
R1-6,L3,Histamine,0.0008580690597405362,-68.04547522220525,-45.34463447044145,0.1179650230671546,3.590983937410978,0.0
R7,L3,Histamine,0.0007856710271281045,-68.04547522220525,-48.57488142691709,0.13808337950451766,3.1447944647822736,0.0
R8,L1,Histamine,0.0005578918268800714,-69.6401554394207,-50.31196228994613,0.1,3.5,0.0
L1,L5,GLUT,0.00039664861436815833,-72.9679378803513,-50.06080010183841,0.109990519143488,3.026099923955912,0.0
L1,Mi1,GLUT,0.0008190020529786815,-73.13119251644702,-50.06080010183841,0.109990519143488,3.026099923955912,0.0
L1,Tm3,GLUT,0.0005987192529083584,-72.63624835472203,-50.06080010183841,0.109990519143488,3.026099923955912,0.0
L3,Mi1,ACH,0.00029882332615860043,-1.1268796225519586,-52.7442762721345,0.0956625054935235,3.350154360670813,0.0
L3,Mi9,ACH,0.0006393861171016752,0.375568083978821,-52.7442762721345,0.0956625054935235,3.350154360670813,0.0
L4,Mi9,ACH,0.0006643947398558872,0.375568083978821,-51.48974406122512,0.07425994892347455,3.3949129576654995,0.0
L5,L1,ACH,0.0003342843789592139,-0.5698841003001525,-44.61950771507816,0.1299462619239291,3.904476232105399,0.0
L5,L5,ACH,0.0003006881509971413,-0.8001127200348218,-44.61950771507816,0.1299462619239291,3.904476232105399,0.0
L5,Mi1,ACH,0.0002668105747719647,-1.1268796225519586,-44.61950771507816,0.1299462619239291,3.904476232105399,0.0
L5,Mi4,ACH,0.0004650096392469124,0.01959434063005232,-44.61950771507816,0.1299462619239291,3.904476232105399,0.0
L5,Tm3,ACH,0.00031487037415905874,-0.6952740604267602,-44.61950771507816,0.1299462619239291,3.904476232105399,0.0
Mi9,T4a,GLUT,0.0006974890577375435,-71.60597544578297,-44.18450422643616,0.06659826525429716,4.3891921009395345,0.0
Tm3,T4a,ACH,0.00031913752263269444,-0.21456514236554067,-43.88019130830711,0.06097435752196026,3.5625805207359718,0.0
Mi1,L1,ACH,0.0003850559855750688,-0.5698841003001525,-47.07727054210486,0.08995933493269108,3.4253979503221963,0.0
Mi1,L5,ACH,0.0003463571127476342,-0.8001127200348218,-47.07727054210486,0.08995933493269108,3.4253979503221963,0.0
Mi1,Mi4,ACH,0.0005356359920245437,0.01959434063005232,-47.07727054210486,0.08995933493269108,3.4253979503221963,0.0
Mi1,T4a,ACH,0.00046679166338802044,-0.21456514236554067,-47.07727054210486,0.08995933493269108,3.4253979503221963,0.0
Mi1,Tm3,ACH,0.00036269335296998693,-0.6952740604267602,-47.07727054210486,0.08995933493269108,3.4253979503221963,0.0
Mi4,T4a,GABA,0.0007689771146408594,-71.60597544578297,-52.590803474371704,0.10902586417316894,3.2644117565731747,0.0
