pre_root_id,post_root_id,neuropil,syn_count,nt_type,pre_type,post_type
720575940612207473,720575940616367133,ME_R,41,ACH,L5,Mi1
720575940621237126,720575940618721364,LA_R,30,Histamine,R1-6,L3
720575940605910886,720575940627302415,ME_R,16,ACH,L5,Tm3
720575940636913527,720575940628519665,LA_R,46,Histamine,R1-6,L1
720575940629247337,720575940626820964,LA_R,52,Histamine,R1-6,L1
720575940629999975,720575940608161410,LA_R,67,Histamine,R1-6,L2
720575940612091342,720575940632414226,LA_R,39,Histamine,R1-6,L1
720575940631309164,720575940607907970,LA_R,5,Histamine,R1-6,R1-6
720575940616110239,720575940624026762,ME_R,4,Histamine,R8,L1
720575940623555780,720575940620881134,LA_R,2,GABA,L1,L5
720575940611625682,720575940628187450,LA_R,60,Histamine,R1-6,L1
720575940629014858,720575940640108120,LA_R,70,Histamine,R1-6,L2
720575940624416403,720575940627967101,ME_R,67,GLUT,L1,Mi1
720575940620881134,720575940626078864,ME_R,22,ACH,L5,Tm3
720575940624755092,720575940627302415,ME_R,8,ACH,L5,Tm3
720575940631186176,720575940618028545,LA_R,34,Histamine,R1-6,L3
720575940623327231,720575940630964551,ME_R,18,ACH,L3,Mi1
720575940644455840,720575940628671488,ME_R,5,Histamine,R7,Mi9
720575940613201381,720575940627967101,ME_R,5,ACH,L5,Mi1
720575940626078864,720575940626820964,ME_R,7,ACH,Tm3,L1
720575940634380257,720575940613304291,LA_R,38,Histamine,R1-6,L3
720575940618046109,720575940617027257,ME_R,43,ACH,L5,Mi1
720575940615141782,720575940628671488,ME_R,126,ACH,L3,Mi9
720575940624049546,720575940640108120,LA_R,55,Histamine,R1-6,L2
720575940626451504,720575940628187450,LA_R,42,Histamine,R1-6,L1
720575940627723416,720575940607039618,ME_R,26,ACH,Mi1,T4b
720575940626995033,720575940610656046,LA_R,4,Histamine,R8,L1
720575940627723416,720575940626078864,ME_R,17,ACH,Mi1,Tm3
720575940622914917,720575940623304230,LA_R,48,Histamine,R1-6,L1
720575940626898494,720575940632777420,LA_R,35,Histamine,R1-6,L3
720575940617876293,720575940627837713,ME_R,7,ACH,Tm3,Tm3
720575940615949791,720575940607039618,ME_R,8,GABA,Mi4,T4b
720575940645790231,720575940620548289,LA_R,47,Histamine,R1-6,L1
720575940632050986,720575940630964551,ME_R,14,Histamine,R8,Mi1
720575940632038219,720575940627084132,LA_R,50,Histamine,R1-6,L1
720575940605910886,720575940615949791,ME_R,28,ACH,L5,Mi4
720575940629709879,720575940621502068,LA_R,24,Histamine,R1-6,L3
720575940623836440,720575940605032364,ME_R,7,Histamine,R8,L1
720575940639159012,720575940638737085,LA_R,41,Histamine,R1-6,L1
720575940612948210,720575940644726728,ME_R,9,Histamine,R7,R8
720575940621774433,720575940632414226,LA_R,55,Histamine,R1-6,L1
720575940607492553,720575940626024122,LA_R,26,Histamine,R1-6,L3
720575940626386224,720575940621445808,LA_R,17,Histamine,R1-6,L3
720575940629247337,720575940628540420,LA_R,7,Histamine,R1-6,R1-6
720575940624651191,720575940624194707,LA_R,39,Histamine,R1-6,L3
720575940630964551,720575940635761144,ME_R,13,ACH,Mi1,Tm3
720575940630964551,720575940638136666,ME_R,16,ACH,Mi1,Tm3
720575940617027257,720575940607039618,ME_R,12,ACH,Mi1,T4b
720575940637042807,720575940608161410,LA_R,54,Histamine,R1-6,L2
720575940624282564,720575940629507279,LA_R,33,Histamine,R1-6,L1
720575940626054733,720575940624194707,LA_R,32,Histamine,R1-6,L3
720575940624456644,720575940621304001,LA_R,49,Histamine,R1-6,L1
720575940626737189,720575940615141782,LA_R,45,Histamine,R1-6,L3
720575940616102918,720575940617855537,LA_R,55,Histamine,R1-6,L1
720575940626746554,720575940632777420,LA_R,35,Histamine,R1-6,L3
720575940615742314,720575940640108120,LA_R,53,Histamine,R1-6,L2
720575940613826019,720575940618721364,LA_R,30,Histamine,R1-6,L3
720575940638737085,720575940623289565,LA_R,6,GLUT,L1,R1-6
720575940617734203,720575940620903760,LA_R,1,Histamine,R8,L3
720575940621762497,720575940622808745,LA_R,48,Histamine,R1-6,L1
720575940638684393,720575940638818025,LA_R,7,Histamine,R1-6,R1-6
720575940632050986,720575940638067782,ME_R,2,Histamine,R8,L1
720575940617027257,720575940627837713,ME_R,8,ACH,Mi1,Tm3
720575940628083722,720575940613304291,LA_R,50,Histamine,R1-6,L3
720575940631796175,720575940606336958,LA_R,2,GABA,L1,L5
720575940623314445,720575940623304230,ME_R,46,ACH,L5,L1
720575940617734203,720575940624416403,ME_R,4,Histamine,R8,L1
720575940630983767,720575940616367133,ME_R,11,ACH,L3,Mi1
720575940616367133,720575940612207473,ME_R,10,ACH,Mi1,L5
720575940644726728,720575940612948210,LA_R,3,Histamine,R8,R7
720575940621502068,720575940632107033,ME_R,11,ACH,L3,Mi1
720575940624152344,720575940613514098,ME_R,19,Histamine,R8,R7
720575940627147080,720575940623555780,ME_R,36,ACH,Mi1,L1
720575940620585265,720575940617027257,ME_R,17,Histamine,R8,Mi1
720575940620585265,720575940613304291,UNASGD,3,Histamine,R8,L3
720575940618165597,720575940637490266,LA_R,47,Histamine,R1-6,L1
720575940626995033,720575940610656046,ME_R,9,Histamine,R8,L1
720575940623506909,720575940627686942,ME_R,14,Histamine,R8,L1
720575940627837713,720575940617876293,ME_R,7,ACH,Tm3,Tm3
720575940632107033,720575940619694016,ME_R,20,ACH,Mi1,Mi4
720575940624026762,720575940630227303,ME_R,73,ACH,L1,L5
720575940623114876,720575940608161410,LA_R,58,Histamine,R1-6,L2
720575940606330726,720575940620903760,LA_R,19,Histamine,R1-6,L3
720575940624219575,720575940605032364,ME_R,40,ACH,L5,L1
720575940624699901,720575940616665915,ME_R,14,Histamine,R8,L1
720575940612984243,720575940628187450,LA_R,42,Histamine,R1-6,L1
720575940619880758,720575940618964052,ME_R,5,Histamine,R7,L3
720575940626891838,720575940616971788,LA_R,50,Histamine,R1-6,L1
720575940611780450,720575940638737085,ME_R,7,ACH,Mi1,L1
720575940617734203,720575940616093855,LA_R,10,Histamine,R8,R7
720575940605910886,720575940617876293,ME_R,17,ACH,L5,Tm3
720575940617876293,720575940626078864,ME_R,5,ACH,Tm3,Tm3
720575940616093855,720575940620903760,LA_R,6,Histamine,R7,L3
720575940644455840,720575940623836440,ME_R,6,Histamine,R7,R8
720575940631194988,720575940626024122,LA_R,32,Histamine,R1-6,L3
720575940607368201,720575940615141782,LA_R,8,ACH,L4,L3
720575940609153372,720575940629507279,LA_R,53,Histamine,R1-6,L1
720575940630964551,720575940638067782,ME_R,18,ACH,Mi1,L1
720575940620585265,720575940625992206,UNASGD,1,Histamine,R8,R7
720575940631103007,720575940623304230,ME_R,39,ACH,Mi1,L1
720575940613201381,720575940627084132,ME_R,25,ACH,L5,L1
720575940630964551,720575940606821250,ME_R,31,ACH,Mi1,T4a
720575940620881134,720575940623555780,ME_R,35,ACH,L5,L1
720575940632587857,720575940632814648,ME_R,10,ACH,L5,Mi1
720575940622914917,720575940632777420,LA_R,46,Histamine,R1-6,L3
720575940624416403,720575940621841279,ME_R,72,GLUT,L1,L5
720575940613514098,720575940618721364,LA_R,7,Histamine,R7,L3
720575940628030724,720575940637490266,ME_R,31,ACH,L5,L1
720575940629222761,720575940621304001,LA_R,59,Histamine,R1-6,L1
720575940629014858,720575940630785730,LA_R,54,Histamine,R1-6,L1
720575940616110239,720575940624026762,LA_R,3,Histamine,R8,L1
720575940626990654,720575940660377729,LA_R,52,Histamine,R1-6,L3
720575940626828094,720575940626820964,LA_R,44,Histamine,R1-6,L1
720575940628540420,720575940624194707,LA_R,44,Histamine,R1-6,L3
720575940632050986,720575940619694016,ME_R,6,Histamine,R8,Mi4
720575940608161410,720575940607368201,LA_R,12,ACH,L2,L4
720575940640108120,720575940630785730,UNASGD,1,ACH,L2,L1
720575940620326104,720575940630983767,LA_R,23,Histamine,R1-6,L3
720575940628030724,720575940632107033,ME_R,62,ACH,L5,Mi1
720575940625298412,720575940630785730,LA_R,48,Histamine,R1-6,L1
720575940619880758,720575940624978357,LA_R,5,Histamine,R7,R8
720575940632176426,720575940627084132,LA_R,49,Histamine,R1-6,L1
720575940611214290,720575940631102509,ME_R,61,ACH,L5,Mi1
720575940620585265,720575940637260389,ME_R,7,Histamine,R8,L1
720575940617529629,720575940624416403,LA_R,31,Histamine,R1-6,L1
720575940624152344,720575940613514098,LA_R,3,Histamine,R8,R7
720575940640008014,720575940630983767,LA_R,21,Histamine,R1-6,L3
720575940626902846,720575940627686942,LA_R,57,Histamine,R1-6,L1
720575940631796175,720575940628086149,LA_R,8,GABA,L1,L2
720575940620548289,720575940627302415,ME_R,8,GABA,L1,Tm3
720575940625661966,720575940623304230,LA_R,49,Histamine,R1-6,L1
720575940628086149,720575940618902811,ME_R,6,ACH,L2,Mi1
720575940632029226,720575940617855537,LA_R,45,Histamine,R1-6,L1
720575940626990654,720575940623555780,LA_R,54,Histamine,R1-6,L1
720575940605032364,720575940608161410,LA_R,7,GABA,L1,L2
720575940618485945,720575940637549486,ME_R,7,Histamine,R8,L1
720575940616323999,720575940635761144,ME_R,11,GLUT,L1,Tm3
720575940620585265,720575940625992206,LA_R,3,Histamine,R8,R7
720575940621414832,720575940624617450,ME_R,23,ACH,L5,L1
720575940617855537,720575940612844806,ME_R,113,GLUT,L1,L5
720575940608963164,720575940628519665,LA_R,43,Histamine,R1-6,L1
720575940624617450,720575940635384159,LA_R,2,GLUT,L1,L5
720575940630718464,720575940632414226,LA_R,45,Histamine,R1-6,L1
720575940623836440,720575940644455840,LA_R,9,Histamine,R8,R7
720575940638067782,720575940628880578,ME_R,130,GLUT,L1,L5
720575940625992206,720575940620585265,LA_R,1,Histamine,R7,R8
720575940626826682,720575940620575281,LA_R,5,Histamine,R7,R8
720575940630785730,720575940640108120,ME_R,2,GABA,L1,L2
720575940621237126,720575940624617450,LA_R,55,Histamine,R1-6,L1
720575940621304001,720575940611214290,ME_R,132,GABA,L1,L5
720575940623836440,720575940615141782,ME_R,8,Histamine,R8,L3
720575940623180246,720575940660377729,LA_R,40,Histamine,R1-6,L3
720575940627147080,720575940607039618,ME_R,15,ACH,Mi1,T4b
720575940624771509,720575940628187450,LA_R,44,Histamine,R1-6,L1
720575940632617795,720575940631796175,LA_R,44,Histamine,R1-6,L1
720575940625015629,720575940624416403,LA_R,46,Histamine,R1-6,L1
720575940631103007,720575940627302415,ME_R,19,ACH,Mi1,Tm3
720575940617529629,720575940620903760,LA_R,6,Histamine,R1-6,L3
720575940605032364,720575940624219575,LA_R,3,GABA,L1,L5
720575940617027257,720575940626078864,ME_R,6,ACH,Mi1,Tm3
720575940628572420,720575940621445808,LA_R,28,Histamine,R1-6,L3
720575940618902811,720575940607039618,ME_R,7,ACH,Mi1,T4b
720575940610814788,720575940623555780,LA_R,54,Histamine,R1-6,L1
720575940624221832,720575940624026762,LA_R,52,Histamine,R1-6,L1
720575940618046109,720575940617876293,ME_R,26,ACH,L5,Tm3
720575940624814519,720575940620548289,ME_R,10,Histamine,R8,L1
720575940629989223,720575940637260389,LA_R,48,Histamine,R1-6,L1
720575940638136666,720575940606821250,ME_R,9,ACH,Tm3,T4a
720575940612831857,720575940628086149,LA_R,46,Histamine,R1-6,L2
720575940621841279,720575940624416403,ME_R,16,ACH,L5,L1
720575940624088105,720575940620548289,LA_R,48,Histamine,R1-6,L1
720575940631102509,720575940616128780,ME_R,20,ACH,Mi1,Mi4
720575940610772174,720575940635384159,ME_R,8,ACH,Mi1,L5
720575940631796175,720575940618902811,ME_R,170,GABA,L1,Mi1
720575940620575281,720575940623555780,LA_R,2,Histamine,R8,L1
720575940618701569,720575940623327231,LA_R,8,Histamine,R1-6,L3
720575940628289553,720575940620903760,LA_R,20,Histamine,R1-6,L3
720575940619344453,720575940636208888,ME_R,15,Histamine,R7,R8
720575940609785301,720575940616971788,ME_R,3,Histamine,R8,L1
720575940640108120,720575940630785730,LA_R,11,ACH,L2,L1
720575940631221564,720575940632414226,ME_R,7,Histamine,R8,L1
720575940617734203,720575940624416403,LA_R,4,Histamine,R8,L1
720575940660377729,720575940627147080,ME_R,38,ACH,L3,Mi1
720575940632517955,720575940627084132,LA_R,36,Histamine,R1-6,L1
720575940621304001,720575940631102509,ME_R,143,GABA,L1,Mi1
720575940638067782,720575940630964551,ME_R,134,GLUT,L1,Mi1
720575940632203538,720575940616665915,LA_R,42,Histamine,R1-6,L1
720575940629519376,720575940637490266,LA_R,47,Histamine,R1-6,L1
720575940627686942,720575940624755092,ME_R,132,GABA,L1,L5
720575940628086149,720575940631796175,LA_R,8,ACH,L2,L1
720575940624617450,720575940621414832,ME_R,70,GLUT,L1,L5
720575940630785730,720575940624976883,ME_R,137,GABA,L1,L5
720575940612207473,720575940628030724,ME_R,8,ACH,L5,L5
720575940621548891,720575940638067782,LA_R,34,Histamine,R1-6,L1
720575940620881134,720575940627147080,ME_R,46,ACH,L5,Mi1
720575940628083722,720575940637260389,LA_R,60,Histamine,R1-6,L1
720575940623687693,720575940623304230,LA_R,48,Histamine,R1-6,L1
720575940617398614,720575940622808745,LA_R,40,Histamine,R1-6,L1
720575940633376716,720575940660377729,LA_R,31,Histamine,R1-6,L3
720575940624699901,720575940616665915,LA_R,1,Histamine,R8,L1
720575940645821207,720575940631796175,LA_R,43,Histamine,R1-6,L1
720575940611214290,720575940616128780,ME_R,36,ACH,L5,Mi4
720575940619344453,720575940621502068,LA_R,2,Histamine,R7,L3
720575940625551335,720575940637260389,LA_R,54,Histamine,R1-6,L1
720575940630563454,720575940628086149,LA_R,77,Histamine,R1-6,L2
720575940621270443,720575940628187450,ME_R,10,Histamine,R8,L1
720575940605032364,720575940627837713,ME_R,16,GABA,L1,Tm3
720575940619694016,720575940606821250,ME_R,7,GABA,Mi4,T4a
720575940610772174,720575940606821250,ME_R,19,ACH,Mi1,T4a
720575940626826682,720575940620575281,ME_R,8,Histamine,R7,R8
720575940636208888,720575940637490266,ME_R,15,Histamine,R8,L1
720575940622793822,720575940622891945,LA_R,6,Histamine,R1-6,R1-6
720575940644455840,720575940615141782,ME_R,6,Histamine,R7,L3
720575940616367133,720575940606821250,ME_R,5,ACH,Mi1,T4a
720575940628519665,720575940612207473,ME_R,116,GLUT,L1,L5
720575940626820964,720575940605910886,ME_R,148,GABA,L1,L5
720575940639322950,720575940624194707,LA_R,34,Histamine,R1-6,L3
720575940627381379,720575940624221832,LA_R,6,Histamine,R1-6,R1-6
720575940628540420,720575940626820964,LA_R,49,Histamine,R1-6,L1
720575940640008014,720575940628519665,LA_R,36,Histamine,R1-6,L1
720575940626711226,720575940632414226,LA_R,48,Histamine,R1-6,L1
720575940607368201,720575940608161410,LA_R,11,ACH,L4,L2
720575940606531811,720575940616323999,LA_R,55,Histamine,R1-6,L1
720575940631141740,720575940628519665,LA_R,44,Histamine,R1-6,L1
720575940620575281,720575940623555780,ME_R,5,Histamine,R8,L1
720575940623217228,720575940623555780,LA_R,60,Histamine,R1-6,L1
720575940618675969,720575940616971788,LA_R,56,Histamine,R1-6,L1
720575940626820964,720575940627723416,ME_R,160,GABA,L1,Mi1
720575940626078864,720575940627147080,ME_R,5,ACH,Tm3,Mi1
720575940627302415,720575940623304230,ME_R,8,ACH,Tm3,L1
720575940631102509,720575940626078864,ME_R,25,ACH,Mi1,Tm3
720575940622712414,720575940618721364,LA_R,23,Histamine,R1-6,L3
720575940606684593,720575940623327231,LA_R,12,Histamine,R1-6,L3
720575940624617450,720575940635761144,ME_R,26,GLUT,L1,Tm3
720575940618964052,720575940643823924,ME_R,47,ACH,L3,Mi9
720575940624152344,720575940618721364,ME_R,3,Histamine,R8,L3
720575940634855449,720575940616367133,ME_R,13,Histamine,R8,Mi1
720575940621414832,720575940635384159,ME_R,5,ACH,L5,L5
720575940628030724,720575940612207473,ME_R,9,ACH,L5,L5
720575940631102509,720575940621304001,ME_R,31,ACH,Mi1,L1
720575940625551335,720575940613304291,LA_R,40,Histamine,R1-6,L3
720575940639370310,720575940638737085,LA_R,48,Histamine,R1-6,L1
720575940638067782,720575940635761144,ME_R,29,GLUT,L1,Tm3
720575940628880578,720575940638067782,ME_R,45,ACH,L5,L1
720575940627717784,720575940605032364,LA_R,53,Histamine,R1-6,L1
720575940631186176,720575940621304001,LA_R,48,Histamine,R1-6,L1
720575940640108120,720575940616128780,ME_R,9,ACH,L2,Mi4
720575940636208888,720575940619344453,ME_R,21,Histamine,R8,R7
720575940625906983,720575940616665915,LA_R,45,Histamine,R1-6,L1
720575940644726728,720575940624194707,ME_R,4,Histamine,R8,L3
720575940619344453,720575940636208888,LA_R,3,Histamine,R7,R8
720575940626654410,720575940610772174,ME_R,9,ACH,L5,Mi1
720575940632587857,720575940610656046,ME_R,17,ACH,L5,L1
720575940626826682,720575940660377729,ME_R,4,Histamine,R7,L3
720575940605032364,720575940608161410,ME_R,1,GABA,L1,L2
720575940621414832,720575940610772174,ME_R,33,ACH,L5,Mi1
720575940617876293,720575940607039618,ME_R,7,ACH,Tm3,T4b
720575940627686942,720575940627302415,ME_R,18,GABA,L1,Tm3
720575940639314291,720575940623327231,LA_R,3,Histamine,R7,L3
720575940624416403,720575940621841279,LA_R,1,GLUT,L1,L5
720575940637490266,720575940612207473,ME_R,7,GLUT,L1,L5
720575940638067782,720575940638136666,ME_R,18,GLUT,L1,Tm3
720575940620575281,720575940615949791,ME_R,38,Histamine,R8,Mi4
720575940626078864,720575940607039618,ME_R,9,ACH,Tm3,T4b
720575940628187450,720575940617876293,ME_R,12,GABA,L1,Tm3
720575940624617450,720575940635384159,ME_R,91,GLUT,L1,L5
720575940630728492,720575940637490266,LA_R,43,Histamine,R1-6,L1
720575940617876293,720575940631796175,ME_R,6,ACH,Tm3,L1
720575940626654410,720575940635761144,ME_R,13,ACH,L5,Tm3
720575940610814788,720575940660377729,LA_R,41,Histamine,R1-6,L3
720575940627147080,720575940626078864,ME_R,34,ACH,Mi1,Tm3
720575940643099533,720575940621304001,LA_R,51,Histamine,R1-6,L1
720575940645821207,720575940628086149,LA_R,52,Histamine,R1-6,L2
720575940635761144,720575940606821250,ME_R,10,ACH,Tm3,T4a
720575940609153372,720575940631194988,LA_R,5,Histamine,R1-6,R1-6
720575940616113414,720575940637549486,LA_R,41,Histamine,R1-6,L1
720575940628880578,720575940638136666,ME_R,13,ACH,L5,Tm3
720575940632107033,720575940606821250,ME_R,6,ACH,Mi1,T4a
720575940638684393,720575940638737085,LA_R,59,Histamine,R1-6,L1
720575940618046109,720575940637260389,ME_R,33,ACH,L5,L1
720575940608963164,720575940630983767,LA_R,41,Histamine,R1-6,L3
720575940624711933,720575940624617450,LA_R,51,Histamine,R1-6,L1
720575940617830630,720575940619694016,ME_R,9,ACH,L5,Mi4
720575940617027257,720575940617876293,ME_R,31,ACH,Mi1,Tm3
720575940618902811,720575940617027257,ME_R,6,ACH,Mi1,Mi1
720575940620575281,720575940660377729,LA_R,2,Histamine,R8,L3
720575940619880758,720575940624978357,ME_R,28,Histamine,R7,R8
720575940640108120,720575940624976883,ME_R,79,ACH,L2,L5
720575940620903760,720575940627967101,ME_R,14,ACH,L3,Mi1
720575940623217228,720575940660377729,LA_R,38,Histamine,R1-6,L3
720575940611780450,720575940600547529,ME_R,15,ACH,Mi1,T4a
720575940624445674,720575940617855537,LA_R,41,Histamine,R1-6,L1
720575940605616096,720575940627084132,LA_R,44,Histamine,R1-6,L1
720575940613826019,720575940624617450,LA_R,46,Histamine,R1-6,L1
720575940627723416,720575940626820964,ME_R,34,ACH,Mi1,L1
720575940606617009,720575940613304291,LA_R,38,Histamine,R1-6,L3
720575940627225274,720575940622808745,UNASGD,2,Histamine,R8,L1
720575940626737189,720575940605032364,LA_R,53,Histamine,R1-6,L1
720575940630718976,720575940630983767,LA_R,23,Histamine,R1-6,L3
720575940634855449,720575940628519665,LA_R,3,Histamine,R8,L1
720575940629507279,720575940638136666,ME_R,29,GLUT,L1,Tm3
720575940626898494,720575940623304230,LA_R,55,Histamine,R1-6,L1
720575940643099533,720575940618028545,LA_R,51,Histamine,R1-6,L3
720575940617515606,720575940628086149,LA_R,52,Histamine,R1-6,L2
720575940622712414,720575940624617450,LA_R,36,Histamine,R1-6,L1
720575940621304001,720575940611214290,LA_R,1,GABA,L1,L5
720575940623314445,720575940627302415,ME_R,30,ACH,L5,Tm3
720575940621351558,720575940616323999,LA_R,50,Histamine,R1-6,L1
720575940624710151,720575940637490266,LA_R,49,Histamine,R1-6,L1
720575940631309164,720575940623327231,LA_R,11,Histamine,R1-6,L3
720575940645418276,720575940620548289,LA_R,53,Histamine,R1-6,L1
720575940624978357,720575940618964052,LA_R,9,Histamine,R8,L3
720575940629989223,720575940613304291,LA_R,43,Histamine,R1-6,L3
720575940605910886,720575940627837713,ME_R,14,ACH,L5,Tm3
720575940624978357,720575940619880758,ME_R,36,Histamine,R8,R7
720575940618902811,720575940606336958,ME_R,8,ACH,Mi1,L5
720575940605910886,720575940626078864,ME_R,6,ACH,L5,Tm3
720575940627837713,720575940631796175,ME_R,7,ACH,Tm3,L1
720575940627717784,720575940608161410,LA_R,67,Histamine,R1-6,L2
720575940617027257,720575940637260389,ME_R,30,ACH,Mi1,L1
720575940631044060,720575940623304230,LA_R,42,Histamine,R1-6,L1
720575940619880758,720575940618964052,LA_R,6,Histamine,R7,L3
720575940629578256,720575940621445808,LA_R,18,Histamine,R1-6,L3
720575940628086149,720575940606336958,ME_R,69,ACH,L2,L5
720575940628289553,720575940624416403,LA_R,47,Histamine,R1-6,L1
720575940615460364,720575940621445808,LA_R,26,Histamine,R1-6,L3
720575940635759258,720575940624416403,LA_R,40,Histamine,R1-6,L1
720575940627723416,720575940627837713,ME_R,23,ACH,Mi1,Tm3
720575940620575281,720575940627147080,ME_R,18,Histamine,R8,Mi1
720575940628519665,720575940616367133,ME_R,135,GLUT,L1,Mi1
720575940618902811,720575940617876293,ME_R,12,ACH,Mi1,Tm3
720575940617734203,720575940616093855,ME_R,24,Histamine,R8,R7
720575940624152344,720575940624617450,ME_R,11,Histamine,R8,L1
720575940613036822,720575940606821250,ME_R,9,GLUT,Mi9,T4a
720575940620585265,720575940625992206,ME_R,18,Histamine,R8,R7
720575940613514098,720575940618721364,ME_R,4,Histamine,R7,L3
720575940645443620,720575940616323999,LA_R,44,Histamine,R1-6,L1
720575940605910886,720575940626820964,ME_R,36,ACH,L5,L1
720575940620362876,720575940629507279,ME_R,39,ACH,L5,L1
720575940639937981,720575940616323999,LA_R,44,Histamine,R1-6,L1
720575940623304230,720575940623314445,LA_R,5,GABA,L1,L5
720575940626654410,720575940638136666,ME_R,31,ACH,L5,Tm3
720575940632414226,720575940617061051,LA_R,3,GLUT,L1,L5
720575940637490266,720575940632107033,ME_R,154,GLUT,L1,Mi1
720575940627302415,720575940607039618,ME_R,7,ACH,Tm3,T4b
720575940620575281,720575940660377729,ME_R,4,Histamine,R8,L3
720575940637042807,720575940605032364,LA_R,37,Histamine,R1-6,L1
720575940613514098,720575940624152344,ME_R,5,Histamine,R7,R8
720575940623555780,720575940620881134,ME_R,126,GABA,L1,L5
720575940624978357,720575940619880758,LA_R,11,Histamine,R8,R7
720575940617515606,720575940631796175,LA_R,42,Histamine,R1-6,L1
720575940627147080,720575940615949791,ME_R,14,ACH,Mi1,Mi4
720575940618046109,720575940616128780,ME_R,7,ACH,L5,Mi4
720575940606330726,720575940624416403,LA_R,48,Histamine,R1-6,L1
720575940623555780,720575940627147080,ME_R,148,GABA,L1,Mi1
720575940630227303,720575940611780450,ME_R,6,ACH,L5,Mi1
720575940612207473,720575940619694016,ME_R,11,ACH,L5,Mi4
720575940620575281,720575940626826682,ME_R,26,Histamine,R8,R7
720575940636208888,720575940632107033,ME_R,15,Histamine,R8,Mi1
720575940624884733,720575940640108120,LA_R,59,Histamine,R1-6,L2
720575940606336958,720575940631796175,ME_R,41,ACH,L5,L1
720575940613182873,720575940610656046,LA_R,45,Histamine,R1-6,L1
720575940636208888,720575940619694016,ME_R,27,Histamine,R8,Mi4
720575940611214290,720575940626078864,ME_R,9,ACH,L5,Tm3
720575940609785301,720575940616971788,LA_R,4,Histamine,R8,L1
720575940624976883,720575940615949791,ME_R,12,ACH,L5,Mi4
720575940628299834,720575940621445808,ME_R,5,Histamine,R7,L3
720575940632050986,720575940639314291,ME_R,26,Histamine,R8,R7
720575940616128780,720575940607039618,ME_R,10,GABA,Mi4,T4b
720575940609652747,720575940616665915,LA_R,40,Histamine,R1-6,L1
720575940610772174,720575940635761144,ME_R,16,ACH,Mi1,Tm3
720575940631208443,720575940616323999,LA_R,4,Histamine,R8,L1
720575940640613208,720575940628187450,LA_R,38,Histamine,R1-6,L1
720575940629507279,720575940620362876,LA_R,1,GLUT,L1,L5
720575940624219575,720575940627837713,ME_R,11,ACH,L5,Tm3
720575940612948210,720575940624194707,ME_R,6,Histamine,R7,L3
720575940640108120,720575940624884733,LA_R,6,ACH,L2,R1-6
720575940618721364,720575940610772174,ME_R,15,ACH,L3,Mi1
720575940639314291,720575940623327231,ME_R,4,Histamine,R7,L3
720575940630891308,720575940627686942,LA_R,52,Histamine,R1-6,L1
720575940639319622,720575940610656046,LA_R,63,Histamine,R1-6,L1
720575940605828268,720575940660377729,LA_R,23,Histamine,R1-6,L3
720575940624152344,720575940618721364,LA_R,2,Histamine,R8,L3
720575940626820964,720575940605910886,LA_R,3,GABA,L1,L5
720575940635234400,720575940626024122,LA_R,15,Histamine,R1-6,L3
720575940628880578,720575940635761144,ME_R,21,ACH,L5,Tm3
720575940630983767,720575940632107033,ME_R,5,ACH,L3,Mi1
720575940640108120,720575940615742314,LA_R,5,ACH,L2,R1-6
720575940623314445,720575940631103007,ME_R,60,ACH,L5,Mi1
720575940623836440,720575940644455840,ME_R,28,Histamine,R8,R7
