pre_root_id,post_root_id,neuropil,syn_count,nt_type,pre_type,post_type
720575940627225274,720575940622808745,ME_R,10,Histamine,R8,L1
720575940612844806,720575940619694016,ME_R,21,ACH,L5,Mi4
720575940635761144,720575940638067782,ME_R,6,ACH,Tm3,L1
720575940630227303,720575940624026762,ME_R,20,ACH,L5,L1
720575940620585265,720575940613304291,ME_R,4,Histamine,R8,L3
720575940637549486,720575940617830630,ME_R,128,GLUT,L1,L5
720575940629519376,720575940621502068,LA_R,27,Histamine,R1-6,L3
720575940615580678,720575940637549486,LA_R,45,Histamine,R1-6,L1
720575940615742314,720575940630785730,LA_R,45,Histamine,R1-6,L1
720575940631796175,720575940628086149,ME_R,1,GABA,L1,L2
720575940624282564,720575940626024122,LA_R,23,Histamine,R1-6,L3
720575940624711933,720575940618721364,LA_R,16,Histamine,R1-6,L3
720575940634509794,720575940630983767,LA_R,5,Histamine,R7,L3
720575940620840839,720575940608161410,LA_R,58,Histamine,R1-6,L2
720575940624152344,720575940624617450,LA_R,2,Histamine,R8,L1
720575940634855449,720575940634509794,LA_R,10,Histamine,R8,R7
720575940617918393,720575940629507279,ME_R,7,Histamine,R8,L1
720575940616898098,720575940616665915,LA_R,48,Histamine,R1-6,L1
720575940618485945,720575940637549486,LA_R,5,Histamine,R8,L1
720575940637490266,720575940628030724,ME_R,125,GLUT,L1,L5
720575940633376716,720575940623555780,LA_R,48,Histamine,R1-6,L1
720575940625661966,720575940632777420,LA_R,38,Histamine,R1-6,L3
720575940624617450,720575940621414832,LA_R,7,GLUT,L1,L5
720575940628086149,720575940631796175,UNASGD,1,ACH,L2,L1
720575940630964551,720575940628880578,ME_R,6,ACH,Mi1,L5
720575940629709879,720575940637490266,LA_R,39,Histamine,R1-6,L1
720575940624710151,720575940621502068,LA_R,23,Histamine,R1-6,L3
720575940607492553,720575940629507279,LA_R,42,Histamine,R1-6,L1
720575940637042807,720575940615141782,LA_R,39,Histamine,R1-6,L3
