idx,cell,a_in,a_out,v_th,a_gt,bias_gt,Ih_gmax,Ih_gmax_off,Ih_midv,Ih_slope,tau_midv,Ih_midv_off,Ih_slope_off,tau_midv_off,v_pre,v_onset
0,R1-6,6.501146,6.393653,-50.000000,0.976168,0.000000,0.000000,0.000000,-49.992698,-0.378925,-56.297042,-50.572001,-0.292696,-53.972009,-30.213877,-30.710315
1,R7,6.501146,2.750281,-50.000000,1.004681,0.000000,0.000000,0.000000,-49.992698,-0.378925,-56.297042,-50.572001,-0.292696,-53.972009,-30.213309,-30.221094
2,R8,6.501146,0.100000,-50.000000,1.033309,0.000000,0.000000,0.000000,-49.992698,-0.378925,-56.297042,-50.572001,-0.292696,-53.972009,-57.134729,-57.081848
3,L1,6.501146,2.540443,-50.000000,0.319415,0.000000,44.560758,56.661696,-49.992698,-0.378925,-56.297042,-50.572001,-0.292696,-53.972009,-41.616651,-68.796470
4,L2,6.501146,1.292825,-50.000000,0.501039,0.000000,52.052172,52.104567,-49.992698,-0.378925,-56.297042,-50.572001,-0.292696,-53.972009,-56.167022,-64.812156
5,L3,6.501146,0.183991,-50.000000,0.100000,0.000000,0.000000,0.000000,-49.992698,-0.378925,-56.297042,-50.572001,-0.292696,-53.972009,-69.101947,-69.513144
6,L4,6.501146,2.152355,-50.000000,8.856673,0.000000,40.012733,57.435396,-49.992698,-0.378925,-56.297042,-50.572001,-0.292696,-53.972009,-72.949862,-51.707707
7,L5,6.501146,5.725757,-50.000000,8.331136,0.000000,53.124322,40.874939,-49.992698,-0.378925,-56.297042,-50.572001,-0.292696,-53.972009,-119.444267,-48.759369
8,Mi1,6.501146,0.644035,-50.000000,4.226950,0.000000,0.000000,0.000000,-49.992698,-0.378925,-56.297042,-50.572001,-0.292696,-53.972009,8.962350,-6.301270
9,Tm3,6.501146,0.885063,-50.000000,1.455123,0.000000,0.000000,0.000000,-49.992698,-0.378925,-56.297042,-50.572001,-0.292696,-53.972009,9.140803,7.682252
10,Mi4,6.501146,1.452056,-50.000000,3.859467,0.000000,0.000000,0.000000,-49.992698,-0.378925,-56.297042,-50.572001,-0.292696,-53.972009,6.685011,4.009162
11,Mi9,6.501146,0.755857,-50.000000,6.006790,0.000000,0.000000,0.000000,-49.992698,-0.378925,-56.297042,-50.572001,-0.292696,-53.972009,-14.699678,-63.437582
12,T4a,6.501146,0.100000,-50.000000,1.048057,0.000000,0.000000,0.000000,-49.992698,-0.378925,-56.297042,-50.572001,-0.292696,-53.972009,-52.501872,-53.815869
13,T4b,6.501146,0.100000,-50.000000,0.985701,0.000000,0.000000,0.000000,-49.992698,-0.378925,-56.297042,-50.572001,-0.292696,-53.972009,-54.916065,-55.746668
14,T4c,6.501146,0.100000,-50.000000,1.004654,0.000000,0.000000,0.000000,-49.992698,-0.378925,-56.297042,-50.572001,-0.292696,-53.972009,-49.347865,-48.260187
15,T4d,6.501146,0.100000,-50.000000,0.986906,0.000000,0.000000,0.000000,-49.992698,-0.378925,-56.297042,-50.572001,-0.292696,-53.972009,-30.998253,-30.552227
16,Tm1,6.501146,1.612950,-50.000000,3.327452,0.000000,0.000000,0.000000,-49.992698,-0.378925,-56.297042,-50.572001,-0.292696,-53.972009,-30.944866,-63.563819
17,Tm2,6.501146,4.758870,-50.000000,4.096957,0.000000,0.000000,0.000000,-49.992698,-0.378925,-56.297042,-50.572001,-0.292696,-53.972009,-7.041255,-49.432822
18,Tm4,6.501146,0.100000,-50.000000,6.223249,0.000000,0.000000,0.000000,-49.992698,-0.378925,-56.297042,-50.572001,-0.292696,-53.972009,-6.114327,-60.894166
19,Tm9,6.501146,3.266927,-50.000000,4.179959,0.000000,0.000000,0.000000,-49.992698,-0.378925,-56.297042,-50.572001,-0.292696,-53.972009,-44.404607,-66.612402
20,T5a,6.501146,2.914155,-50.000000,1.042765,0.000000,0.000000,0.000000,-49.992698,-0.378925,-56.297042,-50.572001,-0.292696,-53.972009,5.632217,-16.894238
21,T5b,6.501146,0.100000,-50.000000,1.015461,0.000000,0.000000,0.000000,-49.992698,-0.378925,-56.297042,-50.572001,-0.292696,-53.972009,-7.072728,-41.373598
22,T5c,6.501146,0.719010,-50.000000,1.035605,0.000000,0.000000,0.000000,-49.992698,-0.378925,-56.297042,-50.572001,-0.292696,-53.972009,2.191925,-25.593280
23,T5d,6.501146,2.751508,-50.000000,1.002134,0.000000,0.000000,0.000000,-49.992698,-0.378925,-56.297042,-50.572001,-0.292696,-53.972009,4.337194,-15.712287
24,T1,6.501146,2.824200,-50.000000,0.957017,0.000000,0.000000,0.000000,-49.992698,-0.378925,-56.297042,-50.572001,-0.292696,-53.972009,-54.284516,-67.843832
25,T2,6.501146,2.181698,-50.000000,0.984918,0.000000,0.000000,0.000000,-49.992698,-0.378925,-56.297042,-50.572001,-0.292696,-53.972009,9.119052,4.877304
26,T2a,6.501146,2.457027,-50.000000,0.957527,0.000000,0.000000,0.000000,-49.992698,-0.378925,-56.297042,-50.572001,-0.292696,-53.972009,4.648652,6.510462
27,T3,6.501146,1.600773,-50.000000,1.029932,0.000000,0.000000,0.000000,-49.992698,-0.378925,-56.297042,-50.572001,-0.292696,-53.972009,8.087158,7.921797
28,C2,6.501146,1.029789,-50.000000,1.035676,0.000000,0.000000,0.000000,-49.992698,-0.378925,-56.297042,-50.572001,-0.292696,-53.972009,7.931344,-0.830504
29,C3,6.501146,1.738324,-50.000000,0.960023,0.000000,0.000000,0.000000,-49.992698,-0.378925,-56.297042,-50.572001,-0.292696,-53.972009,8.472154,-4.187053
30,Lawf1,6.501146,0.429183,-50.000000,0.995238,0.000000,0.000000,0.000000,-49.992698,-0.378925,-56.297042,-50.572001,-0.292696,-53.972009,-30.354460,-32.867313
31,Lawf2,6.501146,1.435267,-50.000000,1.018887,0.000000,0.000000,0.000000,-49.992698,-0.378925,-56.297042,-50.572001,-0.292696,-53.972009,-30.615553,-24.561594
32,Dm3v,6.501146,0.262673,-50.000000,1.027602,0.000000,0.000000,0.000000,-49.992698,-0.378925,-56.297042,-50.572001,-0.292696,-53.972009,-32.362335,-51.582207
33,Lai,6.501146,0.100000,-50.000000,0.968858,0.000000,0.000000,0.000000,-49.992698,-0.378925,-56.297042,-50.572001,-0.292696,-53.972009,-69.249769,-69.429358
34,Mi10,6.501146,0.100000,-50.000000,1.016191,0.000000,0.000000,0.000000,-49.992698,-0.378925,-56.297042,-50.572001,-0.292696,-53.972009,-66.715255,-53.423511
35,Mi13,6.501146,0.160477,-50.000000,0.951891,0.000000,0.000000,0.000000,-49.992698,-0.378925,-56.297042,-50.572001,-0.292696,-53.972009,-45.646272,-50.825175
36,Mi14,6.501146,0.392460,-50.000000,1.043748,0.000000,0.000000,0.000000,-49.992698,-0.378925,-56.297042,-50.572001,-0.292696,-53.972009,3.013412,1.443228
37,Mi15,6.501146,0.100000,-50.000000,0.992195,0.000000,0.000000,0.000000,-49.992698,-0.378925,-56.297042,-50.572001,-0.292696,-53.972009,-19.741529,-27.585373
38,Mi2,6.501146,0.279691,-50.000000,1.010622,0.000000,0.000000,0.000000,-49.992698,-0.378925,-56.297042,-50.572001,-0.292696,-53.972009,-7.902656,-18.856093
39,Tm16,6.501146,5.199575,-50.000000,1.049777,0.000000,0.000000,0.000000,-49.992698,-0.378925,-56.297042,-50.572001,-0.292696,-53.972009,-65.684497,-68.933264
40,Tm20,6.501146,3.153214,-50.000000,1.049947,0.000000,0.000000,0.000000,-49.992698,-0.378925,-56.297042,-50.572001,-0.292696,-53.972009,-8.054573,-55.874989
41,Tm21,6.501146,0.100000,-50.000000,1.018179,0.000000,0.000000,0.000000,-49.992698,-0.378925,-56.297042,-50.572001,-0.292696,-53.972009,7.371405,-6.701307
42,Tm27,6.501146,0.100000,-50.000000,0.959520,0.000000,0.000000,0.000000,-49.992698,-0.378925,-56.297042,-50.572001,-0.292696,-53.972009,-5.057382,-2.492957
43,Tm5a,6.501146,3.033546,-50.000000,0.970040,0.000000,0.000000,0.000000,-49.992698,-0.378925,-56.297042,-50.572001,-0.292696,-53.972009,-36.431513,-39.440951
44,Tm5b,6.501146,0.100029,-50.000000,1.013429,0.000000,0.000000,0.000000,-49.992698,-0.378925,-56.297042,-50.572001,-0.292696,-53.972009,-65.794243,-67.656565
