cell_idx,cell,a_gt,bias_gt,a_in,a_out,e_leak,v_th,v_th_ca,a_ca,tau_ca,tau_lp,tau_hp,a_h,v_pre,v_onset,v_spot_end,delta_v,v_ca_pre,v_ca_onset,v_ca_spot_end,delta_v_ca,ca_pre,ca_onset,ca_spot_end,delta_ca
0,R1-6,1.025847,50.000000,2.534873,1.546628,-7.621531,-100.000000,-100.000000,1.010703,352.320007,20.545229,206.339890,0.000000,12.886989,12.924138,16.830639,3.906501,114.124115,114.162331,118.110413,3.948082,114.124115,114.124779,114.290649,0.165871
1,R7,0.995050,50.000000,2.534873,5.816688,-17.372293,-100.000000,-100.000000,1.025997,349.303345,10.000000,193.214462,0.000000,-42.889080,-43.209591,-39.348972,3.860619,58.595634,58.266792,62.227779,3.960987,58.595634,58.589935,58.774616,0.184681
2,R8,0.961918,50.000000,2.534873,4.377673,-25.100834,-100.000000,-100.000000,0.973246,351.104584,25.706102,203.002640,0.000000,-17.033491,-16.939678,-13.646880,3.292798,80.746819,80.838120,84.042824,3.204704,80.746819,80.748260,80.884979,0.136719
3,L1,2.000000,50.000000,2.534873,2.031365,-29.175259,-100.000000,-100.000000,1.020725,350.013092,10.000000,228.378937,1.000000,-29.175262,-29.259846,-40.278198,-11.018353,72.292542,72.206215,60.959511,-11.246704,72.292542,72.291550,71.911125,-0.380424
4,L2,2.000000,50.000000,2.534873,2.122756,-31.273441,-100.000000,-100.000000,0.968871,350.449249,10.000000,230.898209,1.000000,-31.273441,-31.407309,-39.464531,-8.057222,66.587181,66.457481,58.651070,-7.806412,66.587181,66.585693,66.328606,-0.257088
5,L3,2.000000,50.000000,2.534873,0.471940,-2.502676,-100.000000,-100.000000,1.012410,347.718384,10.822673,194.926773,0.000000,-4.162756,-4.270627,-4.794858,-0.524230,97.026604,96.917389,96.386658,-0.530731,97.026604,97.024834,97.002502,-0.022331
6,L4,0.943669,50.000000,2.534873,0.234566,-2.245367,-100.000000,-100.000000,0.964978,351.586365,10.000000,223.376755,0.988643,-1.791310,-1.806532,-4.620825,-2.814293,94.769203,94.754509,92.038780,-2.715729,94.769203,94.769073,94.702827,-0.066246
7,L5,2.000000,50.000000,2.534873,1.761703,-23.818508,-100.000000,-100.000000,0.967285,348.437225,10.000000,202.286911,0.995099,-23.974174,-23.943041,-17.123762,6.819279,73.538651,73.568764,80.164955,6.596191,73.538651,73.538940,73.706223,0.167282
8,Mi1,2.000000,50.000000,2.534873,1.370889,-17.758860,-100.000000,-100.000000,0.985176,350.432556,10.000000,197.708511,0.000000,-40.388329,-40.443825,-36.421898,4.021927,58.727962,58.673290,62.635593,3.962303,58.727962,58.726917,58.815987,0.089069
9,Tm3,2.000000,50.000000,2.534873,3.209315,1.231289,-100.000000,-100.000000,1.048792,349.658844,10.000000,194.660294,0.000000,-5.986898,-6.093232,-1.458659,4.634573,98.600166,98.488640,103.349342,4.860703,98.600166,98.598114,98.700615,0.102501
10,Mi4,2.000000,50.000000,2.534873,0.803570,-8.455429,-100.000000,-100.000000,1.006693,352.110901,10.000000,196.798126,0.000000,-6.124022,-6.165036,-5.736956,0.428081,94.553955,94.531464,94.978653,0.447189,94.553955,94.553497,94.559944,0.006447
11,Mi9,2.000000,50.000000,2.534873,0.753949,-37.974277,-100.000000,-100.000000,0.958042,351.871552,18.281769,207.951675,0.000000,-32.419674,-32.424557,-32.794312,-0.369755,64.744789,64.740105,64.385872,-0.354233,64.744789,64.744759,64.738297,-0.006462
12,T4a,0.978675,50.000000,2.534873,4.001663,-12.248845,-100.000000,-100.000000,1.004302,350.779175,10.000000,192.464218,0.000000,-2.342287,-0.985636,3.348281,4.333917,147.408630,150.700546,156.191956,5.491409,147.408630,147.463272,147.865738,0.402466
13,T4b,1.021613,50.000000,2.534873,0.529324,-1.288652,-100.000000,-100.000000,1.033789,352.221985,10.000000,201.226227,0.000000,25.710495,25.660952,26.527225,0.866274,129.958130,129.906921,130.802460,0.895538,129.958130,129.957275,129.969254,0.011978
14,T4c,1.048394,50.000000,2.534873,2.698592,-11.222781,-100.000000,-100.000000,0.982049,348.262421,10.000000,202.315674,0.000000,-51.199558,-52.567852,-52.601421,-0.033569,87.447861,87.984154,89.428604,1.444450,87.447861,87.456688,87.534286,0.077599
15,T4d,1.030028,50.000000,2.534873,10.000000,7.236707,-100.000000,-100.000000,0.967364,348.044250,44.592690,201.321198,0.000000,-74.224014,-74.638596,-75.306084,-0.667488,64.440865,64.514069,64.767174,0.253105,64.440865,64.441948,64.455162,0.013214
16,Tm1,2.000000,50.000000,2.534873,0.642751,-5.279348,-100.000000,-100.000000,0.985049,348.087708,10.000000,208.339905,0.000000,15.845384,15.950328,14.142957,-1.807371,114.113342,114.216721,112.436378,-1.780342,114.113342,114.115288,114.083191,-0.032097
17,Tm2,2.000000,50.000000,2.534873,0.638169,-5.431937,-100.000000,-100.000000,0.985898,352.146149,10.000000,209.107742,0.000000,16.826464,16.887236,15.247799,-1.639437,115.178955,115.238853,113.622551,-1.616302,115.178955,115.180107,115.146248,-0.033859
18,Tm4,1.688348,50.000000,2.534873,1.373893,-0.948641,-100.000000,-100.000000,0.964700,349.041962,10.000000,200.687271,0.000000,6.742034,6.998153,5.967668,-1.030485,102.974022,103.221092,102.226982,-0.994110,102.974022,102.978340,102.980316,0.001976
19,Tm9,0.805104,50.000000,2.534873,3.109876,0.811628,-100.000000,-100.000000,0.951236,348.769501,32.527855,207.728851,0.000000,1.788563,1.792165,1.736837,-0.055328,96.824921,96.828339,96.775711,-0.052628,96.824921,96.824982,96.824440,-0.000542
20,T5a,0.985783,50.000000,2.534873,6.805368,-9.091235,-100.000000,-100.000000,1.002515,347.691376,12.708228,190.042267,0.000000,859.924194,927.582581,1080.342163,152.759583,962.531433,1030.413574,1183.616089,153.202515,962.531433,963.608215,973.472046,9.863831
21,T5b,1.028097,50.000000,2.534873,7.666804,-5.803530,-100.000000,-100.000000,1.003053,351.402924,23.131863,193.903824,0.000000,473.831451,493.935577,538.105469,44.169891,575.583557,595.749146,640.053833,44.304688,575.583557,575.899231,578.782898,2.883667
