,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Mi4,Mi9,T1,T2,T2a,T3,T4a,T4b,T4c,T4d,T5a,T5b,T5c,T5d,Tm1,Tm2,Tm20,Tm21,Tm3,Tm4,Tm9,C2,C3
R1-6,5.000000,,,5.000000,5.000000,5.000000,5.000000,,,,,3.833825,,,,,,,,,,,,,,,,,,,1.200652,2.180097
R7,,,0.500000,5.000000,,5.000000,,,0.500000,0.500000,5.000000,,,,,,,,,,,,,,,5.000000,,,,,,1.044660
R8,,0.500000,2.492880,5.000000,5.000000,5.000000,,0.500000,0.500000,0.500000,5.000000,3.406728,,,,,,,,,,,,,,5.000000,0.954050,,,,0.974699,1.016738
L1,0.500000,2.594124,0.500000,0.500000,0.500000,0.500000,0.500000,3.949770,4.685093,5.000000,,4.772307,0.595842,0.500000,,,,,,,,,,2.307231,0.500000,,,5.000000,,,4.075351,5.000000
L2,0.500000,,0.500000,0.888388,0.682589,5.000000,5.000000,0.500000,0.500000,0.500000,5.000000,0.500000,5.000000,1.042969,,,,,,,,,,1.920050,0.735350,5.000000,,0.500000,5.000000,,1.013049,0.500000
L3,,0.986555,1.029266,1.048287,0.997586,,,,0.500000,1.011437,0.500000,1.016605,,,,,,,,,,,,1.036079,1.020575,0.500000,0.951835,,0.971427,0.858412,1.044344,0.972253
L4,0.500000,,,3.407894,1.118518,3.746332,0.502271,5.000000,2.533712,,5.000000,,1.792660,,,,,,,,,,,0.500000,0.584550,,,,0.710774,5.000000,,0.500000
L5,,,,0.500000,0.500000,,,0.760664,2.167515,5.000000,0.500000,2.904684,0.500000,0.500000,,,,,,,,,,0.500000,3.859299,0.500000,0.500000,3.024000,0.500000,,0.815211,4.003416
Mi1,,4.977684,0.923283,0.501535,4.431116,,,0.500000,3.466378,5.000000,0.500000,5.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,,,,,1.222838,5.000000,0.500000,0.500000,1.100967,5.000000,,1.828982,1.486636
Mi4,,,,,0.500000,5.000000,,5.000000,3.467794,0.500000,3.825144,1.480634,,1.658237,,0.500000,0.500000,0.500000,1.043049,,,,,0.500000,0.500000,3.564437,,5.000000,0.725458,5.000000,0.990627,1.005933
