idx,ctype,in_gain,out_gain,out_scale,tau_m,tau_hp,bias,hp_gain
0,C2,1.000000,0.100000,1.037738,51.082965,199.631130,-0.684695,1.000000
1,C3,1.000000,0.337164,1.044720,54.846257,193.095201,-1.449580,1.000000
2,L1,1.000000,3.313576,7.896162,32.728379,186.853180,2.000000,3.087979
3,L2,1.000000,2.513701,5.231753,58.225197,214.175017,1.174052,4.494528
4,L3,1.000000,5.249307,15.311286,69.147192,188.140984,2.000000,1.000000
5,L4,1.000000,2.960204,8.347221,49.815540,220.674891,2.000000,3.366988
6,L5,1.000000,5.156513,0.670654,33.805319,189.885704,-0.165522,2.343825
7,Mi1,1.000000,7.460900,1.750245,55.082783,196.989969,0.591525,1.000000
8,Mi4,1.000000,0.170743,5.277537,66.116903,203.679809,-1.177545,1.000000
9,Mi9,1.000000,8.082243,4.105309,64.669194,217.156112,0.120623,1.000000
10,R1-6,1.000000,6.516484,1.027598,57.276582,187.966994,-0.063390,1.000000
11,R7,1.000000,13.113044,0.954311,52.679661,171.788018,1.297100,1.000000
12,R8,1.000000,14.814850,1.009798,50.160987,190.325531,-0.050725,1.000000
13,T1,1.000000,0.845284,1.003029,57.122022,203.974154,1.391227,1.000000
14,T2,1.000000,1.819778,0.970099,43.804583,207.253512,-1.980871,1.000000
15,T2a,1.000000,10.298385,0.971767,44.358224,217.101018,0.105625,1.000000
16,T3,1.000000,5.550507,0.991373,36.705148,190.970124,0.288465,1.000000
17,T4a,1.000000,6.962460,1.031731,51.843409,214.120104,1.555661,1.000000
18,T4b,1.000000,7.867759,1.010472,58.443408,211.557875,-1.125118,1.000000
19,T4c,1.000000,5.047396,1.032669,62.103337,217.395061,-0.553001,1.000000
20,T4d,1.000000,0.100000,0.950554,50.591046,192.899070,-0.661466,1.000000
21,T5a,1.000000,0.936157,0.996612,46.329489,193.485631,-0.669261,1.000000
22,T5b,1.000000,1.662570,0.975280,48.683804,197.035748,-1.544195,1.000000
23,T5c,1.000000,0.800387,0.988840,47.468176,204.835664,-1.404872,1.000000
24,T5d,1.000000,8.834339,1.025594,61.567242,203.232022,2.000000,1.000000
25,Tm1,1.000000,4.178848,2.012512,52.198138,203.644802,0.059034,1.000000
26,Tm2,1.000000,7.053395,0.688496,68.710014,212.111836,0.103046,1.000000
27,Tm20,1.000000,10.110312,1.022474,64.937819,221.884270,1.288524,1.000000
28,Tm21,1.000000,0.931532,1.001668,53.331726,201.832589,-0.584322,1.000000
29,Tm3,1.000000,5.175252,6.572397,53.842697,207.199993,-2.000000,1.000000
30,Tm4,1.000000,12.432569,4.913442,32.500416,192.867910,0.416348,1.000000
31,Tm9,1.000000,0.101584,8.936783,72.203365,210.584794,-1.931591,1.000000
