cell_idx,cell,a_gt,bias_gt,a_in,a_out,e_leak,v_th,tau_lp,tau_hp,a_h,v_th_ca,a_ca,tau_ca,v_pre,v_onset,v_spot_end,delta_v,v_ca_pre,v_ca_onset,v_ca_spot_end,delta_v_ca,ca_pre,ca_onset,ca_spot_end,delta_ca
0,R1-6,1.020589,52.950294,2.922276,1.687360,-16.280479,-34.064640,10.263258,200.809296,0.000000,-50.000000,1.000000,350.000000,2.925606,2.979840,5.514842,2.535002,52.949314,53.004501,55.540680,2.536179,52.949314,52.950294,53.071968,0.121674
1,R7,0.956234,22.525131,2.922276,8.832330,-35.223625,-15.208739,45.348133,193.215759,0.000000,-50.000000,1.000000,350.000000,-27.474384,-27.504688,-26.502277,1.002411,22.525614,22.495312,23.497723,1.002411,22.525614,22.525129,22.562500,0.037371
2,R8,0.985324,50.111874,2.922276,5.620323,-19.756439,-30.204674,45.400742,195.342072,0.000000,-50.000000,1.000000,350.000000,0.111549,0.131502,1.308962,1.177460,50.111542,50.131508,51.308960,1.177452,50.111542,50.111870,50.157696,0.045826
3,L1,2.000000,12.718189,2.922276,3.359993,-20.736240,-29.537348,15.645558,226.382202,0.993993,-42.434235,0.609295,364.436493,-21.560076,-21.603949,-25.224436,-3.620487,12.718511,12.691779,10.868037,-1.823742,12.718511,12.718189,12.652749,-0.065440
4,L2,1.888723,0.247920,2.922276,3.757735,-23.700487,-26.660007,10.047334,210.367157,0.970293,-27.336218,0.392099,340.499786,-26.821735,-26.873247,-33.137405,-6.264158,0.248039,0.239179,0.073828,-0.165351,0.248039,0.247920,0.240351,-0.007569
5,L3,1.995537,9.108147,2.922276,0.905205,-21.193382,-28.954887,10.000000,194.134079,0.000000,-45.072842,0.420725,337.745453,-23.424671,-23.390999,-23.504562,-0.113564,9.107919,9.122087,9.074306,-0.047780,9.107919,9.108147,9.108014,-0.000133
6,L4,0.831715,10.505415,2.922276,0.163602,-12.812539,-37.408478,10.009741,213.478363,0.395889,-50.787430,0.277877,357.860626,-12.981358,-12.987428,-13.146517,-0.159089,10.505443,10.503756,10.459550,-0.044206,10.505443,10.505416,10.504113,-0.001303
7,L5,1.999775,21.888170,2.922276,1.511084,-22.410576,-27.328539,10.000000,191.882187,0.928677,-56.927883,0.711901,349.060120,-26.182444,-26.119497,-20.300194,5.819304,21.887722,21.932533,26.075302,4.142769,21.887722,21.888172,22.020235,0.132063
8,Mi1,1.998533,0.117000,2.922276,2.208851,-15.474499,-34.560780,10.059882,196.088776,0.000000,-29.785521,0.452760,327.682404,-40.166401,-40.131687,-34.252403,5.879284,0.117012,0.116414,0.979872,0.863458,0.117012,0.117000,0.136144,0.019144
9,Tm3,1.776379,13.748353,2.922276,0.792840,-8.829531,-41.385006,10.000000,200.979111,0.000000,-35.714073,0.547038,332.745728,-10.581301,-10.593690,-6.022420,4.571270,13.748574,13.741796,16.242453,2.500657,13.748574,13.748353,13.807468,0.059115
