idx,cell,a_in,a_out,v_th,a_gt,bias_gt,tau_lp,tau_hp,e_leak,a_h,v_pre,v_onset
0,R1-6,1.038080,0.952451,-50.000000,0.957236,0.000000,40.000000,204.407043,-50.000000,0.000000,-30.110758,-30.088263
1,R7,1.038080,0.970941,-50.000000,1.048185,0.000000,40.000000,204.407043,-50.000000,0.000000,-30.611872,-30.592636
2,R8,1.038080,1.040806,-50.000000,0.979247,0.000000,40.000000,204.407043,-50.000000,0.000000,-30.261135,-30.239574
3,L1,1.038080,1.047475,-50.000000,0.963615,0.000000,40.000000,204.407043,-50.000000,-0.034617,-54.341808,-54.370461
4,L2,1.038080,1.006869,-50.000000,0.969755,0.000000,40.000000,204.407043,-50.000000,-0.027618,-54.968468,-55.001274
5,L3,1.038080,0.970638,-50.000000,1.023849,0.000000,40.000000,204.407043,-50.000000,0.000000,-52.404251,-52.420109
6,L4,1.038080,0.999216,-50.000000,1.049104,0.000000,40.000000,204.407043,-50.000000,0.049484,-50.003494,-50.003517
7,L5,1.038080,1.016277,-50.000000,1.034477,0.000000,40.000000,204.407043,-50.000000,-0.026238,-50.000645,-50.000648
8,Mi1,1.038080,1.031498,-50.000000,0.981316,0.000000,40.000000,204.407043,-50.000000,0.000000,-50.251831,-50.253483
9,Tm3,1.038080,0.953921,-50.000000,0.984936,0.000000,40.000000,204.407043,-50.000000,0.000000,-50.000000,-50.000000
10,Mi4,1.038080,0.961643,-50.000000,0.969778,0.000000,40.000000,204.407043,-50.000000,0.000000,-50.504631,-50.507927
11,Mi9,1.038080,0.964804,-50.000000,1.042053,0.000000,40.000000,204.407043,-50.000000,0.000000,-50.099770,-50.100422
12,T4a,1.038080,1.002518,-50.000000,0.995804,0.000000,40.000000,204.407043,-50.000000,0.000000,-50.000000,-50.000000
13,T4b,1.038080,0.975053,-50.000000,1.034896,0.000000,40.000000,204.407043,-50.000000,0.000000,-50.000000,-50.000000
14,T4c,1.038080,0.986555,-50.000000,0.976408,0.000000,40.000000,204.407043,-50.000000,0.000000,-50.000000,-50.000000
15,T4d,1.038080,1.042478,-50.000000,0.951556,0.000000,40.000000,204.407043,-50.000000,0.000000,-50.000000,-50.000000
16,Tm1,1.038080,1.018950,-50.000000,1.021487,0.000000,40.000000,204.407043,-50.000000,0.000000,-50.000000,-50.000000
