,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Mi4,Mi9,T1,T2,T2a,T3,T4a,T4b,T4c,T4d,T5a,T5b,T5c,T5d,Tm1,Tm2,Tm20,Tm21,Tm3,Tm4,Tm9,C2,C3,Lawf1,Lawf2
R1-6,10.000000,,,0.957642,0.867965,1.918889,6.646119,,,,,0.100000,,,,,,,,,,,,,,,,,,,0.100000,10.000000,,
R7,,,7.872471,4.328545,,4.385066,,,0.641455,0.100000,0.533723,,,,,,,,,,,,,,,0.147727,,,,,,0.100000,0.928687,
R8,,5.366672,0.100000,8.736113,0.100000,0.100000,,0.100000,0.100000,0.100000,0.896208,0.100000,,,,,,,,,,,,,,0.100000,10.000000,,,,0.100000,10.000000,0.116492,0.100000
L1,10.000000,0.221059,5.000191,0.100000,2.400514,0.100000,0.100000,3.948068,1.097936,9.713058,,10.000000,0.100000,10.000000,,,,,,,,,,0.100000,0.100000,,,2.888293,,,1.375740,9.375788,,1.096670
L2,0.100000,,0.100000,3.352904,10.000000,0.100000,4.361783,0.100000,0.100000,0.340842,0.100000,0.100000,0.100000,1.020781,,,,,,,,,,0.747033,1.505865,0.100000,,0.100000,2.726159,,6.623993,0.100000,,
L3,,10.000000,7.297136,4.020798,0.933398,,,,0.100000,0.100000,3.373432,0.100000,,,,,,,,,,,,1.647443,0.384527,0.100000,1.031323,,10.000000,2.386502,0.100000,1.652065,0.245293,
L4,0.100000,,,2.159859,6.296227,0.100000,3.000529,10.000000,7.557444,,0.100000,,8.066916,,,,,,,,,,,0.100000,0.100000,,,,0.100000,4.396083,,0.100000,1.062762,0.885289
L5,,,,1.165954,1.166975,,,0.100000,8.203137,0.100000,0.331273,0.180157,0.369607,0.100000,,,,,,,,,,0.100000,0.100000,1.016301,6.516962,1.628038,0.100000,,1.568716,0.100000,0.777929,0.689750
Mi1,,0.100000,0.100000,2.967734,8.549640,,,0.539575,0.626183,10.000000,0.100000,10.000000,0.100000,0.482619,0.100000,0.100000,0.100000,4.391736,6.522181,,,,,0.100000,0.100000,10.000000,0.100000,0.194992,0.100000,,3.988448,0.100000,0.339198,0.100000
Mi4,,,,,0.100000,6.227357,,0.100000,0.100000,10.000000,0.448665,0.238691,,1.753705,,0.100000,0.100000,8.421323,10.000000,,,,,4.592344,2.818804,0.100000,,1.096643,7.372691,7.125714,0.100000,4.082824,1.529562,1.321054
Mi9,,,,,,0.100000,0.100000,,0.100000,2.507147,,,10.000000,0.100000,1.443043,2.666179,0.100000,0.197682,10.000000,,,,,7.884996,9.310332,2.275464,5.094765,0.201203,8.020329,0.100000,0.100000,,0.100000,1.642470
T1,0.100000,7.790223,0.100000,,3.112812,0.187465,,0.517581,,,0.100000,,,,,,,,,,,,,3.250044,0.100000,5.328598,,,10.000000,,,,,
T2,,,,,,,,0.100000,9.316295,,3.458275,,4.954500,1.021197,0.539428,,,,,,,,,0.100000,1.716411,,0.100000,10.000000,0.100000,,,,,0.134686
T2a,,,,,,,,,8.061229,,,,0.100000,0.100000,0.679070,,,,,,,,,0.299999,,2.089329,0.964526,0.100000,0.100000,,0.500163,,,0.911283
T3,,,,,,,,,,,,,0.158084,1.011936,1.008711,,,,0.968882,,,,,1.407090,,,0.998044,0.100000,,,,1.028831,,0.995257
T4a,,,,,,,,,,,1.253806,,,,,10.000000,1.029786,0.987517,1.008441,0.979761,,,,,,,,,,,,0.100000,,
T4b,,,,,,,,,0.100000,0.134068,3.939120,,,,,0.100000,0.100000,,0.971467,,10.000000,,,,,,,,,,,,,
T4c,,,,,,,,,,,4.170456,,0.971274,,,,,2.311456,,,,1.025368,1.014841,,,,,,,,,,,
T4d,,,,,,,,,10.000000,,,,,,,,,0.992826,10.000000,,,,1.016526,,,,,,,,,,,
T5a,,,,,,,,,,,,,0.100000,,,0.187475,,,,0.100000,0.963366,,,,7.647978,,,,,,,,,
T5b,,,,,,,,,,,,,10.000000,,,,0.100000,,,0.972769,10.000000,,,,,,,,,,,,,
T5c,,,,,,,,,,,,,10.000000,,,,,4.256435,,,0.960694,1.637844,0.972565,,,,,,,,,,,
T5d,,,,,,,,,,,,,0.935930,,,,,0.738216,1.008656,,,,0.976218,,,,,,,,,,,
