,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Mi4,Mi9,T1,T2,T2a,T3,T4a,T4b,T4c,T4d,T5a,T5b,T5c,T5d,Tm1,Tm2,Tm20,Tm21,Tm3,Tm4,Tm9,C2,C3
R1-6,0.996966,,,0.955428,1.002257,0.969192,0.950108,,,,,0.994675,,,,,,,,,,,,,,,,,,,0.960019,0.990349
R7,,,0.997840,0.389897,,1.038460,,,1.000036,1.049039,0.963402,,,,,,,,,,,,,,,0.950907,,,,,,0.979833
R8,,1.000168,0.970370,1.046931,0.970191,1.029468,,0.986211,0.960380,0.975273,0.969842,1.039180,,,,,,,,,,,,,,0.991439,0.980709,,,,1.012251,1.044937
L1,0.969487,0.958117,1.023067,0.100000,0.444836,1.044488,0.100000,0.907635,0.983363,0.989062,,0.975470,0.974129,1.029738,,,,,,,,,,1.032914,1.025993,,,0.984607,,,0.954584,1.019965
L2,1.006600,,1.037787,4.330208,0.100000,1.015880,2.978453,0.100000,0.968171,1.005472,0.955847,1.047316,0.986054,0.979895,,,,,,,,,,0.955604,1.007534,1.016136,,0.971287,1.025645,,0.982118,1.022266
L3,,0.963228,1.045840,0.100000,8.250281,,,,0.953540,1.014125,1.029703,1.001306,,,,,,,,,,,,0.986411,0.980986,0.999106,0.989891,,0.989845,0.988045,0.971598,0.985987
L4,0.998846,,,2.284728,4.962101,0.965822,0.100000,0.969828,0.959890,,1.049187,,1.042936,,,,,,,,,,,1.010655,0.957404,,,,0.967182,0.950690,,1.048912
L5,,,,0.356166,0.456460,,,1.279090,0.994431,1.049061,1.049653,0.985454,0.995674,1.037018,,,,,,,,,,0.977267,1.044065,0.975864,0.983596,1.006758,1.037711,,1.029748,1.035373
Mi1,,1.041218,0.971302,4.407188,15.475567,,,0.100000,1.008441,1.045519,0.968564,1.016404,0.994535,0.956578,1.046633,1.032059,0.962939,0.956756,0.953204,,,,,1.033573,0.978446,1.037326,1.026219,0.999863,1.000438,,1.049031,1.040388
Mi4,,,,,0.459344,0.989333,,1.345379,0.996741,1.000286,0.999768,0.962447,,1.007387,,1.023750,0.997210,0.998028,0.991901,,,,,0.974686,1.008018,0.994824,,1.023489,0.984242,0.991274,1.028912,0.954351
Mi9,,,,,,1.033127,0.951851,,0.999648,0.979352,,,1.015070,1.024120,0.986094,1.034724,0.951434,0.952251,0.981327,,,,,1.036423,1.009062,1.012439,0.987599,1.033549,1.028914,1.007916,0.998277,
T1,0.988218,0.963104,1.019086,,1.044815,0.976913,,0.950455,,,1.020739,,,,,,,,,,,,,1.019652,0.977301,0.983966,,,0.998013,,,
T2,,,,,,,,0.848780,1.024993,,0.954496,,1.029607,1.037076,0.990207,,,,,,,,,1.012786,0.985841,,0.958856,0.966996,0.959484,,,
T2a,,,,,,,,,0.959824,,,,1.036744,1.048657,1.034426,,,,,,,,,0.977567,,0.987366,0.980980,0.956872,0.973766,,0.968566,
