idx,cell,a_gt,bias_gt,a_in,a_out,e_leak,v_th,v_th_ca,a_ca,tau_ca,tau_lp,tau_hp,a_h,v_pre,v_onset,v_spot_end,delta_v
0,R1-6,1.035065,0.000000,0.950649,1.013153,-0.056236,-50.000000,-50.000000,0.995578,52.383286,10.000000,199.535645,0.000000,69.529587,69.536652,70.000916,0.464264
1,R7,1.007073,0.000000,0.950649,1.007288,-0.013792,-50.000000,-50.000000,1.033691,52.383286,10.000000,199.535645,0.000000,70.513962,70.519890,70.990044,0.470154
2,R8,1.030031,0.000000,0.950649,1.043348,0.241293,-50.000000,-50.000000,0.974360,52.383286,10.000000,199.535645,0.000000,67.865257,67.871796,68.307457,0.435661
3,L1,0.961963,0.000000,0.950649,0.972567,-0.082054,-50.000000,-50.000000,0.978861,52.383286,10.000000,199.535645,-0.046885,37.804447,37.793156,37.697910,-0.095245
4,L2,0.990734,0.000000,0.950649,0.972574,-0.498072,-50.000000,-50.000000,1.020342,52.383286,10.000000,199.535645,0.048150,31.046143,31.030495,30.901735,-0.128759
5,L3,0.989913,0.000000,0.950649,0.952042,-0.190257,-50.000000,-50.000000,1.028581,52.383286,10.000000,199.535645,0.000000,43.450359,43.443939,43.389484,-0.054455
6,L4,0.993264,0.000000,0.950649,1.046222,0.024730,-50.000000,-50.000000,0.965992,52.383286,10.000000,199.535645,0.013675,48.577526,48.576725,48.572201,-0.004524
7,L5,0.951956,0.000000,0.950649,1.021029,0.126572,-50.000000,-50.000000,1.014920,52.383286,10.000000,199.535645,0.012734,49.019974,49.020260,49.022701,0.002441
8,Mi1,0.955815,0.000000,0.950649,0.952757,0.380820,-50.000000,-50.000000,0.970444,52.383286,10.000000,199.535645,0.000000,45.797523,45.800552,45.816555,0.016003
9,Tm3,0.962295,0.000000,0.950649,1.000939,-0.043686,-50.000000,-50.000000,0.964975,52.383286,10.000000,199.535645,0.000000,50.420620,50.424522,50.445488,0.020966
10,Mi4,1.006659,0.000000,0.950649,0.971007,-0.101053,-50.000000,-50.000000,0.984512,52.383286,10.000000,199.535645,0.000000,50.537685,50.537128,50.529366,-0.007763
11,Mi9,0.964892,0.000000,0.950649,0.991618,0.331337,-50.000000,-50.000000,1.044042,52.383286,10.000000,199.535645,0.000000,54.844212,54.842709,54.832798,-0.009911
12,T4a,0.998642,0.000000,0.950649,0.999297,-0.253037,-50.000000,-50.000000,0.964222,52.383286,10.000000,199.535645,0.000000,50.133884,50.134804,50.139324,0.004520
13,T4b,0.998966,0.000000,0.950649,1.029624,-0.144201,-50.000000,-50.000000,1.011917,52.383286,10.000000,199.535645,0.000000,52.175045,52.175804,52.179581,0.003777
14,T4c,1.018407,0.000000,0.950649,0.974512,-0.015722,-50.000000,-50.000000,0.955753,52.383286,10.000000,199.535645,0.000000,49.900642,49.901562,49.906044,0.004482
15,T4d,1.007895,0.000000,0.950649,1.026005,0.144803,-50.000000,-50.000000,0.990948,52.383286,10.000000,199.535645,0.000000,51.638245,51.639091,51.643211,0.004120
16,Tm1,0.978374,0.000000,0.950649,0.979844,-0.429123,-50.000000,-50.000000,1.040120,52.383286,10.000000,199.535645,0.000000,54.854824,54.845211,54.791607,-0.053604
17,Tm2,1.015175,0.000000,0.950649,0.994060,0.304053,-50.000000,-50.000000,1.033635,52.383286,10.000000,199.535645,0.000000,57.086857,57.080624,57.044365,-0.036259
18,Tm4,0.968879,0.000000,0.950649,1.022973,0.382954,-50.000000,-50.000000,0.967137,52.383286,10.000000,199.535645,0.000000,50.855438,50.850845,50.824764,-0.026081
19,Tm9,1.047966,0.000000,0.950649,1.021640,-0.491375,-50.000000,-50.000000,1.012343,52.383286,10.000000,199.535645,0.000000,50.423508,50.422913,50.419613,-0.003300
20,T5a,0.950354,0.000000,0.950649,0.951002,-0.126906,-50.000000,-50.000000,1.007406,52.383286,10.000000,199.535645,0.000000,54.327751,54.328655,54.331406,0.002750
21,T5b,1.031186,0.000000,0.950649,0.950445,0.429526,-50.000000,-50.000000,0.955786,52.383286,10.000000,199.535645,0.000000,51.730793,51.731617,51.734272,0.002655
