idx,cell,a_in,a_out,bias_out,a_gt,bias_gt,tau_lp,tau_hp,v_rest,a_slow
0,R1-6,1.000000,1.341446,-12.443817,0.981589,-0.390020,15.049059,205.026943,0.000000,0.000000
1,R7,1.000000,8.695590,-19.997572,0.998158,-0.091151,37.719389,192.779403,0.000000,0.000000
2,R8,1.000000,4.259040,-19.978078,1.032349,0.368829,14.706659,208.632541,0.000000,0.000000
3,L1,1.000000,5.636302,4.009679,0.374087,-0.924115,43.002446,189.818822,0.000000,0.600000
4,L2,1.000000,1.688097,-0.816969,0.783513,-2.257055,23.445006,185.153425,0.000000,0.600000
5,L3,1.000000,2.937309,4.128542,0.694867,-1.503612,22.301921,200.423919,0.000000,0.000000
6,L4,1.000000,1.934433,1.392247,0.123682,0.104236,10.000000,145.710075,0.000000,1.000000
7,L5,1.000000,6.582050,-0.943610,0.488238,-0.237607,39.949460,185.535695,0.000000,1.000000
8,Mi1,1.000000,5.125346,4.109119,0.429113,-2.843877,43.483066,208.206519,0.000000,0.000000
9,Tm3,1.000000,6.990798,-2.785737,0.312232,-1.442799,10.000000,192.971010,0.000000,0.000000
10,Mi4,1.000000,5.946479,0.789454,0.971608,-0.913986,19.577398,199.400078,0.000000,0.000000
11,Mi9,1.000000,9.579331,1.256566,1.506793,0.969138,25.099522,207.807803,0.000000,0.000000
12,T4a,1.000000,0.100000,-0.911900,1.009264,-0.233469,51.700073,191.184025,0.000000,0.000000
13,T4b,1.000000,7.109566,-3.906756,0.986496,-0.046695,38.506426,207.397735,0.000000,0.000000
14,T4c,1.000000,0.100000,-0.769552,1.033711,-0.321144,52.899405,200.708504,0.000000,0.000000
15,T4d,1.000000,10.000000,-1.700007,1.020163,-0.258812,40.239432,190.167084,0.000000,0.000000
16,Tm1,1.000000,9.990979,-5.568123,0.551958,-0.514489,10.000000,200.384781,0.000000,0.000000
17,Tm2,1.000000,0.120815,-0.861483,0.379572,-0.408795,88.782366,199.170305,0.000000,0.000000
18,Tm4,1.000000,0.100000,-1.619090,0.698245,0.241806,10.000000,204.227811,0.000000,0.000000
19,Tm9,1.000000,7.009340,0.036175,0.633282,2.322058,19.313480,190.943067,0.000000,0.000000
20,T5a,1.000000,0.100000,-1.465139,0.976874,-0.119479,50.818464,198.244128,0.000000,0.000000
21,T5b,1.000000,8.034091,-0.488693,1.005254,-0.036917,77.658657,200.700689,0.000000,0.000000
22,T5c,1.000000,0.100000,-0.776941,0.997521,-0.004735,47.876751,202.845931,0.000000,0.000000
23,T5d,1.000000,0.100000,-1.744312,1.031629,-0.250163,47.035905,203.812142,0.000000,0.000000
24,T1,1.000000,4.625361,-0.068609,1.039776,0.246868,71.952988,192.483798,0.000000,0.000000
25,T2,1.000000,3.913841,3.150123,0.974464,-0.403269,42.546798,206.550952,0.000000,0.000000
26,T2a,1.000000,0.352450,-0.766328,1.045845,-0.168730,52.671303,197.438846,0.000000,0.000000
27,T3,1.000000,0.100000,-1.659843,1.005488,0.452380,49.223747,208.496946,0.000000,0.000000
28,C2,1.000000,3.548236,1.425536,0.976125,0.097432,16.735129,191.681892,0.000000,0.000000
29,C3,1.000000,6.581302,2.864880,0.977422,-0.197253,38.389589,190.465554,0.000000,0.000000
30,Lawf1,1.000000,4.915289,0.038134,1.037508,-0.288488,10.000000,199.987860,0.000000,0.000000
31,Lawf2,1.000000,0.305598,-0.881781,0.997677,-0.377609,50.685798,207.221519,0.000000,0.000000
32,Dm3v,1.000000,7.920960,1.494050,1.034183,-0.262608,89.673798,200.431510,0.000000,0.000000
33,Lai,1.000000,0.992451,-0.144119,0.973105,0.223215,50.064530,204.642906,0.000000,0.000000
34,Mi10,1.000000,1.276396,0.000598,1.020187,0.298611,51.634634,191.219644,0.000000,0.000000
35,Mi13,1.000000,0.186469,-0.742559,1.004063,-0.040982,50.154306,204.139824,0.000000,0.000000
36,Mi14,1.000000,5.615498,1.630022,0.964703,0.485726,10.000000,192.065273,0.000000,0.000000
37,Mi15,1.000000,5.514420,5.542577,1.007872,0.079396,69.301912,206.961275,0.000000,0.000000
38,Mi2,1.000000,10.000000,-0.351435,1.015836,-0.120920,10.000000,190.654520,0.000000,0.000000
39,Tm16,1.000000,1.041090,-0.121738,1.043368,0.126758,50.571402,200.810026,0.000000,0.000000
40,Tm20,1.000000,0.313095,-0.734254,1.006200,0.055573,53.916987,197.436713,0.000000,0.000000
41,Tm21,1.000000,10.000000,1.050642,0.968243,0.250741,18.628214,199.899201,0.000000,0.000000
42,Tm27,1.000000,0.368227,-1.127517,1.040485,-0.148348,52.304190,193.638891,0.000000,0.000000
43,Tm5a,1.000000,1.030818,-0.132437,1.038527,-0.015191,49.307434,197.336678,0.000000,0.000000
44,Tm5b,1.000000,1.038056,-0.484346,1.048423,-0.414131,49.441958,199.512490,0.000000,0.000000
45,Tm5c,1.000000,0.135345,-0.582196,0.981164,-0.345466,50.548615,194.675635,0.000000,0.000000
46,Tm5f,1.000000,2.956473,0.121852,1.020020,-0.367884,68.940764,196.911125,0.000000,0.000000
47,TmY10,1.000000,0.100000,-0.806448,0.963084,-0.424407,53.756271,201.692175,0.000000,0.000000
48,TmY11,1.000000,0.972353,-0.323292,1.026810,0.004683,52.043773,198.911857,0.000000,0.000000
49,TmY14,1.000000,10.000000,-0.661899,0.983802,-0.471714,52.789207,193.717505,0.000000,0.000000
50,TmY15,1.000000,6.518609,-0.431103,0.976750,-0.093862,19.997891,197.027859,0.000000,0.000000
51,TmY3,1.000000,1.157186,-1.787331,0.979313,-0.185370,46.803495,198.362907,0.000000,0.000000
52,TmY4,1.000000,9.965833,1.515149,1.046813,0.317293,60.102061,208.804362,0.000000,0.000000
53,TmY5a,1.000000,1.213292,-1.232018,0.984300,0.024129,50.642844,199.620752,0.000000,0.000000
54,TmY9q,1.000000,0.162204,-1.179216,1.048590,0.284753,52.185982,200.678226,0.000000,0.000000
