cell_idx,cell,a_gt,bias_gt,a_in,a_out,e_leak,v_th,tau_lp,tau_hp_rise,tau_hp_fall,a_h,v_pre,v_onset,v_sti_end,delta_v
0,R1-6,1.008755,-1.148268,0.671634,0.100000,-1.148268,-49.190842,10.000000,199.074783,188.577225,1.000000,-1.148268,-1.148268,18.330349,19.478616
1,R7,0.952746,-1.287568,0.671634,0.100000,-1.287567,-49.195488,10.000000,181.445084,193.411987,1.000000,-1.287567,-1.287568,16.982725,18.270294
2,R8,1.030876,-0.452885,0.671634,0.100000,-0.452885,-49.143173,10.000000,201.119156,203.959091,1.000000,-0.452885,-0.452885,19.325743,19.778627
3,L1,1.960855,-1.842702,0.671634,1.224057,-1.843413,-48.461750,10.534523,190.714813,199.663818,1.000000,-1.843413,-1.842702,-1.842265,0.000437
4,L2,1.938196,-0.870989,0.671634,0.158444,-0.843724,-49.076908,10.000000,200.199814,189.872284,0.982229,-0.870662,-0.870989,-0.885635,-0.014646
5,L3,1.893042,-0.783010,0.671634,0.346172,-0.784488,-49.208782,10.000000,192.424667,211.604568,1.000000,-0.784488,-0.783010,-0.787967,-0.004956
6,L4,1.747656,-1.185495,0.671634,0.191792,-1.168845,-49.143406,10.807692,189.336609,199.508728,0.437271,-1.185441,-1.185495,-1.185484,0.000011
7,L5,0.500000,0.244643,0.671634,1.407699,0.203221,-50.228359,10.715137,197.665421,197.614624,1.000000,0.203221,0.244643,0.486474,0.241831
8,Mi1,2.000000,-3.834733,0.671634,3.150830,-4.140711,-45.874687,29.277487,220.683365,204.777573,1.000000,-4.140710,-3.834733,-1.407548,2.427185
9,Tm3,2.000000,3.502965,0.671634,2.236533,0.140123,-50.137226,28.336664,205.948654,194.177200,0.308358,3.487179,3.502965,3.816305,0.313340
10,Mi4,1.862479,-1.280435,0.671634,0.754666,-1.574558,-48.425774,22.219135,221.378525,201.579742,0.968343,-1.315276,-1.280435,-0.824530,0.455906
11,Mi9,1.903785,-0.656212,0.671634,0.863900,-0.169233,-49.335205,23.731638,203.754028,210.941879,0.855881,-0.655759,-0.656212,-0.678795,-0.022583
12,T4a,0.921303,1.296630,0.671634,1.298895,0.224451,-49.980480,34.701126,236.480377,204.546173,0.948231,1.273572,1.296630,2.154242,0.857612
13,T4b,0.500000,-1.041121,0.671634,0.263208,-1.063217,-49.089130,34.734013,233.420258,202.061356,1.000000,-1.063217,-1.041121,-0.149379,0.891742
14,T4c,0.500000,-1.025038,0.671634,0.952112,-1.046108,-49.012215,34.719185,234.189453,201.303238,1.000000,-1.046108,-1.025038,-0.173617,0.851422
15,T4d,0.776605,1.422437,0.671634,1.575664,0.455563,-50.330067,33.568859,216.003281,197.489090,0.931085,1.406487,1.422437,1.961928,0.539491
16,Tm1,1.657146,-1.590828,0.671634,0.502095,-0.993549,-49.309650,13.310494,204.666565,198.435074,0.111125,-1.588107,-1.590828,-1.595231,-0.004404
17,Tm2,1.849774,0.674985,0.671634,1.548435,0.847704,-50.602207,11.359930,192.117752,201.559387,0.672962,0.676476,0.674985,0.673957,-0.001028
18,Tm4,1.792897,-0.958573,0.671634,1.356852,0.047633,-50.113468,16.635525,189.229416,195.993576,0.704950,-0.953520,-0.958573,-0.971953,-0.013380
19,Tm9,1.805837,5.382924,0.671634,3.865055,5.425762,-55.321484,11.381486,190.482941,194.033234,0.391128,5.383269,5.382924,5.381917,-0.001007
20,T5a,0.994694,-0.825031,0.671634,0.242562,-1.068134,-48.863132,11.482183,191.422485,202.354111,0.838620,-0.826155,-0.825031,-0.824719,0.000312
21,T5b,0.990715,76.237404,0.671634,9.797860,12.354393,-62.756924,18.782681,199.539963,191.744202,0.213656,75.785263,76.237404,76.594009,0.356606
22,T5c,1.018911,37.038036,0.671634,3.063262,1.785615,-52.099236,33.045254,198.579025,198.368805,0.000000,36.956676,37.038036,37.137913,0.099876
23,T5d,1.048530,-0.229023,0.671634,1.347298,-0.229004,-49.754307,11.176644,197.724945,197.273331,1.000000,-0.229004,-0.229023,-0.229085,-0.000063
24,T1,1.046596,0.883357,0.671634,1.301756,0.894759,-50.694050,10.563835,198.052292,198.296280,0.653625,0.880175,0.883357,0.881449,-0.001908
25,T2,0.968135,200.000000,0.671634,9.804905,-10.809340,-38.962139,21.295723,194.135254,206.125946,0.251769,207.130859,212.798416,225.921326,13.122910
26,T2a,0.976710,64.205299,0.671634,7.625385,0.532755,-50.259640,25.015314,192.294250,205.875992,0.000000,63.935181,64.205299,67.772827,3.567528
27,T3,0.976802,17.215216,0.671634,1.657809,0.691255,-50.422470,11.537982,217.229996,189.066086,0.000000,17.088453,17.215216,18.057352,0.842136
28,C2,0.996569,-2.372116,0.671634,0.201952,-1.099831,-49.219154,11.162125,203.384216,189.977188,0.443677,-2.372450,-2.372116,-2.340106,0.032009
29,C3,0.995694,4.692532,0.671634,1.644855,1.473515,-51.676167,11.329936,193.496490,194.238724,0.312724,4.662208,4.692532,4.941029,0.248497
30,Lawf1,0.996271,13.523670,0.671634,1.531244,0.901035,-50.428600,10.000000,182.419403,196.602371,0.049731,13.431392,13.523670,13.603349,0.079679
31,Lawf2,0.995841,50.892723,0.671634,1.207780,-0.654087,-49.280205,19.812092,225.696030,194.934952,0.000000,48.283894,50.892723,56.117229,5.224506
32,Dm3v,0.980042,4.048546,0.671634,2.181971,1.845152,-51.449787,21.120232,210.597366,204.528198,0.404178,4.018713,4.048546,4.190165,0.141619
33,Lai,0.986957,-5.254869,0.671634,0.106140,-1.035906,-49.176842,10.000628,207.945160,196.333328,0.000000,-5.349290,-5.254869,-6.070660,-0.815791
34,Mi10,0.992131,-0.082808,0.671634,1.777605,0.165893,-50.384880,10.560081,198.691467,185.562347,0.000000,-0.122688,-0.082808,0.008268,0.091076
35,Mi13,1.033046,1.184679,0.671634,1.082592,0.109132,-49.725109,11.141951,202.610504,192.100586,0.000000,1.120749,1.184679,1.263209,0.078530
36,Mi14,1.030043,-8.191381,0.671634,0.100000,-8.199806,-42.267155,30.005636,211.622604,196.634995,1.000000,-8.199805,-8.191381,-7.997581,0.193800
37,Mi15,0.989588,-1.420273,0.671634,0.617352,-0.823070,-49.354660,10.000000,204.250397,197.195969,0.084209,-1.416919,-1.420273,-1.418049,0.002224
38,Mi2,0.966650,-1.367404,0.671634,0.100000,-1.417039,-48.872425,11.107301,200.412323,199.775452,0.787039,-1.368332,-1.367404,-1.354473,0.012931
39,Tm16,1.017089,-5.810187,0.671634,0.118488,-0.515657,-49.000034,11.221662,195.793884,205.218140,0.000000,-5.784633,-5.810187,-5.907119,-0.096932
40,Tm20,0.993842,-0.722259,0.671634,0.102030,-0.576490,-49.039856,10.000000,189.800034,201.713303,0.849696,-0.744938,-0.722259,-0.677386,0.044872
41,Tm21,0.994579,124.969856,0.671634,9.726669,12.636025,-62.833000,11.975066,205.580795,196.285828,0.282785,118.265404,124.969856,135.596832,10.626976
42,Tm27,1.049588,49.831341,0.671634,2.397216,-0.024451,-49.697620,32.858528,211.992340,197.583450,0.000000,49.629986,49.831341,53.053455,3.222115
43,Tm5a,1.025853,122.296684,0.671634,10.000000,42.400639,-92.422760,10.000000,208.351089,203.837387,0.000000,114.451683,122.296684,135.833862,13.537178
44,Tm5b,0.951865,26.630268,0.671634,9.481599,26.478977,-76.020859,24.902466,209.221863,199.996780,1.000000,26.478975,26.630268,27.610083,0.979815
45,Tm5c,1.015811,2.470643,0.671634,1.165751,-0.579083,-49.503952,15.558916,203.113022,202.437515,0.000000,2.419080,2.470643,2.583878,0.113236
46,Tm5f,1.037966,90.334801,0.671634,10.000000,-0.882868,-48.756458,10.000000,193.586029,190.380798,0.000000,84.412155,90.334801,100.433510,10.098709
47,TmY10,1.025673,14.781796,0.671634,3.854296,0.155631,-50.411457,32.322533,211.783234,207.193420,0.539221,13.856910,14.781796,19.130714,4.348919
48,TmY11,1.007985,5.264289,0.671634,0.389054,-1.113845,-49.258465,10.000000,193.967819,198.191803,0.000000,4.986233,5.264289,5.627611,0.363322
49,TmY14,0.952838,1.735739,0.671634,1.932412,1.649590,-51.208870,29.934071,203.825958,192.376312,1.000000,1.649591,1.735739,2.593605,0.857866
50,TmY15,1.008909,-0.216285,0.671634,0.102170,-0.640637,-48.967381,10.000642,187.547714,212.502106,0.850463,-0.226353,-0.216285,-0.205253,0.011032
51,TmY3,0.969560,121.288765,0.671634,10.000000,18.684244,-69.054176,10.000000,216.920029,188.376068,0.000000,120.715477,121.288765,123.374557,2.085793
52,TmY4,0.991614,-1.068519,0.671634,0.112282,-0.519684,-49.122009,10.003642,207.185577,195.166107,0.738600,-1.073731,-1.068519,-1.039120,0.029400
53,TmY5a,1.039490,2.186861,0.671634,2.482905,2.033644,-52.265495,27.718264,225.984344,206.477509,1.000000,2.033644,2.186861,3.280976,1.094115
54,TmY9q,0.981220,70.886116,0.671634,5.004410,3.871677,-54.351337,29.134037,222.445801,207.535141,0.000000,69.493477,70.886116,75.418343,4.532227
55,TmY9q__perp,0.992814,31.705601,0.671634,2.794098,0.225967,-49.841961,32.503571,197.636017,208.850479,0.000000,31.306030,31.705601,33.290852,1.585251
