idx,cell,a_gt,bias_gt,a_in,a_out,e_leak,v_th,v_th_ca,a_ca,tau_ca,tau_lp,tau_hp,a_h,v_pre,v_onset,v_spot_end,delta_v
35,Mi13,1.033765,0.000000,0.759568,1.354958,0.038597,-100.000000,-50.000000,1.005713,350.014191,10.000000,192.755951,0.000000,101.234779,101.234779,101.234695,-0.000084
36,Mi14,0.951068,0.000000,0.759568,1.372897,-0.040466,-100.000000,-50.000000,1.027656,352.216248,10.000000,192.755951,0.000000,109.219589,109.219772,109.220604,0.000832
37,Mi15,0.989442,0.000000,0.759568,0.702711,-0.633053,-100.000000,-50.000000,1.043301,351.358734,10.000000,192.755951,0.000000,97.728134,97.727646,97.719360,-0.008286
38,Mi2,1.027669,0.000000,0.759568,1.322469,0.271578,-100.000000,-50.000000,0.999064,348.527283,10.000000,192.755951,0.000000,102.785065,102.785011,102.784554,-0.000458
39,Tm16,0.966329,0.000000,0.759568,0.707200,-0.403326,-100.000000,-50.000000,1.019532,351.479919,10.000000,192.755951,0.000000,88.567436,88.566963,88.565063,-0.001900
40,Tm20,0.950346,0.000000,0.759568,0.658441,-0.064537,-100.000000,-50.000000,1.030752,352.254669,10.000000,192.755951,0.000000,98.417755,98.417236,98.409424,-0.007812
41,Tm21,0.972491,0.000000,0.759568,0.658621,-0.194660,-100.000000,-50.000000,0.951058,351.468750,10.000000,192.755951,0.000000,94.465919,94.465797,94.465096,-0.000702
42,Tm27,0.971916,0.000000,0.759568,0.710752,-0.312187,-100.000000,-50.000000,1.026196,349.001312,10.000000,192.755951,0.000000,101.602409,101.602257,101.601387,-0.000870
43,Tm5a,1.008149,0.000000,0.759568,0.759564,-0.697466,-100.000000,-50.000000,0.991315,350.584778,10.000000,192.755951,0.000000,94.574791,94.574486,94.568153,-0.006332
44,Tm5b,1.017836,0.000000,0.759568,0.653551,-0.347875,-100.000000,-50.000000,0.976751,351.351196,10.000000,192.755951,0.000000,92.135078,92.134705,92.127800,-0.006905
45,Tm5c,1.046218,0.000000,0.759568,1.331022,0.625945,-100.000000,-50.000000,1.030823,349.738373,10.000000,192.755951,0.000000,105.625687,105.625526,105.622643,-0.002884
46,Tm5f,1.042858,0.000000,0.759568,0.689962,0.073114,-100.000000,-50.000000,0.979820,350.828979,10.000000,192.755951,0.000000,98.743469,98.743492,98.743576,0.000084
47,TmY10,1.038922,0.000000,0.759568,0.638410,-0.290473,-100.000000,-50.000000,1.049442,351.653961,10.000000,192.755951,0.000000,102.190971,102.190849,102.190208,-0.000641
48,TmY11,1.046028,0.000000,0.759568,0.672146,0.003184,-100.000000,-50.000000,1.036258,350.929138,10.000000,192.755951,0.000000,75.485268,75.484360,75.480820,-0.003540
49,TmY14,0.993831,0.000000,0.759568,0.632257,-0.714706,-100.000000,-50.000000,1.042114,349.108643,10.000000,192.755951,0.000000,106.036598,106.036324,106.034607,-0.001717
50,TmY15,1.004436,0.000000,0.759568,1.392171,0.446606,-100.000000,-50.000000,1.048474,349.498688,10.000000,192.755951,0.000000,121.958488,121.958916,121.960831,0.001915
51,TmY3,1.048910,0.000000,0.759568,0.689743,0.051818,-100.000000,-50.000000,0.994201,348.841919,10.000000,192.755951,0.000000,95.027023,95.026711,95.025169,-0.001541
52,TmY4,1.005328,0.000000,0.759568,0.722747,-0.749481,-100.000000,-50.000000,1.039746,352.481110,10.000000,192.755951,0.000000,101.708282,101.708130,101.707222,-0.000908
53,TmY5a,1.033185,0.000000,0.759568,1.345517,0.358636,-100.000000,-50.000000,1.013349,350.150726,10.000000,192.755951,0.000000,110.308968,110.309303,110.310944,0.001640
54,TmY9q,0.989340,0.000000,0.759568,0.705030,0.087283,-100.000000,-50.000000,1.043111,349.358093,10.000000,192.755951,0.000000,106.552284,106.552338,106.552528,0.000191
55,TmY9q__perp,1.006073,0.000000,0.759568,0.719921,-0.273904,-100.000000,-50.000000,0.980647,351.749725,10.000000,192.755951,0.000000,99.835777,99.835823,99.836006,0.000183
