idx,cell,a_in,a_out,v_th,a_gt,bias_gt,tau_lp,tau_hp,e_leak,a_h,v_pre,v_onset
0,R1-6,1.532750,1.701745,-50.000000,1.013063,0.000000,40.000000,133.868195,-50.000000,0.000000,-30.303084,-30.281955
1,R7,1.532750,4.459853,-50.000000,1.042514,0.000000,40.000000,133.868195,-50.000000,0.000000,-30.758484,-30.734626
2,R8,1.532750,2.063840,-50.000000,0.991248,0.000000,40.000000,133.868195,-50.000000,0.000000,-40.003680,-40.052652
3,L1,1.532750,0.716652,-50.000000,0.876088,0.000000,40.000000,133.868195,-20.000000,1.000000,-20.000000,-20.130545
4,L2,1.532750,4.329774,-50.000000,0.134573,0.000000,40.000000,133.868195,-20.000000,1.000000,-20.000000,-20.102961
5,L3,1.532750,10.000000,-50.000000,1.422590,0.000000,40.000000,133.868195,-50.000000,0.000000,-59.909427,-59.963770
6,L4,1.532750,3.416833,-50.000000,0.118099,0.000000,40.000000,133.868195,-50.000000,1.000000,-50.000000,-50.031037
7,L5,1.532750,4.128433,-50.000000,10.000000,0.000000,40.000000,133.868195,-50.000000,0.697466,-24.557483,-24.512163
8,Mi1,1.532750,1.219249,-50.000000,0.125248,0.000000,40.000000,133.868195,-50.000000,0.000000,-11.572547,-11.010391
9,Tm3,1.532750,0.885661,-50.000000,0.100000,0.000000,40.000000,133.868195,-50.000000,0.000000,-4.474554,-3.826428
10,Mi4,1.532750,1.480318,-50.000000,0.141572,0.000000,40.000000,133.868195,-50.000000,0.000000,-3.197209,-2.430342
11,Mi9,1.532750,10.000000,-50.000000,1.014578,0.000000,40.000000,133.868195,-50.000000,0.000000,-57.836899,-58.065761
12,T4a,1.532750,3.881064,-50.000000,1.048333,0.000000,40.000000,133.868195,-50.000000,0.000000,-52.624336,-52.340905
13,T4b,1.532750,3.616901,-50.000000,0.980112,0.000000,40.000000,133.868195,-50.000000,0.000000,-43.090248,-42.787607
14,T4c,1.532750,6.346789,-50.000000,0.964697,0.000000,40.000000,133.868195,-50.000000,0.000000,-58.028872,-58.040261
15,T4d,1.532750,10.000000,-50.000000,1.025708,0.000000,40.000000,133.868195,-50.000000,0.000000,-47.850934,-47.768213
16,Tm1,1.532750,1.298104,-50.000000,0.344552,0.000000,40.000000,133.868195,-50.000000,0.000000,23.104312,22.907395
17,Tm2,1.532750,2.069714,-50.000000,0.382961,0.000000,40.000000,133.868195,-50.000000,0.000000,0.045730,0.089961
18,Tm4,1.532750,1.896593,-50.000000,0.577618,0.000000,40.000000,133.868195,-50.000000,0.000000,1.812903,1.199607
19,Tm9,1.532750,10.000000,-50.000000,0.724048,0.000000,40.000000,133.868195,-50.000000,0.000000,-55.985292,-56.192422
