idx,cell,in_gain,out_gain,out_scale,tau_lp,tau_hp,v_rest,hp_gain,in_gain
0,R1-6,1.688114,1.514535,0.966624,33.048745,10000.000000,-12.603930,1.000000,1.688114
1,R7,1.688114,4.558022,1.049545,14.739487,10000.000000,-8.162578,1.000000,1.688114
2,R8,1.688114,3.234437,0.951104,10.000000,9974.336124,-8.642087,1.000000,1.688114
3,L1,1.688114,2.395287,0.970129,47.797353,211.998655,0.599782,2.816761,1.688114
4,L2,1.688114,0.010000,1.000271,52.472336,209.514025,-1.540899,0.010000,1.688114
5,L3,1.688114,0.620714,1.413033,30.299675,10000.000000,-0.050490,1.000000,1.688114
6,L4,1.688114,1.000942,1.022181,48.400426,197.407538,-0.372374,1.019329,1.688114
7,L5,1.688114,0.467686,1.039786,51.279596,195.959486,-0.536379,1.261147,1.688114
8,Mi1,1.688114,0.289616,0.970979,52.528201,9990.008570,-0.384984,1.000000,1.688114
9,Mi4,1.688114,0.998417,1.029261,49.308212,10000.000000,-0.296661,1.000000,1.688114
10,Mi9,1.688114,0.716114,0.954167,48.024465,9992.100800,-0.588226,1.000000,1.688114
11,T1,1.688114,0.951649,0.998742,48.822573,9991.947641,-0.285667,1.000000,1.688114
12,T2,1.688114,0.565802,0.954487,48.589957,9993.633401,-0.420829,1.000000,1.688114
13,T2a,1.688114,0.827042,1.036969,47.582989,10000.000000,-0.393014,1.000000,1.688114
14,T3,1.688114,1.040000,0.965659,47.553968,10000.000000,0.122983,1.000000,1.688114
15,T4a,1.688114,0.497730,0.985973,49.424631,9996.412806,-0.159044,1.000000,1.688114
16,T4b,1.688114,0.980039,1.037495,49.918144,10000.000000,-0.218666,1.000000,1.688114
17,T4c,1.688114,1.018585,1.017641,47.609598,10000.000000,-0.019762,1.000000,1.688114
18,T4d,1.688114,0.970449,1.016371,48.747272,9992.505374,0.231424,1.000000,1.688114
19,T5a,1.688114,0.985506,0.988687,50.106091,9995.889183,-0.439311,1.000000,1.688114
20,T5b,1.688114,0.967578,0.975245,50.360757,10000.000000,0.283400,1.000000,1.688114
21,T5c,1.688114,1.012007,0.982610,48.562242,10000.000000,0.244716,1.000000,1.688114
22,T5d,1.688114,0.975804,1.008631,48.679264,9991.752630,0.318463,1.000000,1.688114
23,Tm1,1.688114,1.186991,1.004532,48.610303,9992.969842,1.163518,1.000000,1.688114
24,Tm2,1.688114,1.284740,0.974456,49.501245,9990.057746,0.676782,1.000000,1.688114
25,Tm20,1.688114,1.046455,0.961302,51.701445,10000.000000,-0.292934,1.000000,1.688114
26,Tm21,1.688114,0.973420,0.979410,50.676905,10000.000000,0.067224,1.000000,1.688114
27,Tm3,1.688114,0.952217,1.014100,48.841608,10000.000000,-0.262827,1.000000,1.688114
28,Tm4,1.688114,1.036677,1.032235,51.136181,9997.766335,-0.451848,1.000000,1.688114
29,Tm9,1.688114,1.009234,0.988427,51.673890,10000.000000,-0.356415,1.000000,1.688114
30,C2,1.688114,0.031921,1.035534,52.365300,9995.186991,-0.501771,1.000000,1.688114
31,C3,1.688114,0.427567,0.956520,48.794021,9999.999896,-0.567739,1.000000,1.688114
32,Lawf1,1.688114,0.527989,1.027945,51.086667,9999.997752,-0.608802,1.000000,1.688114
33,Lawf2,1.688114,0.981598,1.003994,51.495410,10000.000000,-0.070856,1.000000,1.688114
