,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Mi4,Mi9,T1,T2,T2a,T3,T4a,T4b,T4c,T4d,T5a,T5b,T5c,T5d,Tm1,Tm2,Tm20,Tm21,Tm3,Tm4,Tm9,C2,C3,Lawf1,Lawf2
R1-6,20.931660,,,1.745530,0.010000,1.162487,1.006616,,,,,1.032226,,,,,,,,,,,,,,,,,,,0.432062,0.980248,,
R7,,,2.085605,24.033463,,4.602073,,,1.336838,0.990864,0.975860,,,,,,,,,,,,,,,1.044513,,,,,,1.002489,1.018890,
R8,,4.306018,0.010000,10.613686,0.010000,2.045514,,0.477516,1.632398,1.037765,0.973896,1.048056,,,,,,,,,,,,,,1.043287,1.023742,,,,0.393392,0.952583,1.046621,1.038980
L1,0.010000,0.010000,7.047216,0.998213,2.259276,2.717354,1.034242,0.197245,0.169656,1.041196,,1.024919,1.010323,1.046388,,,,,,,,,,1.041212,0.981481,,,0.992887,,,0.027634,0.448058,,0.961969
L2,2.227670,,0.969003,2.067449,1.011683,0.010000,1.013267,1.747403,1.028681,0.971647,0.966496,1.016869,1.015446,1.040162,,,,,,,,,,0.018115,0.245133,0.990495,,1.021154,0.967116,,1.783913,1.150477,,
L3,,0.571337,1.167513,0.954258,0.975522,,,,1.054338,1.036279,0.953188,1.045618,,,,,,,,,,,,0.964003,1.044301,1.026476,1.002240,,0.961410,0.986063,1.039578,1.016572,1.007004,
L4,1.002546,,,0.989119,0.978944,0.960189,0.974592,0.975814,0.964622,,1.002022,,0.976564,,,,,,,,,,,1.026900,0.971935,,,,1.041241,1.007940,,0.954919,1.013154,0.969517
L5,,,,0.394108,1.864901,,,1.133057,0.373258,1.008312,1.043171,0.982757,0.961299,1.015459,,,,,,,,,,0.957500,1.011271,1.037120,1.042009,1.014381,1.021476,,0.458901,0.472348,0.956377,1.027168
Mi1,,0.488116,1.032283,0.181856,1.059297,,,0.458393,1.010114,1.037341,1.239185,0.977939,1.035708,0.949941,1.024708,0.947921,1.017049,1.030317,0.973247,,,,,0.978298,0.957789,0.964320,1.022000,1.040411,0.987162,,0.335908,0.456537,1.020945,1.022918
Mi4,,,,,0.995834,1.002392,,0.956276,0.972215,1.029959,1.024016,0.979487,,1.000810,,0.983552,0.957790,1.017793,0.974021,,,,,0.955118,1.031980,1.034795,,1.008731,0.952929,0.976304,1.018583,0.990316,1.028402,0.958962
Mi9,,,,,,0.666368,1.009464,,0.983748,0.989064,,,1.049360,0.969161,1.000881,0.983719,0.983127,1.040846,0.955655,,,,,0.987833,0.997649,1.016349,1.040131,1.044982,1.034950,0.990818,0.988243,,1.006938,0.979389
T1,1.013321,0.989334,1.030336,,0.965129,0.985312,,1.009843,,,0.955950,,,,,,,,,,,,,0.973949,0.971467,0.986257,,,0.966143,,,,,
