figure_panel,cell_type,object_width_deg,object_height_deg,dff_percent
2I,LPLC1,2.0,2.0,0.7
2I,LPLC1,4.5,2.0,5.2
2I,LPLC1,9.0,2.0,10.4
2I,LPLC1,15.0,2.0,5.2
2I,LPLC1,30.0,2.0,5.2
2I,LPLC1,45.0,2.0,5.2
2I,LPLC1,90.0,2.0,5.2
2I,LC17,2.0,90.0,0.7
2I,LC17,4.5,90.0,0.7
2I,LC17,9.0,90.0,0.7
2I,LC17,15.0,90.0,0.7
2I,LC17,30.0,90.0,0.7
2I,LC17,45.0,90.0,0.7
2I,LC17,90.0,90.0,0.7
2I,LC17,2.0,45.0,0.7
2I,LC17,4.5,45.0,0.7
2I,LC17,9.0,45.0,0.7
2I,LC17,15.0,45.0,0.7
2I,LC17,30.0,45.0,0.7
2I,LC17,45.0,45.0,0.7
2I,LC17,90.0,45.0,0.7
2I,LC17,2.0,30.0,0.7
2I,LC17,4.5,30.0,0.7
2I,LC17,9.0,30.0,0.7
2I,LC17,15.0,30.0,0.7
2I,LC17,30.0,30.0,0.7
2I,LC17,45.0,30.0,0.7
2I,LC17,90.0,30.0,0.7
2I,LC17,2.0,15.0,0.7
2I,LC17,4.5,15.0,0.7
2I,LC17,9.0,15.0,0.7
2I,LC17,15.0,15.0,0.7
2I,LC17,30.0,15.0,3.7
2I,LC17,45.0,15.0,6.0
2I,LC17,90.0,15.0,3.7
2I,LC17,2.0,9.0,1.5
2I,LC17,4.5,9.0,1.5
2I,LC17,9.0,9.0,0.7
2I,LC17,15.0,9.0,1.5
2I,LC17,30.0,9.0,6.0
2I,LC17,45.0,9.0,10.4
2I,LC17,90.0,9.0,12.7
2I,LC17,2.0,4.5,1.5
2I,LC17,4.5,4.5,3.7
2I,LC17,9.0,4.5,1.5
2I,LC17,15.0,4.5,6.0
2I,LC17,30.0,4.5,7.5
2I,LC17,45.0,4.5,12.7
2I,LC17,90.0,4.5,12.7
2I,LC17,2.0,2.0,0.7
2I,LC17,4.5,2.0,3.7
2I,LC17,9.0,2.0,3.7
2I,LC17,15.0,2.0,6.0
2I,LC17,30.0,2.0,6.0
2I,LC17,45.0,2.0,7.5
2I,LC17,90.0,2.0,10.4
2I,LC12,2.0,90.0,1.5
2I,LC12,4.5,90.0,1.5
2I,LC12,9.0,90.0,1.5
2I,LC12,15.0,90.0,1.5
2I,LC12,30.0,90.0,1.5
2I,LC12,45.0,90.0,1.5
2I,LC12,90.0,90.0,1.5
2I,LC12,2.0,45.0,10.4
2I,LC12,4.5,45.0,10.4
2I,LC12,9.0,45.0,10.4
2I,LC12,15.0,45.0,1.5
2I,LC12,30.0,45.0,10.4
2I,LC12,45.0,45.0,10.4
2I,LC12,90.0,45.0,10.4
2I,LC12,2.0,30.0,32.8
2I,LC12,4.5,30.0,32.8
2I,LC12,9.0,30.0,20.9
2I,LC12,15.0,30.0,32.8
2I,LC12,30.0,30.0,32.8
2I,LC12,45.0,30.0,32.8
2I,LC12,90.0,30.0,32.8
2I,LC12,2.0,15.0,54.5
2I,LC12,4.5,15.0,54.5
2I,LC12,9.0,15.0,54.5
2I,LC12,15.0,15.0,65.7
2I,LC12,30.0,15.0,65.7
2I,LC12,45.0,15.0,65.7
2I,LC12,90.0,15.0,54.5
2I,LC12,2.0,9.0,44.0
2I,LC12,4.5,9.0,65.7
2I,LC12,9.0,9.0,54.5
2I,LC12,15.0,9.0,54.5
2I,LC12,30.0,9.0,65.7
2I,LC12,45.0,9.0,54.5
2I,LC12,90.0,9.0,54.5
2I,LC12,2.0,4.5,32.8
2I,LC12,4.5,4.5,44.0
2I,LC12,9.0,4.5,54.5
2I,LC12,15.0,4.5,54.5
2I,LC12,30.0,4.5,54.5
2I,LC12,45.0,4.5,54.5
2I,LC12,90.0,4.5,44.0
2I,LC12,2.0,2.0,1.5
2I,LC12,4.5,2.0,32.8
2I,LC12,9.0,2.0,44.0
2I,LC12,15.0,2.0,44.0
2I,LC12,30.0,2.0,44.0
2I,LC12,45.0,2.0,44.0
2I,LC12,90.0,2.0,32.8
2J,LC18,2.0,90.0,9.7
2J,LC18,4.5,90.0,0.0
2J,LC18,9.0,90.0,0.0
2J,LC18,15.0,90.0,0.0
2J,LC18,30.0,90.0,0.0
2J,LC18,45.0,90.0,0.0
2J,LC18,90.0,90.0,0.0
2J,LC18,2.0,45.0,9.7
2J,LC18,4.5,45.0,0.0
2J,LC18,9.0,45.0,0.0
2J,LC18,15.0,45.0,0.0
2J,LC18,30.0,45.0,0.0
2J,LC18,45.0,45.0,0.0
2J,LC18,90.0,45.0,0.0
2J,LC18,2.0,30.0,32.8
2J,LC18,4.5,30.0,0.0
2J,LC18,9.0,30.0,0.0
2J,LC18,15.0,30.0,0.0
2J,LC18,30.0,30.0,0.0
2J,LC18,45.0,30.0,0.0
2J,LC18,90.0,30.0,0.0
2J,LC18,2.0,15.0,56.0
2J,LC18,4.5,15.0,9.7
2J,LC18,9.0,15.0,0.0
2J,LC18,15.0,15.0,0.0
2J,LC18,30.0,15.0,0.0
2J,LC18,45.0,15.0,0.0
2J,LC18,90.0,15.0,0.0
2J,LC18,2.0,9.0,67.2
2J,LC18,4.5,9.0,21.6
2J,LC18,9.0,9.0,0.0
2J,LC18,15.0,9.0,0.0
2J,LC18,30.0,9.0,0.0
2J,LC18,45.0,9.0,0.0
2J,LC18,90.0,9.0,0.0
2J,LC18,2.0,4.5,87.3
2J,LC18,4.5,4.5,44.0
2J,LC18,9.0,4.5,0.0
2J,LC18,15.0,4.5,0.0
2J,LC18,30.0,4.5,0.0
2J,LC18,45.0,4.5,0.0
2J,LC18,90.0,4.5,0.0
2J,LC18,2.0,2.0,32.8
2J,LC18,4.5,2.0,78.4
2J,LC18,9.0,2.0,32.8
2J,LC18,15.0,2.0,9.7
2J,LC18,30.0,2.0,9.7
2J,LC18,45.0,2.0,9.7
2J,LC18,90.0,2.0,9.7
2J,LC21,2.0,90.0,56.0
2J,LC21,4.5,90.0,32.8
2J,LC21,9.0,90.0,0.0
2J,LC21,15.0,90.0,0.0
2J,LC21,30.0,90.0,0.0
2J,LC21,45.0,90.0,0.0
2J,LC21,90.0,90.0,0.0
2J,LC21,2.0,45.0,67.2
2J,LC21,4.5,45.0,44.0
2J,LC21,9.0,45.0,0.0
2J,LC21,15.0,45.0,0.0
2J,LC21,30.0,45.0,0.0
2J,LC21,45.0,45.0,0.0
2J,LC21,90.0,45.0,0.0
2J,LC21,2.0,30.0,78.4
2J,LC21,4.5,30.0,32.8
2J,LC21,9.0,30.0,0.0
2J,LC21,15.0,30.0,0.0
2J,LC21,30.0,30.0,0.0
2J,LC21,45.0,30.0,0.0
2J,LC21,90.0,30.0,0.0
2J,LC21,2.0,15.0,78.4
2J,LC21,4.5,15.0,44.0
2J,LC21,9.0,15.0,0.0
2J,LC21,15.0,15.0,0.0
2J,LC21,30.0,15.0,0.0
2J,LC21,45.0,15.0,0.0
2J,LC21,90.0,15.0,0.0
2J,LC21,2.0,9.0,78.7
2J,LC21,4.5,9.0,55.2
2J,LC21,9.0,9.0,0.0
2J,LC21,15.0,9.0,0.0
2J,LC21,30.0,9.0,0.0
2J,LC21,45.0,9.0,0.0
2J,LC21,90.0,9.0,9.7
2J,LC21,2.0,4.5,99.3
2J,LC21,4.5,4.5,78.4
2J,LC21,9.0,4.5,44.0
2J,LC21,15.0,4.5,21.6
2J,LC21,30.0,4.5,44.0
2J,LC21,45.0,4.5,56.0
2J,LC21,90.0,4.5,44.0
2J,LC21,2.0,2.0,44.0
2J,LC21,4.5,2.0,99.3
2J,LC21,9.0,2.0,90.3
2J,LC21,15.0,2.0,90.3
2J,LC21,30.0,2.0,99.3
2J,LC21,45.0,2.0,99.3
2J,LC21,90.0,2.0,90.3
2J,LC11,2.0,90.0,0.0
2J,LC11,4.5,90.0,0.0
2J,LC11,9.0,90.0,0.0
2J,LC11,15.0,90.0,0.0
2J,LC11,30.0,90.0,0.0
2J,LC11,45.0,90.0,0.0
2J,LC11,90.0,90.0,0.0
2J,LC11,2.0,45.0,0.0
2J,LC11,4.5,45.0,0.0
2J,LC11,9.0,45.0,0.0
2J,LC11,15.0,45.0,0.0
2J,LC11,30.0,45.0,0.0
2J,LC11,45.0,45.0,0.0
2J,LC11,90.0,45.0,0.0
2J,LC11,2.0,30.0,3.7
2J,LC11,4.5,30.0,9.7
2J,LC11,9.0,30.0,0.0
2J,LC11,15.0,30.0,0.0
2J,LC11,30.0,30.0,0.0
2J,LC11,45.0,30.0,0.0
2J,LC11,90.0,30.0,0.0
2J,LC11,2.0,15.0,44.0
2J,LC11,4.5,15.0,56.0
2J,LC11,9.0,15.0,9.7
2J,LC11,15.0,15.0,0.0
2J,LC11,30.0,15.0,0.0
2J,LC11,45.0,15.0,9.7
2J,LC11,90.0,15.0,9.7
2J,LC11,2.0,9.0,78.4
2J,LC11,4.5,9.0,78.4
2J,LC11,9.0,9.0,32.8
2J,LC11,15.0,9.0,21.6
2J,LC11,30.0,9.0,32.8
2J,LC11,45.0,9.0,32.8
2J,LC11,90.0,9.0,32.8
2J,LC11,2.0,4.5,78.4
2J,LC11,4.5,4.5,90.3
2J,LC11,9.0,4.5,78.4
2J,LC11,15.0,4.5,44.0
2J,LC11,30.0,4.5,56.0
2J,LC11,45.0,4.5,56.0
2J,LC11,90.0,4.5,56.0
2J,LC11,2.0,2.0,21.6
2J,LC11,4.5,2.0,78.4
2J,LC11,9.0,2.0,78.4
2J,LC11,15.0,2.0,56.0
2J,LC11,30.0,2.0,44.0
2J,LC11,45.0,2.0,44.0
2J,LC11,90.0,2.0,44.0
2J,LC25,2.0,90.0,78.4
2J,LC25,4.5,90.0,90.3
2J,LC25,9.0,90.0,44.0
2J,LC25,15.0,90.0,0.0
2J,LC25,30.0,90.0,0.0
2J,LC25,45.0,90.0,0.0
2J,LC25,90.0,90.0,0.0
2J,LC25,2.0,45.0,90.3
2J,LC25,4.5,45.0,99.3
2J,LC25,9.0,45.0,56.0
2J,LC25,15.0,45.0,0.0
2J,LC25,30.0,45.0,0.0
2J,LC25,45.0,45.0,0.0
2J,LC25,90.0,45.0,0.0
2J,LC25,2.0,30.0,99.3
2J,LC25,4.5,30.0,99.3
2J,LC25,9.0,30.0,56.0
2J,LC25,15.0,30.0,9.7
2J,LC25,30.0,30.0,0.0
2J,LC25,45.0,30.0,0.0
2J,LC25,90.0,30.0,0.0
2J,LC25,2.0,15.0,78.4
2J,LC25,4.5,15.0,67.2
2J,LC25,9.0,15.0,44.0
2J,LC25,15.0,15.0,21.6
2J,LC25,30.0,15.0,0.0
2J,LC25,45.0,15.0,9.7
2J,LC25,90.0,15.0,0.0
2J,LC25,2.0,9.0,67.2
2J,LC25,4.5,9.0,56.0
2J,LC25,9.0,9.0,32.8
2J,LC25,15.0,9.0,21.6
2J,LC25,30.0,9.0,21.6
2J,LC25,45.0,9.0,21.6
2J,LC25,90.0,9.0,9.7
2J,LC25,2.0,4.5,44.0
2J,LC25,4.5,4.5,56.0
2J,LC25,9.0,4.5,44.0
2J,LC25,15.0,4.5,32.8
2J,LC25,30.0,4.5,21.6
2J,LC25,45.0,4.5,21.6
2J,LC25,90.0,4.5,9.7
2J,LC25,2.0,2.0,4.9
2J,LC25,4.5,2.0,44.0
2J,LC25,9.0,2.0,56.0
2J,LC25,15.0,2.0,32.8
2J,LC25,30.0,2.0,32.8
2J,LC25,45.0,2.0,21.6
2J,LC25,90.0,2.0,21.6
2J,LC15,2.0,90.0,78.4
2J,LC15,4.5,90.0,78.4
2J,LC15,9.0,90.0,44.0
2J,LC15,15.0,90.0,0.0
2J,LC15,30.0,90.0,0.0
2J,LC15,45.0,90.0,0.0
2J,LC15,90.0,90.0,0.0
2J,LC15,2.0,45.0,90.3
2J,LC15,4.5,45.0,78.4
2J,LC15,9.0,45.0,44.0
2J,LC15,15.0,45.0,0.0
2J,LC15,30.0,45.0,0.0
2J,LC15,45.0,45.0,0.0
2J,LC15,90.0,45.0,0.0
2J,LC15,2.0,30.0,78.4
2J,LC15,4.5,30.0,67.2
2J,LC15,9.0,30.0,32.8
2J,LC15,15.0,30.0,0.0
2J,LC15,30.0,30.0,0.0
2J,LC15,45.0,30.0,0.0
2J,LC15,90.0,30.0,0.0
2J,LC15,2.0,15.0,32.8
2J,LC15,4.5,15.0,21.6
2J,LC15,9.0,15.0,0.0
2J,LC15,15.0,15.0,0.0
2J,LC15,30.0,15.0,0.0
2J,LC15,45.0,15.0,0.0
2J,LC15,90.0,15.0,0.0
2J,LC15,2.0,9.0,9.7
2J,LC15,4.5,9.0,0.0
2J,LC15,9.0,9.0,0.0
2J,LC15,15.0,9.0,0.0
2J,LC15,30.0,9.0,0.0
2J,LC15,45.0,9.0,0.0
2J,LC15,90.0,9.0,9.7
2J,LC15,2.0,4.5,0.0
2J,LC15,4.5,4.5,0.0
2J,LC15,9.0,4.5,0.0
2J,LC15,15.0,4.5,9.7
2J,LC15,30.0,4.5,44.0
2J,LC15,45.0,4.5,56.0
2J,LC15,90.0,4.5,67.2
2J,LC15,2.0,2.0,0.0
2J,LC15,4.5,2.0,0.0
2J,LC15,9.0,2.0,9.7
2J,LC15,15.0,2.0,32.8
2J,LC15,30.0,2.0,67.2
2J,LC15,45.0,2.0,78.4
2J,LC15,90.0,2.0,78.4
