idx,cell,a_gt,bias_gt,a_in,a_out,e_leak,v_th,v_th_ca,a_ca,tau_ca,tau_lp,tau_hp,a_h,v_pre,v_onset,v_spot_end,delta_v
0,R1-6,1.000832,0.000000,2.193314,1.999843,-7.152494,-100.000000,-50.000000,0.952285,50.080765,10.000000,235.421097,0.000000,108.785393,108.787872,110.007027,1.219154
1,R7,1.015198,0.000000,2.193314,3.353155,-25.989517,-100.000000,-50.000000,0.973651,50.080765,10.000000,235.421097,0.000000,90.133873,90.140137,91.452980,1.312843
2,R8,0.959237,0.000000,2.193314,2.496354,-14.839735,-100.000000,-50.000000,1.003703,50.080765,10.000000,235.421097,0.000000,101.816895,101.821480,103.137520,1.316040
3,L1,2.000000,0.000000,2.193314,1.492490,0.118950,-100.000000,-50.000000,1.028084,50.080765,10.000000,235.421097,0.880377,70.936806,70.911758,69.339516,-1.572243
4,L2,2.000000,0.000000,2.193314,3.119126,0.199050,-100.000000,-50.000000,0.974059,50.080765,10.000000,235.421097,0.898207,66.316925,66.286911,64.753532,-1.533379
5,L3,0.515177,0.000000,2.193314,1.635911,10.444889,-100.000000,-50.000000,1.019282,50.080765,10.000000,235.421097,0.000000,95.596977,95.536057,95.008881,-0.527176
6,L4,1.050147,0.000000,2.193314,0.631928,-3.063568,-100.000000,-50.000000,0.963884,50.080765,10.000000,235.421097,0.565136,114.344391,114.310707,113.521645,-0.789062
7,L5,1.942640,0.000000,2.193314,1.198775,1.249815,-100.000000,-50.000000,1.041763,50.080765,10.000000,235.421097,0.525130,71.696899,71.729317,72.755989,1.026672
8,Mi1,1.304235,0.000000,2.193314,2.133053,0.748042,-100.000000,-50.000000,1.022110,50.080765,10.000000,235.421097,0.000000,92.170677,92.228226,92.981354,0.753128
9,Tm3,0.500000,0.000000,2.193314,1.908441,8.214768,-100.000000,-50.000000,0.960347,50.080765,10.000000,235.421097,0.000000,91.947617,92.005455,92.616051,0.610596
10,Mi4,0.896868,0.000000,2.193314,1.799884,-6.528764,-100.000000,-50.000000,0.968570,50.080765,10.000000,235.421097,0.000000,94.959999,95.031548,95.572113,0.540565
11,Mi9,0.501442,0.000000,2.193314,2.594342,-4.640387,-100.000000,-50.000000,1.027960,50.080765,10.000000,235.421097,0.000000,109.529831,109.446869,108.861458,-0.585411
12,T4a,1.003206,0.000000,2.193314,2.449239,-2.707139,-100.000000,-50.000000,0.991831,50.080765,10.000000,235.421097,0.000000,206.992432,207.305023,209.454498,2.149475
13,T4b,1.009139,0.000000,2.193314,5.319192,3.945336,-100.000000,-50.000000,1.043439,50.080765,10.000000,235.421097,0.000000,96.995483,96.979401,96.848900,-0.130501
14,T4c,0.963654,0.000000,2.193314,4.155151,4.813116,-100.000000,-50.000000,0.992382,50.080765,10.000000,235.421097,0.000000,94.659645,94.657104,94.647644,-0.009460
15,T4d,1.047188,0.000000,2.193314,4.727323,4.842604,-100.000000,-50.000000,1.043882,50.080765,10.000000,235.421097,0.000000,123.514275,123.597633,124.205444,0.607811
16,Tm1,1.040071,0.000000,2.193314,0.802907,-1.120841,-100.000000,-50.000000,0.982527,50.080765,10.000000,235.421097,0.000000,116.278061,116.209122,115.471863,-0.737259
17,Tm2,0.536899,0.000000,2.193314,2.496605,-1.394684,-100.000000,-50.000000,0.977470,50.080765,10.000000,235.421097,0.000000,89.533157,89.524574,89.302666,-0.221909
18,Tm4,0.500000,0.000000,2.193314,4.064634,-9.507771,-100.000000,-50.000000,0.966428,50.080765,10.000000,235.421097,0.000000,108.080254,108.035835,107.467651,-0.568184
19,Tm9,0.500000,0.000000,2.193314,7.160848,-3.079665,-100.000000,-50.000000,0.967132,50.080765,10.000000,235.421097,0.000000,98.104012,98.019791,97.434044,-0.585747
20,T5a,0.971898,0.000000,2.193314,4.322014,-7.904067,-100.000000,-50.000000,0.961618,50.080765,10.000000,235.421097,0.000000,242.902603,242.894104,242.634445,-0.259659
21,T5b,1.009720,0.000000,2.193314,9.883010,8.216567,-100.000000,-50.000000,1.043537,50.080765,10.000000,235.421097,0.000000,398.766266,398.689606,397.866638,-0.822968
22,T5c,0.969664,0.000000,2.193314,5.303306,6.036640,-100.000000,-50.000000,0.988612,50.080765,10.000000,235.421097,0.000000,257.496918,257.454376,257.003174,-0.451202
23,T5d,1.038046,0.000000,2.193314,9.903681,1.158793,-100.000000,-50.000000,0.962305,50.080765,10.000000,235.421097,0.000000,84.332161,84.384964,84.694626,0.309662
24,T1,1.005998,0.000000,2.193314,0.732177,-2.173445,-100.000000,-50.000000,1.049683,50.080765,10.000000,235.421097,0.000000,119.727165,119.781425,119.858902,0.077477
25,T2,1.003928,0.000000,2.193314,1.961192,-7.015307,-100.000000,-50.000000,1.000005,50.080765,10.000000,235.421097,0.000000,195.317825,195.544708,197.447235,1.902527
26,T2a,0.959566,0.000000,2.193314,2.628856,-4.946217,-100.000000,-50.000000,1.013348,50.080765,10.000000,235.421097,0.000000,236.319870,236.403671,237.106918,0.703247
27,T3,0.991736,0.000000,2.193314,2.473709,-4.088918,-100.000000,-50.000000,1.022450,50.080765,10.000000,235.421097,0.000000,345.392548,345.320709,344.556824,-0.763885
28,C2,0.970629,0.000000,2.193314,1.258810,-3.790768,-100.000000,-50.000000,1.034102,50.080765,10.000000,235.421097,0.000000,185.288651,185.377472,186.063690,0.686218
29,C3,1.018107,0.000000,2.193314,1.055974,-1.023070,-100.000000,-50.000000,1.007888,50.080765,10.000000,235.421097,0.000000,170.286880,170.344894,170.702118,0.357224
30,Lawf1,0.999534,0.000000,2.193314,2.247089,-4.385948,-100.000000,-50.000000,1.029567,50.080765,10.000000,235.421097,0.000000,176.659790,176.451721,174.966263,-1.485458
31,Lawf2,1.039143,0.000000,2.193314,0.903957,-2.159557,-100.000000,-50.000000,0.975697,50.080765,10.000000,235.421097,0.000000,104.961441,104.967567,105.029892,0.062325
32,Dm3v,1.024906,0.000000,2.193314,2.534923,-1.143388,-100.000000,-50.000000,0.991878,50.080765,10.000000,235.421097,0.000000,181.340195,181.366943,181.433487,0.066544
33,Lai,0.984592,0.000000,2.193314,3.734550,3.421974,-100.000000,-50.000000,0.970543,50.080765,10.000000,235.421097,0.000000,49.266197,49.228619,48.701145,-0.527473
34,Mi10,0.966427,0.000000,2.193314,3.090254,-0.898939,-100.000000,-50.000000,0.958629,50.080765,10.000000,235.421097,0.000000,6.557031,6.561146,6.596780,0.035634
35,Mi13,1.049563,0.000000,2.193314,0.693956,-4.112626,-100.000000,-50.000000,1.038118,50.080765,10.000000,235.421097,0.000000,149.833176,149.798477,149.335587,-0.462891
36,Mi14,1.037738,0.000000,2.193314,1.827916,-1.393728,-100.000000,-50.000000,0.991861,50.080765,10.000000,235.421097,0.000000,167.118088,167.104248,167.003677,-0.100571
37,Mi15,1.016897,0.000000,2.193314,5.790638,5.471900,-100.000000,-50.000000,1.003313,50.080765,10.000000,235.421097,0.000000,113.234100,113.242401,113.301025,0.058624
38,Mi2,0.967652,0.000000,2.193314,5.643389,6.115843,-100.000000,-50.000000,0.966351,50.080765,10.000000,235.421097,0.000000,149.928909,149.924835,149.913177,-0.011658
39,Tm16,0.968347,0.000000,2.193314,5.135480,1.672986,-100.000000,-50.000000,0.959427,50.080765,10.000000,235.421097,0.000000,22.101170,22.038393,21.536339,-0.502054
40,Tm20,0.952143,0.000000,2.193314,2.365162,-4.607061,-100.000000,-50.000000,1.043490,50.080765,10.000000,235.421097,0.000000,75.691757,75.682198,75.286003,-0.396194
41,Tm21,1.027283,0.000000,2.193314,5.384795,-5.896431,-100.000000,-50.000000,1.031515,50.080765,10.000000,235.421097,0.000000,372.402252,382.742126,522.220154,139.478027
42,Tm27,1.017509,0.000000,2.193314,0.825783,-3.713308,-100.000000,-50.000000,1.028065,50.080765,10.000000,235.421097,0.000000,185.714844,185.889465,187.186356,1.296890
43,Tm5a,1.046502,0.000000,2.193314,7.761240,13.953306,-100.000000,-50.000000,1.034095,50.080765,10.000000,235.421097,0.000000,96.526154,96.471420,95.807144,-0.664276
44,Tm5b,1.046443,0.000000,2.193314,7.343580,-0.102268,-100.000000,-50.000000,0.958681,50.080765,10.000000,235.421097,0.000000,67.778542,67.805962,67.969460,0.163498
45,Tm5c,1.011795,0.000000,2.193314,2.297838,-4.532250,-100.000000,-50.000000,1.029575,50.080765,10.000000,235.421097,0.000000,120.447990,120.419128,120.209023,-0.210106
46,Tm5f,0.956088,0.000000,2.193314,5.079299,5.295322,-100.000000,-50.000000,1.040364,50.080765,10.000000,235.421097,0.000000,173.870071,173.855728,173.623611,-0.232117
47,TmY10,1.026568,0.000000,2.193314,1.997599,-0.294314,-100.000000,-50.000000,1.043236,50.080765,10.000000,235.421097,0.000000,118.690987,118.715424,118.813835,0.098412
48,TmY11,1.033024,0.000000,2.193314,5.369482,-0.958822,-100.000000,-50.000000,0.988759,50.080765,10.000000,235.421097,0.000000,9.006737,8.957341,8.671645,-0.285696
49,TmY14,1.046592,0.000000,2.193314,4.280829,-3.925105,-100.000000,-50.000000,1.018193,50.080765,10.000000,235.421097,0.000000,33.292397,33.488300,35.088306,1.600006
