cell_idx,cell,a_gt,bias_gt,a_in,a_out,e_leak,v_th,tau_lp,tau_hp_rise,tau_hp_fall,a_h,v_pre,v_onset,v_sti_end,delta_v
0,R1-6,0.951432,19.199348,1.027463,0.953635,-0.287788,-50.000000,9.805902,209.226318,191.839676,0.025125,19.114613,19.199348,21.425724,2.226376
1,R7,1.003080,18.523075,1.027463,1.000559,0.363109,-50.000000,9.601409,194.711960,208.466858,0.001034,18.454796,18.523075,20.719591,2.196516
2,R8,0.993544,19.925293,1.027463,1.039345,0.375312,-50.000000,10.120256,193.622513,193.764114,-0.004887,19.844355,19.925293,22.110722,2.185429
3,L1,0.962456,-5.738324,1.027463,1.041795,0.371955,-50.000000,10.499791,197.451355,203.029388,0.468139,-5.657757,-5.738324,-6.110289,-0.371965
4,L2,1.041092,-9.911251,1.027463,1.028252,0.115174,-50.000000,9.712044,197.494690,192.551346,0.494746,-9.807835,-9.911251,-10.329106,-0.417855
5,L3,1.006481,-8.153455,1.027463,1.016992,-0.484244,-50.000000,10.267162,198.812897,202.308609,0.044775,-8.076165,-8.153455,-8.424275,-0.270821
6,L4,0.984518,0.482712,1.027463,0.976873,0.211069,-50.000000,10.868959,190.933380,197.081696,0.463513,0.486135,0.482712,0.473961,-0.008752
7,L5,0.977897,-1.271040,1.027463,0.959394,-0.104099,-50.000000,9.529543,209.220047,198.165588,0.509768,-1.272446,-1.271040,-1.255541,0.015499
8,Mi1,1.020286,-4.827099,1.027463,0.963530,-0.423815,-50.000000,10.349914,198.504639,195.013260,0.023216,-4.834209,-4.827099,-4.801064,0.026035
9,Tm3,0.965691,1.629229,1.027463,1.012654,-0.019753,-50.000000,10.300238,204.864090,193.158951,-0.022511,1.600168,1.629229,1.677981,0.048752
10,Mi4,1.042076,1.218308,1.027463,0.963938,-0.185088,-50.000000,10.150415,209.725586,190.794037,-0.006681,1.226918,1.218308,1.163186,-0.055122
11,Mi9,1.021006,2.559517,1.027463,1.000816,-0.049391,-50.000000,10.095313,195.700699,202.010544,0.016387,2.577390,2.559517,2.520334,-0.039183
12,T4a,0.975228,1.959906,1.027463,0.965834,-0.164280,-50.000000,10.125939,193.685898,192.144501,0.032735,1.954164,1.959906,1.964332,0.004426
13,T4b,1.015725,1.725609,1.027463,0.967234,-0.165865,-50.000000,10.248831,192.548172,198.261246,-0.012824,1.720357,1.725609,1.730057,0.004448
14,T4c,0.989343,1.990417,1.027463,0.965016,-0.279480,-50.000000,9.861339,195.902069,197.675552,-0.014861,1.983605,1.990417,1.994830,0.004412
15,T4d,1.024859,2.396550,1.027463,0.954905,0.334679,-50.000000,10.160779,195.289337,206.772110,-0.043582,2.390203,2.396550,2.400596,0.004046
16,Tm1,0.974149,6.541087,1.027463,1.022678,0.163345,-50.000000,10.269273,205.887054,193.570572,0.037207,6.598059,6.541087,6.415487,-0.125600
17,Tm2,1.015236,6.908232,1.027463,0.988462,-0.368488,-50.000000,10.932915,194.665192,203.208435,0.031131,6.938559,6.908232,6.813344,-0.094889
18,Tm4,0.953216,3.198524,1.027463,1.015016,-0.404388,-50.000000,9.281457,196.001633,207.376984,0.008385,3.222805,3.198524,3.139397,-0.059127
19,Tm9,0.980848,0.351303,1.027463,0.957824,-0.102735,-50.000000,9.020308,208.982513,205.692368,-0.049863,0.360221,0.351303,0.339962,-0.011341
20,T5a,0.999547,4.127231,1.027463,1.048008,-0.462863,-50.000000,10.931321,194.771255,193.169891,-0.007305,4.108296,4.127231,4.124130,-0.003101
21,T5b,1.027849,3.902716,1.027463,0.981983,-0.200066,-50.000000,9.048964,200.832413,206.240631,0.007670,3.884658,3.902716,3.899272,-0.003444
22,T5c,0.950446,4.369313,1.027463,1.023227,-0.086492,-50.000000,10.822194,193.743790,199.932312,-0.004412,4.350670,4.369313,4.366453,-0.002861
23,T5d,0.969412,4.165305,1.027463,0.981067,0.355748,-50.000000,10.334393,190.681335,193.429520,0.033025,4.150037,4.165305,4.161944,-0.003361
24,T1,0.974471,0.801051,1.027463,1.024568,-0.088851,-50.000000,10.124577,200.934708,190.576263,-0.031475,0.848595,0.801051,0.704166,-0.096885
25,T2,1.009636,7.677891,1.027463,0.969885,0.229432,-50.000000,10.073386,199.484772,202.694275,0.016275,7.641344,7.677891,7.681053,0.003162
26,T2a,1.006395,5.989255,1.027463,1.015961,0.117522,-50.000000,10.808300,203.903809,201.191071,0.040314,5.969723,5.989255,5.985558,-0.003698
27,T3,0.968399,8.528041,1.027463,0.979014,-0.167663,-50.000000,10.404715,196.218552,193.344315,-0.006300,8.495187,8.528041,8.526321,-0.001719
28,C2,0.997389,0.230720,1.027463,1.045824,0.154950,-50.000000,9.002004,201.075699,206.983170,-0.028652,0.217133,0.230720,0.256622,0.025902
29,C3,1.011376,-1.373682,1.027463,0.988536,0.248255,-50.000000,10.361298,190.794647,201.343613,-0.003106,-1.389554,-1.373682,-1.327915,0.045767
30,Lawf1,1.013307,7.155279,1.027463,0.974876,-0.380027,-50.000000,10.851637,208.499695,190.596497,0.025583,7.133463,7.155279,7.159187,0.003909
31,Lawf2,1.010535,2.150595,1.027463,1.007712,0.491474,-50.000000,9.682907,195.055344,200.508621,0.023625,2.144455,2.150595,2.146858,-0.003737
32,Dm3v,0.960440,3.507918,1.027463,1.048455,0.199161,-50.000000,9.331235,194.782104,191.876846,-0.033092,3.495874,3.507918,3.500672,-0.007246
33,Lai,0.984258,-20.886566,1.027463,0.969331,-0.336687,-50.000000,9.543085,205.945404,194.955582,0.007910,-20.638008,-20.886566,-21.788084,-0.901518
34,Mi10,1.002607,-1.902237,1.027463,0.955160,-0.035760,-50.000000,10.481646,191.783478,190.671097,0.029598,-1.892992,-1.902237,-1.902932,-0.000695
35,Mi13,1.004132,0.570162,1.027463,0.980098,0.328991,-50.000000,10.240046,199.170013,199.789291,0.018786,0.572138,0.570162,0.567707,-0.002455
36,Mi14,1.022085,5.650517,1.027463,0.978520,0.429305,-50.000000,9.754560,191.651932,190.519455,-0.018703,5.625587,5.650517,5.652517,0.001999
37,Mi15,0.989540,-2.348502,1.027463,0.967162,-0.113038,-50.000000,9.797852,205.660202,204.574005,-0.019482,-2.328948,-2.348502,-2.400323,-0.051821
38,Mi2,0.958229,2.626559,1.027463,1.004110,0.432772,-50.000000,9.987186,190.783661,209.010468,0.047241,2.621301,2.626559,2.623740,-0.002819
39,Tm16,0.969824,-5.423111,1.027463,0.979866,-0.142535,-50.000000,9.125325,202.446396,197.365509,-0.023003,-5.398202,-5.423111,-5.421258,0.001853
40,Tm20,0.962286,1.312032,1.027463,0.994644,0.156051,-50.000000,9.686919,200.753510,193.112152,0.017741,1.331480,1.312032,1.246450,-0.065583
41,Tm21,0.983099,4.371907,1.027463,1.025895,0.457629,-50.000000,10.629919,190.466171,209.607635,0.038167,4.356120,4.371907,4.369245,-0.002662
42,Tm27,1.004649,1.623198,1.027463,1.009798,-0.142656,-50.000000,9.010936,203.015457,205.257462,0.035583,1.618104,1.623198,1.626360,0.003162
43,Tm5a,1.009094,-1.029791,1.027463,1.021403,0.489973,-50.000000,9.475158,208.721603,194.151779,-0.037373,-1.013916,-1.029791,-1.101098,-0.071307
44,Tm5b,0.971828,-1.643839,1.027463,1.041896,0.260480,-50.000000,10.469973,199.530197,196.186584,0.018775,-1.627842,-1.643839,-1.688083,-0.044244
45,Tm5c,1.002157,1.201248,1.027463,1.033131,-0.227587,-50.000000,9.268822,195.951538,197.020798,-0.030504,1.212517,1.201248,1.143967,-0.057281
46,Tm5f,0.968080,1.818049,1.027463,0.990321,-0.019717,-50.000000,9.574486,207.643982,208.963226,-0.010441,1.811094,1.818049,1.816650,-0.001399
47,TmY10,1.042695,-0.053462,1.027463,0.976819,0.196679,-50.000000,10.030066,200.244553,193.387817,-0.040096,-0.047260,-0.053462,-0.058968,-0.005506
48,TmY11,1.002484,-10.527637,1.027463,1.013075,-0.359447,-50.000000,9.097898,201.002716,208.272232,0.028545,-10.483512,-10.527637,-10.520914,0.006722
49,TmY14,1.039757,11.441997,1.027463,1.010355,0.076097,-50.000000,9.334206,204.170105,198.649185,0.029101,11.393061,11.441997,11.445807,0.003810
50,TmY15,0.951805,12.443850,1.027463,1.002923,0.006401,-50.000000,9.185541,205.369812,190.802582,-0.006845,12.386567,12.443850,12.449923,0.006073
51,TmY3,1.015131,6.546352,1.027463,1.003361,-0.472540,-50.000000,9.142820,191.202591,190.767715,0.005952,6.520575,6.546352,6.544973,-0.001379
52,TmY4,1.045670,1.687721,1.027463,1.006400,0.053625,-50.000000,9.321480,197.749802,209.485123,-0.023886,1.683339,1.687721,1.683952,-0.003769
53,TmY5a,1.049830,6.018612,1.027463,0.957208,-0.408667,-50.000000,10.844043,199.349533,204.669449,0.025122,5.985125,6.018612,6.025202,0.006590
54,TmY9q,1.029757,3.398103,1.027463,1.015525,0.082871,-50.000000,10.503542,195.529312,196.932098,-0.017792,3.385669,3.398103,3.394537,-0.003566
55,TmY9q__perp,1.027617,3.562677,1.027463,0.979615,0.268306,-50.000000,9.493263,190.384232,193.676544,0.005692,3.549468,3.562677,3.559504,-0.003174
