,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Mi4,Mi9,T1,T2,T2a,T3,T4a,T4b,T4c,T4d,T5a,T5b,T5c,T5d,Tm1,Tm2,Tm20,Tm21,Tm3,Tm4,Tm9,C2,C3
R1-6,3.449833,,,5.000000,5.000000,5.000000,3.610349,,,,,2.168919,,,,,,,,,,,,,,,,,,,0.984170,2.257814
R7,,,0.500000,5.000000,,5.000000,,,0.500000,0.500000,5.000000,,,,,,,,,,,,,,,5.000000,,,,,,0.500000
R8,,0.500000,0.933815,5.000000,5.000000,5.000000,,0.500000,0.500000,0.500000,5.000000,5.000000,,,,,,,,,,,,,,5.000000,1.033659,,,,0.951375,1.029483
L1,0.500000,0.500000,0.500000,0.500000,0.500000,0.505795,0.500000,3.461994,3.732584,5.000000,,5.000000,1.035314,0.500000,,,,,,,,,,4.201852,0.500000,,,5.000000,,,0.500000,1.505470
L2,1.112664,,0.500000,1.160277,2.085174,5.000000,5.000000,0.500000,0.500000,0.500000,5.000000,0.500000,0.955074,0.974742,,,,,,,,,,1.987600,1.148987,5.000000,,0.500000,5.000000,,1.005205,1.515020
L3,,0.500000,0.500000,0.500000,0.538632,,,,2.564205,1.669615,4.953064,0.500000,,,,,,,,,,,,5.000000,0.500000,5.000000,1.045415,,0.500000,5.000000,1.024004,0.500000
L4,3.246676,,,3.416300,0.739536,5.000000,3.036404,2.231615,1.695524,,5.000000,,0.500000,,,,,,,,,,,0.500000,0.500000,,,,5.000000,5.000000,,0.500000
L5,,,,0.500000,0.500000,,,1.726900,2.628009,5.000000,0.500000,4.081230,0.500000,0.500000,,,,,,,,,,0.500000,0.500000,0.500000,3.322804,5.000000,0.500000,,0.500000,0.500000
Mi1,,0.749352,0.504387,1.118004,5.000000,,,0.500000,5.000000,3.366593,0.728422,5.000000,1.021040,0.500000,0.841488,4.064719,0.988406,2.049383,0.950216,,,,,0.500000,4.773599,0.935031,2.480105,4.244940,5.000000,,0.500000,0.500000
Mi4,,,,,0.500000,3.570963,,3.548869,0.500000,1.179581,2.385146,4.615980,,0.500000,,0.500000,0.971866,0.500000,0.952858,,,,,0.500000,0.500000,3.105089,,4.426159,1.007733,5.000000,0.962729,0.919289
