cell_idx,cell,a_gt,bias_gt,a_in,a_out,e_leak,v_th,v_th_ca,a_ca,tau_ca,tau_lp,tau_hp,a_h,v_pre,v_onset,v_spot_end,delta_v,v_ca_pre,v_ca_onset,v_ca_spot_end,delta_v_ca,ca_pre,ca_onset,ca_spot_end,delta_ca
0,R1-6,0.982019,50.000000,2.252955,1.524433,-4.708949,-100.000000,-100.000000,0.995423,347.650848,10.000000,226.395126,0.000000,17.075197,17.142241,22.066835,4.924595,116.539337,116.606064,121.508133,4.902069,116.539337,116.540543,116.778374,0.237831
1,R7,1.017968,34.940857,2.252955,5.217885,-9.623397,-100.000000,-100.000000,1.022559,351.134125,10.000000,226.395126,0.000000,-68.795044,-69.915321,-68.802277,1.113045,34.953533,34.198948,35.595512,1.396564,34.953533,34.940857,34.985680,0.044823
2,R8,1.006117,50.000000,2.252955,3.161766,-11.091067,-100.000000,-100.000000,1.035523,348.538635,10.000000,226.395126,0.000000,0.333544,0.872369,6.091290,5.218921,103.897682,104.455635,109.859955,5.404320,103.897682,103.907036,104.196991,0.289955
3,L1,2.000000,50.000000,2.252955,1.970693,-19.179520,-100.000000,-100.000000,0.982219,351.809601,10.000000,226.395126,0.996961,-20.335926,-20.513813,-31.941725,-11.427912,78.247581,78.072853,66.848152,-11.224701,78.247581,78.245499,77.843216,-0.402283
4,L2,2.000000,50.000000,2.252955,2.203908,-19.380104,-100.000000,-100.000000,1.031131,351.286896,10.000000,226.395126,0.996515,-20.392269,-20.448744,-28.891964,-8.443220,82.085960,82.027733,73.321671,-8.706062,82.085960,82.085228,81.785690,-0.299538
5,L3,2.000000,50.000000,2.252955,0.620512,-1.738397,-100.000000,-100.000000,0.963961,352.147156,10.000000,226.395126,0.000000,-3.922568,-3.862812,-4.260471,-0.397660,92.614853,92.672462,92.289139,-0.383324,92.614853,92.615875,92.611275,-0.004601
6,L4,0.875026,50.000000,2.252955,0.286595,-1.884684,-100.000000,-100.000000,1.026928,349.436920,10.000000,226.395126,0.987205,-1.334779,-1.341208,-4.260385,-2.919177,101.322083,101.315460,98.317688,-2.997772,101.322083,101.322029,101.246796,-0.075233
7,L5,2.000000,50.000000,2.252955,1.770324,-16.645168,-100.000000,-100.000000,1.031572,350.343292,10.000000,226.395126,0.909217,-24.151871,-24.111698,-16.651011,7.460688,78.242790,78.284225,85.980469,7.696243,78.242790,78.243042,78.445358,0.202316
8,Mi1,2.000000,50.000000,2.252955,1.642353,-10.220945,-100.000000,-100.000000,1.035383,351.190308,10.000000,226.395126,0.000000,-28.927485,-28.940863,-25.190655,3.750208,73.587273,73.573425,77.456322,3.882896,73.587273,73.586838,73.680115,0.093277
9,Tm3,2.000000,50.000000,2.252955,4.606262,2.036873,-100.000000,-100.000000,0.991139,352.423553,10.000000,226.395126,0.000000,-4.049996,-4.112185,0.617872,4.730056,95.099792,95.038147,99.726295,4.688148,95.099792,95.098511,95.204361,0.105850
10,Mi4,2.000000,50.000000,2.252955,0.835344,-5.414616,-100.000000,-100.000000,1.023317,348.677612,10.000000,226.395126,0.000000,-3.025628,-3.051109,-2.691596,0.359513,99.235565,99.209480,99.577370,0.367889,99.235565,99.235039,99.239571,0.004532
11,Mi9,2.000000,50.000000,2.252955,0.416976,-22.325077,-100.000000,-100.000000,0.964772,351.643372,10.000000,226.395126,0.000000,-16.532036,-16.587683,-17.208368,-0.620686,80.527534,80.473839,79.875023,-0.598816,80.527534,80.526711,80.511391,-0.015320
12,T4a,1.031147,50.000000,2.252955,3.248194,-1.829868,-100.000000,-100.000000,1.049454,348.660675,10.000000,226.395126,0.000000,31.077087,30.397419,31.664410,1.266991,155.076599,155.384491,157.451950,2.067459,155.076599,155.081955,155.146713,0.064758
13,T4b,0.969011,50.000000,2.252955,0.519063,-1.348864,-100.000000,-100.000000,1.002993,348.738770,10.000000,226.395126,0.000000,29.305733,29.290558,30.114065,0.823507,129.692795,129.677567,130.503540,0.825974,129.692795,129.692535,129.706863,0.014328
14,T4c,0.961334,50.000000,2.252955,1.143160,-8.686810,-100.000000,-100.000000,1.007502,351.740570,10.000000,226.395126,0.000000,-30.032635,-31.222645,-31.445217,-0.222572,93.302498,93.321655,94.071991,0.750336,93.302498,93.302818,93.318695,0.015877
15,T4d,1.007576,50.000000,2.252955,10.000000,14.903571,-100.000000,-100.000000,1.023691,348.878998,10.000000,226.395126,0.000000,-19.957794,-20.740215,-21.357899,-0.617683,95.598366,95.580994,95.609009,0.028015,95.598366,95.598045,95.597237,-0.000809
