idx,cell,a_in,a_out,v_th,e_leak,a_gt,bias_gt,a_h,h_v_mid,h_slope,tau_h_v,v_pre,v_onset
0,R1-6,1.548513,1.468351,-49.670364,-50.000000,1.004800,0.000000,0.500000,-48.217423,-0.331076,-50.028480,-26.760257,-26.760083
1,R7,1.548513,1.468830,-50.683467,-50.000000,0.980896,0.000000,0.500000,-48.217423,-0.331076,-50.028480,-29.629927,-29.629880
2,R8,1.548513,0.578920,-49.622426,-50.000000,0.958526,0.000000,0.500000,-48.217423,-0.331076,-50.028480,-30.991515,-30.992524
3,L1,1.548513,1.701851,-49.697280,-20.000000,0.285065,0.000000,0.325537,-48.217423,-0.331076,-50.028480,-41.307934,-41.296518
4,L2,1.548513,1.080202,-50.255045,-20.000000,0.391584,0.000000,0.773466,-48.217423,-0.331076,-50.028480,-40.609117,-40.611628
5,L3,1.548513,1.739504,-49.777273,-50.000000,1.533474,0.000000,0.500000,-48.217423,-0.331076,-50.028480,-34.508227,-34.558626
6,L4,1.548513,0.222121,-50.125332,-50.000000,0.306822,0.000000,0.664706,-48.217423,-0.331076,-50.028480,-28.221852,-28.223074
7,L5,1.548513,0.416448,-49.754980,-50.000000,0.690627,0.000000,1.000000,-48.217423,-0.331076,-50.028480,-34.264734,-34.249471
8,Mi1,1.548513,1.798353,-49.751196,-50.000000,0.981930,0.000000,0.500000,-48.217423,-0.331076,-50.028480,-35.175610,-35.154786
9,Tm3,1.548513,0.918892,-49.836896,-50.000000,0.368951,0.000000,0.500000,-48.217423,-0.331076,-50.028480,-23.223504,-23.002945
10,Mi4,1.548513,0.334769,-49.236728,-50.000000,1.546209,0.000000,0.500000,-48.217423,-0.331076,-50.028480,-36.863707,-36.902889
11,Mi9,1.548513,1.732453,-49.726774,-50.000000,1.075449,0.000000,0.500000,-48.217423,-0.331076,-50.028480,-6.264517,-6.162663
12,T4a,1.548513,0.270544,-50.122989,-50.000000,1.012972,0.000000,0.500000,-48.217423,-0.331076,-50.028480,-22.769017,-22.674374
13,T4b,1.548513,0.594910,-49.444273,-50.000000,0.959701,0.000000,0.500000,-48.217423,-0.331076,-50.028480,-31.157233,-31.151531
14,T4c,1.548513,0.691854,-49.390561,-50.000000,1.019456,0.000000,0.500000,-48.217423,-0.331076,-50.028480,-28.937628,-28.920354
15,T4d,1.548513,0.870740,-50.144372,-50.000000,1.004758,0.000000,0.500000,-48.217423,-0.331076,-50.028480,-14.687784,-14.592631
16,Tm1,1.548513,0.198740,-49.914294,-50.000000,1.272798,0.000000,0.500000,-48.217423,-0.331076,-50.028480,-20.899842,-21.034634
17,Tm2,1.548513,0.504497,-50.699076,-50.000000,1.001913,0.000000,0.500000,-48.217423,-0.331076,-50.028480,-22.444639,-22.549625
18,Tm4,1.548513,1.011906,-50.049673,-50.000000,0.564526,0.000000,0.500000,-48.217423,-0.331076,-50.028480,-26.695252,-26.768915
19,Tm9,1.548513,0.731002,-49.801711,-50.000000,0.329998,0.000000,0.500000,-48.217423,-0.331076,-50.028480,-10.934578,-10.861316
20,T5a,1.548513,0.893283,-50.213405,-50.000000,0.992859,0.000000,0.500000,-48.217423,-0.331076,-50.028480,-13.693323,-13.622388
21,T5b,1.548513,1.241488,-50.399408,-50.000000,0.954936,0.000000,0.500000,-48.217423,-0.331076,-50.028480,-9.086934,-8.972994
22,T5c,1.548513,0.845098,-50.190143,-50.000000,1.031038,0.000000,0.500000,-48.217423,-0.331076,-50.028480,-12.295220,-12.188623
23,T5d,1.548513,0.886629,-50.049168,-50.000000,1.039769,0.000000,0.500000,-48.217423,-0.331076,-50.028480,-13.508516,-13.418878
24,T1,1.548513,0.535621,-50.248585,-50.000000,0.978012,0.000000,0.500000,-48.217423,-0.331076,-50.028480,-35.027917,-35.065318
25,T2,1.548513,1.778152,-50.689785,-50.000000,1.023597,0.000000,0.500000,-48.217423,-0.331076,-50.028480,-1.409126,-1.180119
26,T2a,1.548513,0.848895,-50.037843,-50.000000,0.957201,0.000000,0.500000,-48.217423,-0.331076,-50.028480,-3.744177,-3.562471
27,T3,1.548513,0.415199,-49.380171,-50.000000,0.995712,0.000000,0.500000,-48.217423,-0.331076,-50.028480,-0.188497,0.054321
28,C2,1.548513,0.211058,-49.555307,-50.000000,0.988644,0.000000,0.500000,-48.217423,-0.331076,-50.028480,-32.364691,-32.343081
29,C3,1.548513,0.660618,-50.081906,-50.000000,1.016368,0.000000,0.500000,-48.217423,-0.331076,-50.028480,-30.618336,-30.591869
30,Lawf1,1.548513,1.856112,-50.246727,-50.000000,1.019088,0.000000,0.500000,-48.217423,-0.331076,-50.028480,-24.880801,-24.979156
31,Lawf2,1.548513,1.519135,-50.542152,-50.000000,1.003355,0.000000,0.500000,-48.217423,-0.331076,-50.028480,-11.643997,-11.469810
32,Dm3v,1.548513,1.294532,-50.367670,-50.000000,1.000143,0.000000,0.500000,-48.217423,-0.331076,-50.028480,-21.708807,-21.712717
33,Lai,1.548513,0.560819,-50.140906,-50.000000,1.017574,0.000000,0.500000,-48.217423,-0.331076,-50.028480,-35.339211,-35.134724
34,Mi10,1.548513,1.333916,-49.353212,-50.000000,0.995091,0.000000,0.500000,-48.217423,-0.331076,-50.028480,-40.726836,-40.779130
35,Mi13,1.548513,0.595532,-49.487656,-50.000000,0.972672,0.000000,0.500000,-48.217423,-0.331076,-50.028480,-28.969225,-28.971896
36,Mi14,1.548513,0.957812,-49.826438,-50.000000,0.991899,0.000000,0.500000,-48.217423,-0.331076,-50.028480,-5.525658,-5.326445
37,Mi15,1.548513,0.340344,-49.906098,-50.000000,0.952946,0.000000,0.500000,-48.217423,-0.331076,-50.028480,-35.885988,-35.906180
38,Mi2,1.548513,0.697753,-49.597110,-50.000000,1.029713,0.000000,0.500000,-48.217423,-0.331076,-50.028480,-22.548589,-22.515022
39,Tm16,1.548513,0.898125,-50.077115,-50.000000,0.972021,0.000000,0.500000,-48.217423,-0.331076,-50.028480,-34.667166,-34.666950
40,Tm20,1.548513,1.548634,-49.699501,-50.000000,1.046769,0.000000,0.500000,-48.217423,-0.331076,-50.028480,-12.461060,-12.391726
