,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Mi4,Mi9,T1,T2,T2a,T3,T4a,T4b,T4c,T4d,T5a,T5b,T5c,T5d,Tm1,Tm2,Tm20,Tm21,Tm3,Tm4,Tm9,C2,C3
R1-6,0.500000,,,5.000000,5.000000,5.000000,5.000000,,,,,5.000000,,,,,,,,,,,,,,,,,,,3.662279,0.500000
R7,,,0.500000,5.000000,,5.000000,,,0.500000,0.500000,5.000000,,,,,,,,,,,,,,,1.000379,,,,,,0.500000
R8,,0.500000,0.500000,5.000000,0.500000,5.000000,,0.500000,0.500000,0.500000,0.992718,0.500000,,,,,,,,,,,,,,2.921914,1.753405,,,,1.026151,0.500000
L1,0.500000,2.479854,2.961834,0.500000,1.071042,0.500000,0.500000,3.407875,1.659302,0.500000,,5.000000,0.500000,0.689059,,,,,,,,,,0.500000,1.749741,,,5.000000,,,5.000000,2.168043
L2,0.542417,,1.283515,2.080225,1.935369,5.000000,4.802455,0.500000,0.500000,0.500000,0.836728,0.500000,0.500000,0.983618,,,,,,,,,,0.937001,1.402951,0.500000,,0.500000,5.000000,,0.500000,0.500000
L3,,0.500000,0.500000,3.380512,2.777409,,,,0.500000,0.990665,0.500000,0.500000,,,,,,,,,,,,0.500000,5.000000,0.500000,0.996325,,5.000000,5.000000,5.000000,0.874011
L4,1.533498,,,0.500000,0.980619,5.000000,0.500000,1.030145,0.500000,,3.709919,,0.569789,,,,,,,,,,,0.500000,0.747497,,,,3.188966,5.000000,,0.500000
L5,,,,0.500000,0.500000,,,5.000000,5.000000,5.000000,0.500000,5.000000,5.000000,5.000000,,,,,,,,,,0.500000,0.500000,1.245725,5.000000,5.000000,0.500000,,0.500000,0.500000
Mi1,,0.500000,5.000000,0.500000,2.073427,,,5.000000,5.000000,5.000000,0.500000,5.000000,5.000000,5.000000,5.000000,5.000000,0.500000,5.000000,4.460605,,,,,0.500000,0.500000,0.535703,5.000000,5.000000,0.500000,,0.500000,1.965796
Mi4,,,,,1.742516,5.000000,,5.000000,0.500000,3.909270,2.549433,0.500000,,1.012274,,0.500000,0.500000,0.500000,4.929436,,,,,4.240924,0.502770,2.352348,,0.500000,0.500000,5.000000,0.995597,0.500000
Mi9,,,,,,0.500000,2.125029,,5.000000,5.000000,,,4.268002,5.000000,0.500000,0.736460,5.000000,0.500000,5.000000,,,,,0.500000,5.000000,1.235925,5.000000,4.711740,5.000000,0.500000,1.009873,
T1,0.763146,5.000000,0.500000,,0.500000,5.000000,,0.500000,,,5.000000,,,,,,,,,,,,,3.050686,0.500000,0.500000,,,0.500000,,,
T2,,,,,,,,5.000000,5.000000,,1.398952,,5.000000,0.969964,0.500000,,,,,,,,,0.500000,0.500000,,5.000000,0.578243,0.500000,,,
T2a,,,,,,,,,5.000000,,,,5.000000,5.000000,5.000000,,,,,,,,,0.500000,,0.500000,0.966239,5.000000,0.500000,,0.993220,
T3,,,,,,,,,,,,,0.500000,1.033096,1.031348,,,,0.976200,,,,,0.500000,,,0.826129,5.000000,,,,2.161412
T4a,,,,,,,,,,,4.855694,,,,,5.000000,1.043501,0.953337,0.993847,1.021364,,,,,,,,,,,,5.000000
T4b,,,,,,,,,0.500000,5.000000,5.000000,,,,,0.500000,0.500000,,0.955551,,0.500000,,,,,,,,,,,
