,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Mi4,Mi9,T1,T2,T2a,T3,T4a,T4b,T4c,T4d,T5a,T5b,T5c,T5d,Tm1,Tm2,Tm20,Tm21,Tm3,Tm4,Tm9,C2,C3,Lawf1,Lawf2
R1-6,0.777103,,,1.262314,1.949628,1.697183,1.903070,,,,,1.719333,,,,,,,,,,,,,,,,,,,1.186139,0.234495,,
R7,,,1.446258,2.459139,,1.708053,,,0.100000,0.401588,0.100000,,,,,,,,,,,,,,,1.747964,,,,,,0.100000,1.011341,
R8,,0.748919,0.100000,2.051377,1.500513,1.811957,,1.162025,0.100000,0.944369,0.749991,1.663218,,,,,,,,,,,,,,1.789867,2.431795,,,,0.521454,1.171308,1.780130,0.100000
L1,0.449117,1.672525,0.441603,0.116348,1.794744,1.694357,1.701287,0.897850,1.912474,0.962729,,1.866408,1.704372,2.259386,,,,,,,,,,2.090067,1.743815,,,1.931375,,,0.748095,0.509190,,0.840927
L2,1.682440,,1.566599,0.339826,0.224590,0.361910,0.329942,1.263132,0.100000,1.342159,0.983737,0.243722,0.100000,1.039666,,,,,,,,,,0.166467,0.237366,0.271485,,0.191308,0.424474,,1.106282,1.640723,,
L3,,1.698042,1.542210,0.100000,0.176485,,,,0.109791,1.585781,0.135212,0.383277,,,,,,,,,,,,1.294894,0.978088,0.111056,0.966897,,0.911184,0.121090,1.832685,1.807525,0.158104,
L4,1.696591,,,0.295429,0.199188,0.274756,0.199436,0.100000,0.100000,,0.860097,,0.100000,,,,,,,,,,,0.430940,0.284737,,,,0.100000,0.864886,,1.244828,0.257291,0.100000
L5,,,,0.661677,0.162769,,,0.320539,0.828762,0.861716,0.446107,0.552126,0.100000,0.685627,,,,,,,,,,0.433713,0.434090,0.250740,1.596275,0.109640,0.100000,,1.526463,0.730761,0.100000,0.132644
Mi1,,0.191474,0.321735,1.051297,0.351636,,,1.519834,0.238603,1.646372,0.307840,0.436242,0.100087,0.100000,0.100308,0.100306,0.383071,0.422626,0.100001,,,,,0.163803,0.391887,0.329587,0.555724,0.101253,1.558736,,1.187957,1.698058,0.336577,1.724598
Mi4,,,,,1.762731,0.377351,,1.893932,3.372774,1.818719,1.088624,1.823562,,2.220850,,0.871864,1.660079,1.238723,1.461216,,,,,2.242162,1.611774,1.733245,,2.348306,1.392357,0.100000,1.236222,1.859815,1.577375,1.431830
