idx,ctype,in_gain,out_gain,out_scale,Ih_gmax,Ih_gmax_off,Ih_midv,Ih_slope,tau_midv,Ih_midv_off,Ih_slope_off,tau_midv_off
0,C2,1.000000,0.775224,0.964602,0.000000,0.000000,-37.464386,-0.215895,-44.384083,-49.216618,-0.298252,-42.503284
1,C3,1.000000,1.815273,1.045143,0.000000,0.000000,-37.464386,-0.215895,-44.384083,-49.216618,-0.298252,-42.503284
2,L1,1.000000,3.163156,7.483451,53.753895,44.068329,-37.464386,-0.215895,-44.384083,-49.216618,-0.298252,-42.503284
3,L2,1.000000,2.591900,9.028158,51.508202,42.656799,-37.464386,-0.215895,-44.384083,-49.216618,-0.298252,-42.503284
4,L3,1.000000,0.928753,1.383924,0.000000,0.000000,-37.464386,-0.215895,-44.384083,-49.216618,-0.298252,-42.503284
5,L4,1.000000,1.812079,13.904572,49.910568,46.112251,-37.464386,-0.215895,-44.384083,-49.216618,-0.298252,-42.503284
6,L5,1.000000,2.329064,15.518685,56.589664,39.466690,-37.464386,-0.215895,-44.384083,-49.216618,-0.298252,-42.503284
7,Mi1,1.000000,1.042336,2.053259,0.000000,0.000000,-37.464386,-0.215895,-44.384083,-49.216618,-0.298252,-42.503284
8,Mi4,1.000000,0.881925,3.763607,0.000000,0.000000,-37.464386,-0.215895,-44.384083,-49.216618,-0.298252,-42.503284
9,Mi9,1.000000,2.344015,3.174654,0.000000,0.000000,-37.464386,-0.215895,-44.384083,-49.216618,-0.298252,-42.503284
10,R1-6,1.000000,1.102220,0.592495,0.000000,0.000000,-37.464386,-0.215895,-44.384083,-49.216618,-0.298252,-42.503284
11,R7,1.000000,0.971255,0.650168,0.000000,0.000000,-37.464386,-0.215895,-44.384083,-49.216618,-0.298252,-42.503284
12,R8,1.000000,1.092239,0.626356,0.000000,0.000000,-37.464386,-0.215895,-44.384083,-49.216618,-0.298252,-42.503284
13,T1,1.000000,0.529754,1.035594,0.000000,0.000000,-37.464386,-0.215895,-44.384083,-49.216618,-0.298252,-42.503284
14,T2,1.000000,0.561781,1.013285,0.000000,0.000000,-37.464386,-0.215895,-44.384083,-49.216618,-0.298252,-42.503284
15,T2a,1.000000,0.426633,1.035762,0.000000,0.000000,-37.464386,-0.215895,-44.384083,-49.216618,-0.298252,-42.503284
16,T3,1.000000,0.429344,1.017440,0.000000,0.000000,-37.464386,-0.215895,-44.384083,-49.216618,-0.298252,-42.503284
17,T4a,1.000000,0.794002,3.206981,0.000000,0.000000,-37.464386,-0.215895,-44.384083,-49.216618,-0.298252,-42.503284
18,T4b,1.000000,0.261146,2.852209,0.000000,0.000000,-37.464386,-0.215895,-44.384083,-49.216618,-0.298252,-42.503284
19,T4c,1.000000,0.474773,3.333578,0.000000,0.000000,-37.464386,-0.215895,-44.384083,-49.216618,-0.298252,-42.503284
20,T4d,1.000000,0.741030,2.840459,0.000000,0.000000,-37.464386,-0.215895,-44.384083,-49.216618,-0.298252,-42.503284
21,T5a,1.000000,0.372304,4.363917,0.000000,0.000000,-37.464386,-0.215895,-44.384083,-49.216618,-0.298252,-42.503284
22,T5b,1.000000,0.199004,4.400846,0.000000,0.000000,-37.464386,-0.215895,-44.384083,-49.216618,-0.298252,-42.503284
23,T5c,1.000000,0.370923,5.000342,0.000000,0.000000,-37.464386,-0.215895,-44.384083,-49.216618,-0.298252,-42.503284
24,T5d,1.000000,1.216924,4.716126,0.000000,0.000000,-37.464386,-0.215895,-44.384083,-49.216618,-0.298252,-42.503284
25,Tm1,1.000000,1.039073,3.049935,0.000000,0.000000,-37.464386,-0.215895,-44.384083,-49.216618,-0.298252,-42.503284
26,Tm2,1.000000,0.962483,2.114782,0.000000,0.000000,-37.464386,-0.215895,-44.384083,-49.216618,-0.298252,-42.503284
27,Tm20,1.000000,1.430288,1.030189,0.000000,0.000000,-37.464386,-0.215895,-44.384083,-49.216618,-0.298252,-42.503284
28,Tm21,1.000000,2.263433,1.047346,0.000000,0.000000,-37.464386,-0.215895,-44.384083,-49.216618,-0.298252,-42.503284
29,Tm3,1.000000,2.366343,2.823589,0.000000,0.000000,-37.464386,-0.215895,-44.384083,-49.216618,-0.298252,-42.503284
30,Tm4,1.000000,2.538861,5.798064,0.000000,0.000000,-37.464386,-0.215895,-44.384083,-49.216618,-0.298252,-42.503284
31,Tm9,1.000000,0.565847,2.238685,0.000000,0.000000,-37.464386,-0.215895,-44.384083,-49.216618,-0.298252,-42.503284
