idx,cell,a_gt,bias_gt,a_in,a_out,e_leak,v_th,tau_lp,tau_hp,a_h,v_pre,v_onset,v_spot_end,delta_v
0,R1-6,0.966498,0.000000,2.761417,2.480542,-45.656972,-50.000000,10.000000,251.326911,0.000000,-24.958332,-24.927313,-20.909093,4.018220
1,R7,0.969993,0.000000,2.761417,6.192916,-39.896204,-50.000000,10.000000,251.326911,0.000000,-26.380293,-26.420815,-23.599099,2.821717
2,R8,1.020641,0.000000,2.761417,3.284772,-50.000000,-50.000000,10.000000,251.326911,0.000000,-34.312004,-34.272871,-30.257769,4.015102
3,L1,3.485379,0.000000,2.761417,1.092427,-5.170244,-50.000000,10.000000,251.326911,0.885864,-15.038223,-15.204514,-27.310082,-12.105568
4,L2,2.540500,0.000000,2.761417,2.215357,-3.638096,-50.000000,10.000000,251.326911,0.818907,-16.101214,-16.285297,-26.014586,-9.729289
5,L3,0.805677,0.000000,2.761417,0.405725,-10.242795,-50.000000,10.000000,251.326911,0.000000,-3.027099,-1.816346,1.791715,3.608061
6,L4,0.545111,0.000000,2.761417,4.628297,-48.431367,-50.000000,10.000000,251.326911,0.862879,-47.241712,-47.276555,-49.770195,-2.493640
7,L5,1.449038,0.000000,2.761417,1.713352,-44.494589,-50.000000,10.000000,251.326911,1.000000,-44.494589,-44.492846,-40.307011,4.185835
8,Mi1,0.681635,0.000000,2.761417,4.058692,-33.729945,-50.000000,10.000000,251.326911,0.000000,-41.186251,-41.112594,-38.789756,2.322838
9,Tm3,0.555677,0.000000,2.761417,2.888163,-38.526038,-50.000000,10.000000,251.326911,0.000000,-37.443979,-37.336412,-29.932435,7.403977
10,Mi4,1.405523,0.000000,2.761417,1.214337,-38.248213,-50.000000,10.000000,251.326911,0.000000,-10.066220,-9.921204,-8.540615,1.380589
11,Mi9,0.853676,0.000000,2.761417,5.087229,-35.490545,-50.000000,10.000000,251.326911,0.000000,-30.853625,-30.714324,-31.577836,-0.863512
12,T4a,1.023540,0.000000,2.761417,4.368178,-44.396209,-50.000000,10.000000,251.326911,0.000000,-34.032633,-33.818186,-28.706192,5.111994
13,T4b,1.018339,0.000000,2.761417,10.000000,-36.916703,-50.000000,10.000000,251.326911,0.000000,-65.632503,-65.714881,-63.612140,2.102741
14,T4c,1.019252,0.000000,2.761417,6.677423,-32.636600,-50.000000,10.000000,251.326911,0.000000,-34.449704,-34.384544,-30.878496,3.506048
15,T4d,0.959724,0.000000,2.761417,10.000000,-33.316073,-50.000000,10.000000,251.326911,0.000000,-4.785280,-4.100382,3.559333,7.659715
16,Tm1,1.353650,0.000000,2.761417,1.073752,-46.733425,-50.000000,10.000000,251.326911,0.000000,-26.714144,-27.057597,-32.980529,-5.922932
17,Tm2,1.009389,0.000000,2.761417,2.929783,-33.334437,-50.000000,10.000000,251.326911,0.000000,-24.300758,-24.627740,-29.181239,-4.553499
18,Tm4,0.843027,0.000000,2.761417,1.324354,-33.142970,-50.000000,10.000000,251.326911,0.000000,-9.311315,-9.763888,-16.827161,-7.063273
19,Tm9,0.315622,0.000000,2.761417,9.998441,-29.360027,-50.000000,10.000000,251.326911,0.000000,-33.315154,-33.353572,-33.969463,-0.615892
20,T5a,0.996693,0.000000,2.761417,6.714584,-26.378157,-50.000000,10.000000,251.326911,0.000000,-12.924707,-13.420303,-17.972303,-4.552000
21,T5b,0.993812,0.000000,2.761417,5.203920,-40.935906,-50.000000,10.000000,251.326911,0.000000,38.520865,37.980153,27.886904,-10.093248
22,T5c,0.969659,0.000000,2.761417,4.257104,-38.612868,-50.000000,10.000000,251.326911,0.000000,41.573728,41.087109,36.795104,-4.292005
23,T5d,1.044329,0.000000,2.761417,9.365185,-36.192068,-50.000000,10.000000,251.326911,0.000000,-29.487611,-29.794457,-35.049227,-5.254771
24,T1,0.968296,0.000000,2.761417,3.239336,-36.315431,-50.000000,10.000000,251.326911,0.000000,-36.821971,-36.637048,-37.194569,-0.557521
