idx,ctype,in_gain,out_gain,out_scale,tau_lp,tau_hp,bias,hp_gain
0,R1-6,1.000000,2.615897,0.957734,10.000000,10000.000000,-1.522963,3.196885
1,R7,1.000000,14.470532,0.982085,21.209521,10000.000000,-4.005305,4.979938
2,R8,1.000000,8.483910,1.024173,36.597821,10000.000000,-2.142253,4.475128
3,L1,1.000000,2.230275,3.749074,66.174174,277.222184,1.443967,3.673810
4,L2,1.000000,0.927467,3.822900,70.297351,265.672910,-2.643555,3.288340
5,L3,1.000000,1.481358,3.085374,100.000000,10000.000000,-0.597415,3.036169
6,L4,1.000000,0.931477,0.100000,51.403301,199.353821,-0.036378,0.000000
7,L5,1.000000,2.614108,2.819174,10.000000,181.108368,-0.064434,3.260400
8,Mi1,1.000000,1.303563,3.168587,28.710190,10000.000000,5.169170,1.580917
9,Mi4,1.000000,3.167745,0.989078,46.049258,10000.000000,2.684524,2.716384
10,Mi9,1.000000,5.353608,0.902152,69.852211,10000.000000,3.441000,4.065867
11,T1,1.000000,1.611291,0.978527,48.480441,10000.000000,-2.340303,0.000000
12,T2,1.000000,0.100000,1.032147,54.360608,10000.000000,-1.585359,0.000000
13,T2a,1.000000,3.807114,1.035640,83.189130,10000.000000,-7.212742,2.706755
14,T3,1.000000,0.100000,0.954646,45.490166,10000.000000,-0.608265,0.000000
15,T4a,1.000000,3.692083,1.021810,60.759051,10000.000000,-3.569037,4.324356
16,T4b,1.000000,1.627988,1.006732,44.562682,10000.000000,-0.185136,2.112080
17,T4c,1.000000,2.633599,0.998601,66.607971,10000.000000,-1.805330,3.205394
18,T4d,1.000000,0.773317,1.038281,50.032457,10000.000000,-0.802318,0.520441
19,T5a,1.000000,0.664999,0.958553,47.506817,10000.000000,-0.279994,0.862523
20,T5b,1.000000,0.872628,0.994742,49.497466,10000.000000,-1.283268,0.760344
21,T5c,1.000000,1.226903,1.002920,50.505282,10000.000000,-0.590730,1.102819
22,T5d,1.000000,0.990622,0.962146,46.197258,10000.000000,-0.999995,0.379825
23,Tm1,1.000000,0.939611,22.203042,10.000000,10000.000000,10.780298,0.364677
24,Tm2,1.000000,2.223699,0.100000,10.000000,10000.000000,3.118929,0.361321
25,Tm20,1.000000,2.802426,0.969969,65.358328,10000.000000,0.967776,4.444472
26,Tm21,1.000000,0.100000,0.989344,55.115512,10000.000000,-0.997571,0.133458
27,Tm3,1.000000,1.141020,3.216181,10.000000,10000.000000,-0.372162,3.133105
28,Tm4,1.000000,0.100000,3.515810,10.000000,10000.000000,-2.939772,3.167974
29,Tm9,1.000000,0.901225,6.136267,92.617663,10000.000000,2.158766,3.104480
30,C2,1.000000,0.305546,1.014670,45.515626,10000.000000,-0.563950,0.000000
31,C3,1.000000,2.108203,1.027973,10.000000,10000.000000,1.602671,3.780717
