idx,ctype,inp_gain,out_gain,Ih_gmax,Ih_gmax_off,out_scale,Ih_midv,Ih_slope,tau_midv
0,R1,11.218371,1.633401,0.000000,0.000000,1.000000,-49.211684,-0.210860,-57.506926
1,R2,10.697625,2.067125,0.000000,0.000000,1.000000,-49.211684,-0.210860,-57.506926
2,R3,8.281268,1.746885,0.000000,0.000000,1.000000,-49.211684,-0.210860,-57.506926
3,R4,0.256198,1.191016,0.000000,0.000000,1.000000,-49.211684,-0.210860,-57.506926
4,R5,1.752861,1.413570,0.000000,0.000000,1.000000,-49.211684,-0.210860,-57.506926
5,R6,3.417612,0.958594,0.000000,0.000000,1.000000,-49.211684,-0.210860,-57.506926
6,R7,0.116556,2.994779,0.000000,0.000000,1.000000,-49.211684,-0.210860,-57.506926
7,R8,3.420641,2.128149,0.000000,0.000000,1.000000,-49.211684,-0.210860,-57.506926
8,L1,6.673929,0.100000,50.739008,51.619358,5.945933,-49.211684,-0.210860,-57.506926
9,L2,6.153894,4.117747,52.841871,46.480603,5.390497,-49.211684,-0.210860,-57.506926
10,L3,0.321981,1.489520,0.000000,0.000000,1.787652,-49.211684,-0.210860,-57.506926
11,L4,1.067096,1.240999,0.000000,0.528755,3.247382,-49.211684,-0.210860,-57.506926
12,L5,3.443281,0.663534,49.559743,47.069279,0.000000,-49.211684,-0.210860,-57.506926
13,Lawf1,0.100000,0.100000,0.000000,0.000000,1.000000,-49.211684,-0.210860,-57.506926
14,Lawf2,1.708851,1.785664,0.000000,0.000000,1.000000,-49.211684,-0.210860,-57.506926
15,Am,0.103966,1.498850,0.000000,0.000000,1.000000,-49.211684,-0.210860,-57.506926
16,C2,0.100000,0.100000,0.000000,0.000000,1.000000,-49.211684,-0.210860,-57.506926
17,C3,0.410698,0.428030,0.000000,0.000000,1.000000,-49.211684,-0.210860,-57.506926
18,CT1(Lo1),2.180560,2.653336,0.000000,0.000000,1.000000,-49.211684,-0.210860,-57.506926
19,CT1(M10),4.311171,1.531093,0.000000,0.000000,1.000000,-49.211684,-0.210860,-57.506926
20,Mi1,4.083140,5.583755,0.000000,0.000000,11.226644,-49.211684,-0.210860,-57.506926
21,Mi2,4.403689,1.724161,0.000000,0.000000,1.000000,-49.211684,-0.210860,-57.506926
22,Mi3,1.315509,1.248293,0.000000,0.000000,1.000000,-49.211684,-0.210860,-57.506926
23,Mi4,1.568393,1.077907,0.000000,0.000000,2.265441,-49.211684,-0.210860,-57.506926
24,Mi9,1.709819,0.454276,0.000000,0.000000,1.559108,-49.211684,-0.210860,-57.506926
25,Mi10,2.098530,6.125589,0.000000,0.000000,1.000000,-49.211684,-0.210860,-57.506926
26,Mi11,0.542198,0.537202,0.000000,0.000000,1.000000,-49.211684,-0.210860,-57.506926
27,Mi12,2.616178,2.374374,0.000000,0.000000,1.000000,-49.211684,-0.210860,-57.506926
28,Mi13,2.051824,1.676205,0.000000,0.000000,1.000000,-49.211684,-0.210860,-57.506926
29,Mi14,0.731140,2.288640,0.000000,0.000000,1.000000,-49.211684,-0.210860,-57.506926
30,Mi15,4.214167,6.044064,0.000000,0.000000,1.000000,-49.211684,-0.210860,-57.506926
31,T1,0.100000,0.102344,0.000000,0.000000,1.000000,-49.211684,-0.210860,-57.506926
32,T2,0.243760,0.418031,0.000000,0.000000,1.000000,-49.211684,-0.210860,-57.506926
33,T2a,0.443868,1.719208,0.000000,0.000000,1.000000,-49.211684,-0.210860,-57.506926
34,T3,0.100000,1.313616,0.000000,0.000000,1.000000,-49.211684,-0.210860,-57.506926
35,T4a,2.147070,1.044434,0.000000,0.000000,5.012854,-49.211684,-0.210860,-57.506926
36,T4b,3.056213,1.476699,0.000000,0.000000,4.265417,-49.211684,-0.210860,-57.506926
37,T4c,2.390632,0.281126,0.000000,0.000000,5.117439,-49.211684,-0.210860,-57.506926
38,T4d,2.310366,0.647888,0.000000,0.000000,5.239007,-49.211684,-0.210860,-57.506926
39,T5a,4.573949,2.917630,0.000000,0.000000,1.459218,-49.211684,-0.210860,-57.506926
40,T5b,4.328453,2.236710,0.000000,0.000000,1.398559,-49.211684,-0.210860,-57.506926
41,T5c,0.545084,0.100000,0.000000,0.000000,2.694707,-49.211684,-0.210860,-57.506926
42,T5d,0.993633,0.100000,0.000000,0.000000,2.152808,-49.211684,-0.210860,-57.506926
43,Tm1,4.312885,1.435984,0.000000,0.000000,0.401988,-49.211684,-0.210860,-57.506926
44,Tm2,5.059583,0.117434,0.000000,0.000000,0.178562,-49.211684,-0.210860,-57.506926
45,Tm3,1.251342,1.846103,0.000000,0.000000,5.551812,-49.211684,-0.210860,-57.506926
46,Tm4,6.604811,1.506085,0.000000,0.000000,0.717606,-49.211684,-0.210860,-57.506926
47,Tm5Y,1.030713,0.100000,0.000000,0.000000,1.000000,-49.211684,-0.210860,-57.506926
48,Tm5a,0.458550,0.461294,0.000000,0.000000,1.000000,-49.211684,-0.210860,-57.506926
49,Tm5b,0.505768,0.426140,0.000000,0.000000,1.000000,-49.211684,-0.210860,-57.506926
50,Tm5c,1.061103,3.661329,0.000000,0.000000,1.000000,-49.211684,-0.210860,-57.506926
51,Tm9,2.064610,0.350915,0.000000,0.000000,3.026985,-49.211684,-0.210860,-57.506926
52,Tm16,1.205911,1.227513,0.000000,0.000000,1.000000,-49.211684,-0.210860,-57.506926
53,Tm20,3.520342,3.658716,0.000000,0.000000,1.000000,-49.211684,-0.210860,-57.506926
54,Tm28,0.100000,0.100000,0.000000,0.000000,1.000000,-49.211684,-0.210860,-57.506926
55,Tm30,0.447965,0.527656,0.000000,0.000000,1.000000,-49.211684,-0.210860,-57.506926
56,TmY3,1.856935,1.820373,0.000000,0.000000,1.000000,-49.211684,-0.210860,-57.506926
