cell_idx,cell,a_gt,bias_gt,a_in,a_out,e_leak,v_th,tau_lp,tau_hp,a_h,v_th_ca,a_ca,tau_ca,v_pre,v_onset,v_spot_end,delta_v,v_ca_pre,v_ca_onset,v_ca_spot_end,delta_v_ca,ca_pre,ca_onset,ca_spot_end,delta_ca
0,R1-6,1.025847,113.651131,2.524991,1.544052,-7.656587,-99.964943,20.534426,206.339890,0.000000,-100.000000,1.010703,352.320007,12.416142,12.446987,16.419165,3.972178,113.650597,113.682465,117.696770,4.014305,113.650597,113.651131,113.819252,0.168121
1,R7,0.995050,56.701679,2.524991,5.815629,-17.555099,-99.817192,10.000000,193.214462,0.000000,-100.000000,1.025997,349.303345,-44.728970,-45.079174,-41.206600,3.872574,56.707916,56.348602,60.321857,3.973255,56.707916,56.701683,56.886097,0.184414
2,R8,0.961918,81.968262,2.524991,4.400767,-25.140553,-99.960281,25.712189,203.002640,0.000000,-100.000000,0.973246,351.104584,-15.780070,-15.678640,-12.286046,3.392594,81.966698,82.065422,85.367249,3.301826,81.966698,81.968262,82.109055,0.140793
3,L1,2.000000,82.909058,2.524991,2.033098,-29.266384,-99.908875,10.000000,228.385422,0.999220,-99.840004,1.181750,350.174103,-29.681236,-29.760639,-40.950306,-11.189667,82.910149,82.816315,69.592926,-13.223389,82.910149,82.909050,82.462929,-0.446121
4,L2,2.000000,65.316299,2.524991,2.069586,-31.419300,-99.854141,10.000000,230.951050,0.969407,-100.000000,1.129897,350.610260,-42.190113,-42.373825,-50.492729,-8.118904,65.319221,65.111641,55.938114,-9.173527,65.319221,65.316292,65.010895,-0.305397
5,L3,2.000000,80.092934,2.524991,0.468809,-2.520379,-99.982292,10.849427,194.926773,0.000000,-100.000000,0.851384,347.557373,-5.925821,-5.953234,-6.372139,-0.418905,80.093300,80.069946,79.713310,-0.356636,80.093300,80.092934,80.082260,-0.010674
6,L4,0.941682,110.056763,2.524991,0.219711,-2.258648,-99.986717,10.000000,223.470520,1.000000,-100.000000,1.126004,351.747375,-2.258648,-2.287809,-5.061028,-2.773220,110.057106,110.024269,106.901604,-3.122665,110.057106,110.056747,109.979179,-0.077568
7,L5,2.000000,85.588402,2.524991,1.742730,-23.894041,-99.924469,10.000000,202.227264,0.992900,-100.000000,1.128311,348.598236,-24.144791,-24.129147,-17.146559,6.982588,85.588257,85.605911,93.484444,7.878532,85.588257,85.588402,85.785301,0.196899
8,Mi1,2.000000,49.962105,2.524991,1.352035,-17.855318,-99.903542,10.000000,197.708511,0.000000,-100.000000,0.824150,350.271545,-39.376453,-39.426296,-35.512638,3.913658,49.962891,49.921810,53.147247,3.225437,49.962891,49.962105,50.034733,0.072628
9,Tm3,2.000000,84.237511,2.524991,3.112198,1.123874,-99.892586,10.000000,194.660294,0.000000,-100.000000,0.887766,349.497833,-5.111278,-5.201877,-0.713299,4.488578,84.238983,84.158554,88.143364,3.984810,84.238983,84.237495,84.322281,0.084785
10,Mi4,2.000000,80.141380,2.524991,0.871237,-8.409781,-100.000000,10.000000,196.798126,0.000000,-100.000000,0.845667,351.949890,-5.232301,-5.265992,-4.913157,0.352836,80.141914,80.113426,80.411804,0.298378,80.141914,80.141380,80.144310,0.002930
11,Mi9,2.000000,52.562950,2.524991,0.665889,-38.168125,-99.806152,18.270044,207.951675,0.000000,-99.839096,0.797016,352.032562,-33.889877,-33.865429,-34.187782,-0.322353,52.562595,52.582081,52.325161,-0.256920,52.562595,52.562950,52.560417,-0.002533
12,T4a,0.978675,147.731247,2.524991,3.995170,-12.333437,-99.915405,10.000000,192.464218,0.000000,-100.000000,1.004302,350.779175,-0.140772,1.437667,5.799644,4.361977,147.674377,151.098114,156.519775,5.421661,147.674377,147.731247,148.142441,0.411194
13,T4b,1.021613,130.475647,2.524991,0.556489,-1.270400,-100.000000,10.000000,201.226227,0.000000,-100.000000,1.033789,352.221985,26.211689,26.176615,27.017515,0.840900,130.476257,130.439987,131.309311,0.869324,130.476257,130.475662,130.488358,0.012695
14,T4c,1.048394,86.182411,2.524991,2.640479,-11.310213,-99.912567,10.000000,202.315674,0.000000,-100.000000,0.982049,348.262421,-51.830070,-53.164181,-53.280869,-0.116688,86.173935,86.689346,88.035873,1.346527,86.173935,86.182419,86.256332,0.073914
15,T4d,1.030028,64.409096,2.524991,10.000000,7.192312,-99.955605,44.668854,201.321198,0.000000,-100.000000,0.967364,348.044250,-73.107132,-73.500038,-74.136436,-0.636398,64.408051,64.478188,64.733002,0.254814,64.408051,64.409096,64.422218,0.013123
16,Tm1,2.000000,88.866905,2.524991,0.627785,-5.294612,-99.984734,10.000000,208.339905,0.000000,-99.839493,0.824023,347.926697,8.005404,8.015692,6.529155,-1.486537,88.866669,88.875145,87.650208,-1.224937,88.866669,88.866905,88.840256,-0.026649
17,Tm2,2.000000,87.269737,2.524991,0.648950,-5.447660,-99.984276,10.000000,209.107742,0.000000,-99.839081,0.824872,351.985138,5.959177,5.935261,4.862382,-1.072879,87.270020,87.250290,86.365303,-0.884987,87.270020,87.269737,87.247116,-0.022621
18,Tm4,1.707782,83.794731,2.524991,1.446927,-0.895040,-100.000000,10.000000,200.687271,0.000000,-99.839699,0.803674,348.880951,4.421051,4.639329,3.716380,-0.922949,83.791656,83.967087,83.225327,-0.741760,83.791656,83.794731,83.795967,0.001236
19,Tm9,0.834294,79.775497,2.524991,3.133466,0.836564,-100.000000,32.572250,207.728851,0.000000,-99.838997,0.790210,348.608490,1.115700,1.122525,1.082438,-0.040088,79.775406,79.780800,79.749123,-0.031677,79.775406,79.775497,79.775558,0.000061
20,T5a,0.985783,200.000000,2.524991,6.879996,-9.148151,-99.943085,12.743860,190.042267,0.000000,-100.000000,1.002515,347.691376,855.729919,923.743347,1080.089478,156.346130,958.133484,1026.335205,1183.122070,156.786865,958.133484,959.213745,969.199646,9.985901
21,T5b,1.028097,200.000000,2.524991,7.701525,-5.839367,-99.964165,23.219500,193.903824,0.000000,-100.000000,1.003053,351.402924,464.717316,484.186340,527.152710,42.966370,566.441650,585.970093,629.067627,43.097534,566.441650,566.747192,569.544067,2.796875
22,T5c,0.990066,200.000000,2.524991,7.639657,-7.206154,-99.961777,10.000000,190.707382,0.000000,-100.000000,0.998897,347.774078,442.652740,447.604309,450.831146,3.226837,552.885315,558.598389,562.501465,3.903076,552.885315,552.984253,553.548462,0.564209
23,T5d,0.975349,200.000000,2.524991,10.000000,12.435556,-100.000000,42.570007,196.885788,0.000000,-100.000000,0.954566,352.489594,196.815948,196.404526,195.421753,-0.982773,328.026154,328.483124,329.257538,0.774414,328.026154,328.033295,328.094116,0.060822
24,T1,0.977936,89.743279,2.524991,0.677897,-17.387495,-99.848045,35.665379,197.690506,0.000000,-100.000000,0.955449,348.878082,-7.958305,-7.649445,-9.805630,-2.156185,89.738441,90.026245,88.014801,-2.011444,89.738441,89.743279,89.740417,-0.002861
25,T2,1.044335,200.000000,2.524991,1.836034,-3.273593,-100.000000,10.000000,206.262650,0.000000,-100.000000,1.037893,351.176666,311.284424,310.658264,309.299103,-1.359161,426.869385,426.219452,424.808868,-1.410583,426.869385,426.862244,426.738068,-0.124176
26,T2a,0.972606,130.185043,2.524991,10.000000,13.630915,-99.987244,10.000000,193.278503,0.000000,-100.000000,1.043980,351.900604,24.705107,24.423071,24.253422,-0.169649,130.189651,129.895218,129.765045,-0.130173,130.189651,130.185028,130.152939,-0.032089
27,T3,1.006366,129.045074,2.524991,1.641724,-4.102959,-99.937492,10.000000,209.617599,0.000000,-100.000000,1.024648,350.427948,25.942657,25.831324,26.775797,0.944473,129.046921,128.932846,129.900604,0.967758,129.046921,129.045074,129.052002,0.006927
28,C2,0.963761,3.745378,2.524991,1.228182,-2.101558,-99.978996,10.000000,200.932175,0.000000,-100.000000,0.972348,348.228271,-122.145668,-122.583046,-108.588127,13.994919,3.746369,3.692820,7.239306,3.546487,3.746369,3.745378,3.811183,0.065804
29,C3,1.048901,4.440322,2.524991,1.061121,-4.840863,-99.984886,10.000000,194.140320,0.000000,-100.000000,0.999274,347.810333,-125.066887,-125.687729,-105.256973,20.430756,4.442036,4.350339,11.193913,6.843574,4.442036,4.440322,4.556333,0.116010
30,Lawf1,1.017770,125.246490,2.524991,2.121627,-5.997737,-99.906044,10.000000,200.894028,0.000000,-100.000000,1.026977,351.976532,22.013172,18.708105,16.141926,-2.566179,125.304718,121.910492,119.275078,-2.635414,125.304718,125.246490,124.911789,-0.334702
31,Lawf2,1.004298,104.437271,2.524991,1.433370,-5.773417,-99.923477,10.000000,193.961777,0.000000,-100.000000,1.026108,349.319946,0.169493,-2.776737,-7.109946,-4.333209,104.474304,102.437851,100.521843,-1.916008,104.474304,104.437263,104.233215,-0.204048
32,Dm3v,0.979352,166.146133,2.524991,0.478764,-7.065584,-99.962013,12.278654,209.161804,0.000000,-100.000000,0.962814,350.806915,72.525230,74.782242,77.380112,2.597870,166.109680,168.282776,170.784042,2.501266,166.109680,166.146133,166.388840,0.242706
33,Lai,0.981869,4.695616,2.524991,0.100000,-0.700019,-99.999886,10.255089,207.386414,0.000000,-100.000000,0.955297,348.533569,-308.436340,-310.157043,-319.468536,-9.311493,4.695899,4.679800,4.606732,-0.073067,4.695899,4.695617,4.692219,-0.003398
34,Mi10,0.974521,141.482574,2.524991,0.168841,-3.329993,-99.987068,13.251561,207.434006,0.000000,-100.000000,1.013359,348.379761,39.609138,40.124428,41.071236,0.946808,141.474228,141.996399,142.955856,0.959457,141.474228,141.482574,141.551758,0.069183
35,Mi13,0.970758,95.054703,2.524991,0.123415,-2.818280,-99.980309,28.560373,190.781387,0.000000,-100.000000,0.952167,351.549286,-0.161070,-0.734510,-1.953707,-1.219197,95.063309,94.517311,93.356430,-1.160881,95.063309,95.054695,94.977768,-0.076927
