,C2,C3,L1,L2,L3,L4,L5,Mi1,Mi4,Mi9,R1-6,R7,R8,T1,T2,T2a,T3,T4a,T4b,T4c,T4d,T5a,T5b,T5c,T5d,Tm1,Tm2,Tm20,Tm21,Tm3,Tm4,Tm9
C2,1.014438,1.004167,1.691544,0.186524,0.258289,1.064942,0.538892,1.100741,1.020013,,1.033418,1.022631,0.952424,0.967364,0.987237,0.976370,0.971057,,,,,,,,,0.917851,,,,,,0.450046
C3,1.043910,,0.767994,0.283472,0.100000,0.100000,44.312530,27.095698,9.493326,0.100000,0.100000,,,0.100000,3.450952,100.000000,18.118886,0.100000,0.100000,61.919988,1.049746,,,,,0.100000,0.100000,0.100000,0.973806,1.039950,0.100000,0.100000
L1,0.100000,0.100000,0.100000,0.100000,0.937310,0.100000,21.931913,11.433201,0.458737,,2.183812,0.100000,43.657540,100.000000,0.100000,0.399954,,,,,,,,,,0.100000,4.620925,,,1.061013,,
L2,1.004356,24.281242,6.148801,17.349206,1.239728,6.981350,0.100000,0.100000,0.100000,0.701566,4.245985,,0.100000,3.648428,100.000000,1.025153,,,,,,,,,,5.507149,6.996315,1.656522,,0.100000,7.288844,
L3,0.986765,55.383261,1.167834,0.100000,,,,3.949153,1.363419,2.387565,,0.100000,0.100000,0.100000,,,,,,,,,,,,0.100000,34.245370,0.100000,0.994814,,69.476093,4.527410
L4,,0.100000,2.196974,4.372450,0.100000,0.100000,10.046998,0.100000,,7.494480,5.837612,,,,0.192331,,,,,,,,,,,10.205481,0.100000,,,,36.258500,0.100000
L5,0.161728,0.100000,4.267348,40.335063,,,6.476821,0.100000,0.197706,18.963687,,,,0.280777,5.247177,0.100000,,,,,,,,,,0.100000,0.100000,0.100000,0.916589,0.100000,0.100000,
Mi1,0.143340,0.100000,2.713931,0.100000,,,0.100000,15.470541,0.100000,9.633749,,0.100000,13.995725,0.100000,27.671137,2.332846,0.100000,6.463247,21.476579,1.136363,0.391334,,,,,0.100000,0.100000,15.669877,1.609990,25.690489,0.100000,
Mi4,0.986674,100.000000,,0.100000,12.893052,,21.412436,0.100000,9.032416,3.765404,,,,0.100000,,0.100000,,5.936242,0.100000,0.100000,47.519758,,,,,8.151965,5.399131,9.760864,,0.535069,31.010266,2.564527
Mi9,0.989919,,,,6.010096,1.185568,,4.736403,8.293864,,,,,,93.451761,1.399420,6.705337,1.331044,0.100000,1.646090,13.981914,,,,,0.100000,0.100000,13.503944,0.100000,0.762421,0.100000,0.100000
R1-6,0.963214,0.100000,4.802848,6.432130,3.887351,0.100000,,,,,0.100000,,,4.455070,,,,,,,,,,,,,,,,,,
R7,,0.100000,4.474170,,28.894952,,,0.100000,0.100000,0.129096,,,0.100000,,,,,,,,,,,,,,,0.100000,,,,
R8,0.958842,61.880147,0.100000,0.100000,0.100000,,0.100000,6.819594,18.277982,0.100000,,6.368298,0.100000,94.264676,,,,,,,,,,,,,,69.007656,0.950193,,,
T1,,,,0.102009,0.695559,,0.100000,,,0.100000,0.432913,24.726569,12.728016,,,,,,,,,,,,,90.234572,62.568541,6.349124,,,81.604443,
T2,,,,,,,0.100000,0.142160,,32.421110,,,,,7.665966,0.973260,0.100000,,,,,,,,,64.005963,22.274446,,0.121343,0.100000,0.100000,
T2a,1.010091,,,,,,,24.777371,,,,,,,64.956954,27.940467,0.100000,,,,,,,,,0.100000,,17.908098,0.961846,0.100000,0.100000,
T3,,80.509826,,,,,,,,,,,,,0.366649,0.962761,1.002597,,,,1.021248,,,,,0.100000,,,0.965391,0.826595,,
T4a,,11.712774,,,,,,,,3.766314,,,,,,,,2.614035,1.034487,0.969956,0.983094,1.017544,,,,,,,,,,
T4b,,,,,,,,0.100000,44.256613,9.213884,,,,,,,,30.130721,6.188156,,1.012881,,0.817244,,,,,,,,,
T4c,,,,,,,,,,13.804974,,,,,0.998801,,,,,7.350216,,,,1.032333,1.025952,,,,,,,
T4d,,,,,,,,1.551434,,,,,,,,,,,,0.979385,55.292850,,,,1.000596,,,,,,,
T5a,,,,,,,,,,,,,,,0.100000,,,0.100000,,,,0.100000,1.010269,,,,2.753723,,,,,
T5b,,,,,,,,,,,,,,,1.448570,,,,1.037577,,,0.957598,1.002723,,,,,,,,,
T5c,,,,,,,,,,,,,,,7.982082,,,,,77.620391,,,0.990698,0.100000,1.041649,,,,,,,
T5d,,,,,,,,,,,,,,,43.287997,,,,,0.913521,1.043933,,,,53.590671,,,,,,,
Tm1,1.020031,61.916044,,0.100000,,,0.100000,0.100000,0.100000,19.172221,,,,0.788925,18.089890,0.100000,52.277150,,,1.009390,,0.100000,0.870827,19.082315,46.665171,25.855284,13.958079,0.188113,1.293023,2.662179,17.408698,7.082318
Tm2,,18.208362,0.985351,0.100000,,,0.100000,1.875406,0.109050,18.157788,,,,0.100000,4.669756,0.100000,18.656940,0.955384,,31.277118,,0.100000,0.676723,0.100000,0.100000,0.100000,,,1.213268,0.100000,3.749890,0.100000
Tm20,,2.364782,,,,,,,50.746773,13.065370,,,,100.000000,10.955160,1.830949,,,,,,,,,,0.100000,0.100000,1.388708,1.020035,,,2.097178
