idx,ctype,in_gain,out_gain,out_scale,tau_m,tau_hp,bias,hp_gain
0,C2,1.000000,0.212219,1.041307,53.717585,200.266245,-1.384523,1.000000
1,C3,1.000000,2.876381,0.992892,100.465751,102.355900,0.312353,1.000000
2,L1,1.000000,3.396814,31.512750,69.106140,70.878759,1.780106,2.720649
3,L2,1.000000,1.796248,8.743027,82.292225,90.375946,0.542534,4.393189
4,L3,1.000000,4.099043,100.000000,127.773567,127.640841,2.000000,1.000000
5,L4,1.000000,2.563841,9.137610,15.879761,224.278011,-0.060675,4.868101
6,L5,1.000000,1.133369,3.753594,64.022198,69.011448,-0.170839,1.806462
7,Mi1,1.000000,1.885842,7.862095,38.567628,118.513226,0.369606,1.000000
8,Mi4,1.000000,3.995270,7.267499,10.000720,395.745149,1.166032,1.000000
9,Mi9,1.000000,6.127449,6.340446,127.466755,278.759336,-0.232604,1.000000
10,R1-6,1.000000,6.594789,0.959032,89.728964,100.821499,-0.025197,1.000000
11,R7,1.000000,17.938617,0.995928,93.154811,93.227624,0.255824,1.000000
12,R8,1.000000,32.991662,0.952317,104.139179,295.324861,-0.278323,1.000000
13,T1,1.000000,2.266664,0.950038,36.813977,226.080795,0.021058,1.000000
14,T2,1.000000,26.068570,0.994657,10.000000,51.135462,-0.274314,1.000000
15,T2a,1.000000,20.401376,1.040250,113.236437,387.462256,-0.001555,1.000000
16,T3,1.000000,39.778975,1.010208,23.809352,77.440141,-0.490969,1.000000
17,T4a,1.000000,11.797173,1.048541,10.000000,76.745189,2.000000,1.000000
18,T4b,1.000000,8.959007,1.034107,44.053501,113.130627,0.419579,1.000000
19,T4c,1.000000,11.812728,0.961044,28.866522,114.682290,0.007943,1.000000
20,T4d,1.000000,30.494204,1.032123,139.344966,258.194548,0.298860,1.000000
21,T5a,1.000000,2.656607,0.958756,61.142919,198.778530,-1.162760,1.000000
22,T5b,1.000000,1.453781,1.048989,45.674944,194.987150,-1.403381,1.000000
23,T5c,1.000000,62.467392,0.980468,175.626724,299.576388,-1.991021,1.000000
24,T5d,1.000000,62.396481,0.973361,92.568347,179.037718,0.419673,1.000000
25,Tm1,1.000000,1.004890,4.811661,47.459128,114.808342,0.887376,1.000000
26,Tm2,1.000000,2.970312,4.640600,10.000000,143.593281,0.246968,1.000000
27,Tm20,1.000000,12.804104,1.016316,10.000000,101.906218,0.092928,1.000000
28,Tm21,1.000000,0.679900,1.005159,52.779211,208.669023,-1.193445,1.000000
29,Tm3,1.000000,4.454051,14.203030,39.308114,419.601048,-1.113563,1.000000
30,Tm4,1.000000,2.387847,9.995039,18.107552,170.777587,0.235183,1.000000
31,Tm9,1.000000,1.714666,29.587853,77.966187,342.618058,2.000000,1.000000
