idx,cell,a_in,a_out,bias_out,a_gt,bias_gt,tau_lp,tau_hp,v_rest,a_slow,v_pre,v_onset,a_in
0,R1-6,1.620546,2.521307,-20.002478,1.004825,-0.308143,10.000000,203.671052,0.000000,0.000000,20.066701,20.066683,1.620546
1,R7,1.620546,7.824327,-20.059480,1.046682,0.049174,100.000000,190.109957,0.000000,0.000000,19.996985,19.996985,1.620546
2,R8,1.620546,5.530036,-22.272105,0.979328,-0.358885,10.000000,199.532017,0.000000,0.000000,20.021103,20.021104,1.620546
3,L1,1.620546,2.362989,3.646147,2.309185,0.655312,10.000000,280.200594,0.000000,0.600000,-0.585488,-0.585556,1.620546
4,L2,1.620546,2.121230,4.684538,1.637934,0.266477,10.000000,205.530841,0.000000,0.600000,-1.366745,-1.366962,1.620546
5,L3,1.620546,1.381328,3.677670,1.356118,-2.628103,11.469089,201.185366,0.000000,0.000000,2.003282,2.003761,1.620546
6,L4,1.620546,4.168757,0.010390,0.929401,1.360678,10.000000,262.333335,0.000000,1.000000,0.000000,-0.000189,1.620546
7,L5,1.620546,8.382696,1.717515,3.222146,-4.163068,10.000000,289.924906,0.000000,1.000000,0.000000,0.000108,1.620546
8,Mi1,1.620546,4.421589,-2.064733,3.377207,-5.515396,19.017768,207.635227,0.000000,0.000000,-0.024650,-0.024231,1.620546
9,Tm3,1.620546,1.935239,0.841874,1.231350,-2.031579,10.000000,192.006206,0.000000,0.000000,4.170035,4.170734,1.620546
10,Mi4,1.620546,5.937969,2.308592,3.034719,-0.973163,10.000000,193.408731,0.000000,0.000000,-5.226834,-5.232276,1.620546
11,Mi9,1.620546,4.909260,3.328925,1.908307,1.107719,10.000000,207.148055,0.000000,0.000000,1.530305,1.529469,1.620546
12,T4a,1.620546,0.100000,-2.619182,1.029089,-0.435530,55.174285,202.600861,0.000000,0.000000,-1.643821,-1.644248,1.620546
13,T4b,1.620546,10.000000,-7.628132,0.957003,-0.186261,41.195656,207.572154,0.000000,0.000000,1.715061,1.715113,1.620546
14,T4c,1.620546,10.000000,-2.079947,1.016861,0.191443,37.236073,198.202356,0.000000,0.000000,-1.350607,-1.350656,1.620546
15,T4d,1.620546,6.513779,1.942602,0.955348,0.496606,69.615418,202.316177,0.000000,0.000000,0.095533,0.095516,1.620546
16,Tm1,1.620546,0.162757,-1.877520,3.602506,-0.520649,10.000000,193.451000,0.000000,0.000000,-8.146174,-8.146657,1.620546
17,Tm2,1.620546,2.354833,-6.152831,1.954744,6.860680,10.000000,193.235736,0.000000,0.000000,2.467011,2.466687,1.620546
18,Tm4,1.620546,4.015904,-4.408608,1.715402,3.975978,10.000000,207.529605,0.000000,0.000000,-3.920343,-3.921964,1.620546
19,Tm9,1.620546,5.365787,1.340905,3.457875,3.298189,22.382684,208.602648,0.000000,0.000000,-0.029908,-0.031454,1.620546
20,T5a,1.620546,10.000000,-0.674871,1.043338,-0.064268,10.000000,190.047334,0.000000,0.000000,0.094992,0.092992,1.620546
21,T5b,1.620546,0.100000,-1.866094,1.037164,-0.409740,52.054751,209.846355,0.000000,0.000000,-0.072828,-0.072888,1.620546
22,T5c,1.620546,0.100000,-2.419059,1.013078,-0.075278,49.883779,203.963094,0.000000,0.000000,0.013262,0.013229,1.620546
23,T5d,1.620546,0.183236,-2.064664,0.985616,-0.147751,55.373672,209.861203,0.000000,0.000000,-0.558638,-0.558699,1.620546
24,T1,1.620546,2.435098,-2.935960,1.042700,-0.487576,36.317333,206.782725,0.000000,0.000000,0.663395,0.663474,1.620546
25,T2,1.620546,6.680663,-0.568552,0.971714,0.276467,10.000000,201.181330,0.000000,0.000000,5.777876,5.778161,1.620546
26,T2a,1.620546,4.659028,-2.888201,0.987369,-0.238570,44.304646,204.902703,0.000000,0.000000,0.119703,0.119683,1.620546
27,T3,1.620546,0.139935,-1.514792,0.988001,-0.368533,68.457745,207.339330,0.000000,0.000000,-0.067853,-0.067852,1.620546
28,C2,1.620546,4.365989,6.848266,0.993416,0.409713,10.000000,200.485755,0.000000,0.000000,-3.677115,-3.676964,1.620546
29,C3,1.620546,5.695149,2.139817,0.968327,-0.360273,10.000000,197.207785,0.000000,0.000000,0.987408,0.987387,1.620546
30,Lawf1,1.620546,7.821252,-0.212292,0.973637,-0.345056,10.000000,206.090464,0.000000,0.000000,1.273075,1.273308,1.620546
31,Lawf2,1.620546,9.247059,4.997775,0.971019,-0.024710,10.000000,191.965206,0.000000,0.000000,1.790922,1.790909,1.620546
32,Dm3v,1.620546,10.000000,0.783671,0.976459,0.259417,12.833515,203.398957,0.000000,0.000000,0.397649,0.395029,1.620546
33,Lai,1.620546,2.436201,-7.235500,1.023591,-0.130793,54.377314,202.345934,0.000000,0.000000,-2.037216,-2.037508,1.620546
34,Mi10,1.620546,3.427278,-1.420268,1.032958,0.420832,10.000000,199.791637,0.000000,0.000000,-0.128204,-0.128174,1.620546
35,Mi13,1.620546,9.413318,1.479130,0.980347,-0.137756,10.000000,196.733526,0.000000,0.000000,0.247855,0.247894,1.620546
36,Mi14,1.620546,10.000000,-0.084191,0.962213,-0.145908,10.000000,209.573520,0.000000,0.000000,1.105934,1.105953,1.620546
37,Mi15,1.620546,10.000000,-3.778213,1.040747,0.346255,10.000000,196.716821,0.000000,0.000000,-0.526293,-0.526302,1.620546
38,Mi2,1.620546,9.941394,0.207238,1.027067,0.197334,35.676013,209.612734,0.000000,0.000000,0.244814,0.244822,1.620546
39,Tm16,1.620546,0.100000,-0.708703,1.001851,0.106956,53.085608,207.259858,0.000000,0.000000,-0.916202,-0.915990,1.620546
40,Tm20,1.620546,7.748786,-1.090000,1.020865,-0.433305,10.000000,201.709500,0.000000,0.000000,0.352757,0.350212,1.620546
41,Tm21,1.620546,10.000000,2.460709,1.004305,0.167905,12.885944,204.553330,0.000000,0.000000,0.965251,0.965663,1.620546
42,Tm27,1.620546,0.114814,-0.731156,1.006344,-0.496710,51.691390,205.319724,0.000000,0.000000,-0.583299,-0.583435,1.620546
43,Tm5a,1.620546,0.953746,-0.401130,0.950179,0.029036,49.045240,207.729900,0.000000,0.000000,-0.046288,-0.046029,1.620546
44,Tm5b,1.620546,0.157168,-0.507877,0.959636,0.488501,50.711640,195.364005,0.000000,0.000000,-0.734025,-0.734099,1.620546
45,Tm5c,1.620546,7.927179,-1.884939,0.976421,0.219644,10.000000,208.182233,0.000000,0.000000,2.555316,2.555548,1.620546
46,Tm5f,1.620546,0.100000,-0.966288,1.047041,0.117755,51.867858,198.751837,0.000000,0.000000,-0.002321,-0.002626,1.620546
47,TmY10,1.620546,7.711029,2.095016,0.988238,-0.008316,24.741085,192.225695,0.000000,0.000000,-0.330934,-0.336253,1.620546
48,TmY11,1.620546,0.371512,-0.550992,0.959356,0.378478,50.616626,191.391349,0.000000,0.000000,-5.650681,-5.651083,1.620546
49,TmY14,1.620546,10.000000,-3.269491,0.958297,-0.109091,58.293622,209.525514,0.000000,0.000000,0.692041,0.692379,1.620546
50,TmY15,1.620546,2.119159,-1.245139,0.981630,0.325491,10.000000,195.734589,0.000000,0.000000,7.757941,7.759064,1.620546
51,TmY3,1.620546,8.492109,-2.288553,0.988675,-0.000297,62.147599,206.051171,0.000000,0.000000,0.204418,0.204192,1.620546
52,TmY4,1.620546,8.299458,2.194049,1.004816,0.112686,10.000000,196.831871,0.000000,0.000000,-0.610690,-0.620956,1.620546
53,TmY5a,1.620546,10.000000,-2.068873,0.967939,0.377625,49.960326,194.437621,0.000000,0.000000,3.381875,3.381973,1.620546
54,TmY9q,1.620546,5.909276,10.154454,1.039224,0.022871,13.698735,199.860510,0.000000,0.000000,2.282068,2.278011,1.620546
55,TmY9q__perp,1.620546,10.000000,3.514916,1.015816,0.059232,10.000000,208.572603,0.000000,0.000000,5.848331,5.848445,1.620546
