idx,ctype,in_gain,out_gain,out_scale,tau_lp,tau_hp,v_rest,hp_gain
0,R1-6,1.000000,5.000000,1.044455,23.885944,10000.000000,-0.455070,1.000000
1,R7,1.000000,5.000000,1.005516,13.496981,10000.000000,1.583230,1.000000
2,R8,1.000000,5.000000,0.991260,35.399054,10000.000000,-0.412167,1.000000
3,L1,1.000000,4.790780,3.271572,17.614043,218.785388,5.161976,4.825553
4,L2,1.000000,3.689881,3.025323,10.000000,221.192829,4.305341,2.516160
5,L3,1.000000,0.500000,5.000000,25.366091,10000.000000,-1.115148,1.000000
6,L4,1.000000,1.360282,5.000000,10.000000,157.522160,4.220595,4.787818
7,L5,1.000000,4.134794,1.674585,12.901956,187.613565,-3.499321,1.794671
8,Mi1,1.000000,4.676181,3.234399,21.607108,9996.096320,7.107254,1.000000
9,Mi4,1.000000,5.000000,2.047416,13.391537,10000.000000,1.124732,1.000000
10,Mi9,1.000000,5.000000,3.432631,36.567304,9982.422072,0.605586,1.000000
11,T1,1.000000,0.500000,1.027964,52.625852,9999.641012,-3.300788,1.000000
12,T2,1.000000,2.616609,1.040565,19.105165,9984.421307,0.054690,1.000000
13,T2a,1.000000,4.649834,1.019907,11.671307,10000.000000,-1.865321,1.000000
14,T3,1.000000,5.000000,1.031935,86.786120,9993.514033,13.751473,1.000000
15,T4a,1.000000,0.500000,1.017074,47.607256,9997.602707,-1.237506,1.000000
16,T4b,1.000000,5.000000,0.982902,35.777311,9985.324008,12.696457,1.000000
17,T4c,1.000000,4.822544,0.981387,10.000000,9968.697668,6.404261,1.000000
18,T4d,1.000000,1.008910,0.964230,50.905522,9993.935189,-0.349489,1.000000
19,T5a,1.000000,5.000000,1.014533,85.750336,9995.765658,20.000000,1.000000
20,T5b,1.000000,5.000000,1.044989,86.601178,9998.504568,-10.676277,1.000000
21,T5c,1.000000,1.887460,0.996505,61.200649,10000.000000,-6.926876,1.000000
22,T5d,1.000000,5.000000,1.046465,47.690078,10000.000000,20.000000,1.000000
23,Tm1,1.000000,4.244184,4.998931,21.155038,9975.596101,11.981372,1.000000
24,Tm2,1.000000,4.214173,5.000000,10.000000,9964.051837,8.651562,1.000000
25,Tm20,1.000000,5.000000,0.983623,54.504744,9981.093689,15.114873,1.000000
26,Tm21,1.000000,5.000000,1.029448,52.697192,10000.000000,15.097421,1.000000
27,Tm3,1.000000,3.061529,5.000000,10.000000,10000.000000,7.380437,1.000000
28,Tm4,1.000000,5.000000,5.000000,10.000000,10000.000000,0.168360,1.000000
29,Tm9,1.000000,5.000000,5.000000,41.837516,10000.000000,12.831128,1.000000
30,C2,1.000000,0.500000,0.963807,52.798562,9991.669314,-2.496203,1.000000
31,C3,1.000000,5.000000,1.049850,35.788219,10000.000000,-1.400016,1.000000
