,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Mi4,Mi9,T1,T2,T2a,T3,T4a,T4b,T4c,T4d,T5a,T5b,T5c,T5d,Tm1,Tm2,Tm20,Tm21,Tm3,Tm4,Tm9,C2,C3
R1-6,5.000000,,,5.000000,4.995691,5.000000,5.000000,,,,,3.047073,,,,,,,,,,,,,,,,,,,0.981119,0.500000
R7,,,0.518189,5.000000,,5.000000,,,0.500000,0.500000,5.000000,,,,,,,,,,,,,,,5.000000,,,,,,0.500000
R8,,0.500000,0.500000,5.000000,0.500000,5.000000,,0.500000,0.500000,0.500000,5.000000,1.779891,,,,,,,,,,,,,,5.000000,0.963839,,,,1.030707,0.500000
L1,0.500000,0.523216,0.500000,0.998698,0.753642,0.500000,0.500000,3.015379,1.547612,1.611819,,1.018333,4.996813,5.000000,,,,,,,,,,0.500000,0.500000,,,4.004905,,,0.500000,2.764295
L2,1.826703,,0.707718,0.500000,2.616842,3.373346,3.773732,0.500000,0.500000,0.500000,2.876674,0.500000,5.000000,0.986733,,,,,,,,,,0.898319,1.186506,0.639504,,0.500000,5.000000,,1.020118,0.500000
L3,,1.032107,0.962682,0.984314,0.999361,,,,1.726804,1.031508,0.500000,1.047324,,,,,,,,,,,,1.010416,0.987770,0.500000,0.993900,,0.995485,0.500000,0.990607,1.022514
L4,0.500000,,,4.205216,1.008560,0.500000,5.000000,5.000000,0.500000,,0.520311,,5.000000,,,,,,,,,,,0.500000,3.298074,,,,3.275983,5.000000,,1.764727
L5,,,,1.025991,3.238300,,,5.000000,0.500000,4.782967,0.500000,0.990634,0.500000,5.000000,,,,,,,,,,0.500000,0.500000,0.500000,0.500000,1.940667,0.500000,,0.500000,0.500000
Mi1,,0.500000,5.000000,0.500000,0.500000,,,1.606308,0.500000,5.000000,0.500000,0.641824,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,1.125927,,,,,0.500000,0.500000,4.561734,5.000000,0.820856,0.500000,,0.500000,0.500000
Mi4,,,,,0.500000,5.000000,,0.500000,0.500000,0.500000,1.701730,1.001912,,0.500000,,0.991086,1.295506,0.500000,1.018882,,,,,2.068767,0.500000,0.500000,,2.227440,2.414146,5.000000,0.999584,0.981666
Mi9,,,,,,5.000000,1.674565,,0.500000,1.719342,,,2.885471,5.000000,0.500000,1.015759,5.000000,5.000000,2.366808,,,,,0.500000,5.000000,5.000000,5.000000,0.500000,1.904363,0.500000,0.961682,
T1,0.952000,0.988013,1.014091,,0.500000,0.700551,,2.502337,,,1.795956,,,,,,,,,,,,,0.605561,0.500000,1.249040,,,0.500000,,,
T2,,,,,,,,4.960944,2.326112,,0.500000,,0.500000,0.982083,0.500000,,,,,,,,,5.000000,5.000000,,5.000000,0.500000,0.500000,,,
T2a,,,,,,,,,0.500000,,,,0.500000,5.000000,0.500000,,,,,,,,,3.195132,,4.913515,1.002548,5.000000,5.000000,,0.990496,
