cell_idx,cell,a_gt,bias_gt,a_in,a_out,e_leak,v_th,tau_lp,tau_hp,a_h,v_th_ca,a_ca,tau_ca,v_pre,v_onset,v_spot_end,delta_v,v_ca_pre,v_ca_onset,v_ca_spot_end,delta_v_ca,ca_pre,ca_onset,ca_spot_end,delta_ca
23,T5d,1.043013,48.417858,0.698693,0.144775,-0.499474,-49.178020,11.200112,208.306046,0.000000,-50.000000,0.973682,346.134857,-0.273458,-0.272812,-0.272404,0.000408,48.417850,48.418480,48.418877,0.000397,48.417850,48.417862,48.417927,0.000065
24,T1,0.985379,50.856415,0.698693,0.729590,-0.805654,-49.642654,11.570825,204.165619,0.000000,-50.000000,1.005566,352.469025,0.574819,0.578832,0.580316,0.001484,50.856342,50.860378,50.861874,0.001495,50.856342,50.856411,50.856758,0.000347
25,T2,0.975582,70.311424,0.698693,3.312788,0.548684,-50.919682,12.992471,196.831177,0.000000,-50.000000,0.994401,349.035553,20.710909,20.494139,20.250053,-0.244085,70.314987,70.099442,69.856720,-0.242722,70.314987,70.311424,70.287224,-0.024200
26,T2a,1.036206,68.897850,0.698693,9.368850,15.694379,-65.962936,10.000000,202.581314,0.000000,-50.000000,0.951527,348.817230,22.407351,22.426165,22.431517,0.005352,68.897522,68.915428,68.920525,0.005096,68.897522,68.897858,68.899330,0.001472
27,T3,0.957747,49.891075,0.698693,0.560174,-0.401565,-49.310604,10.000000,201.634979,0.000000,-50.000000,0.970542,347.578186,1.405261,1.412000,1.415677,0.003677,49.890957,49.897495,49.901058,0.003563,49.890957,49.891075,49.891663,0.000587
28,C2,1.033916,51.432091,0.698693,0.218124,-0.385539,-49.232212,10.919035,207.997299,0.000000,-50.000000,1.036410,349.957123,-0.374773,-0.374600,-0.374449,0.000151,51.432076,51.432262,51.432411,0.000149,51.432076,51.432076,51.432102,0.000027
29,C3,0.983128,44.625839,0.698693,0.100000,-3.828469,-46.013012,11.012325,206.436050,0.000000,-50.000000,0.956763,348.990845,-3.357515,-3.355855,-3.354813,0.001042,44.625813,44.627399,44.628399,0.000999,44.625813,44.625839,44.625988,0.000149
30,Lawf1,1.021799,49.236031,0.698693,1.251511,0.098909,-49.992077,14.664912,197.939621,0.000000,-50.000000,0.969422,345.604523,0.789023,0.790935,0.793557,0.002622,49.236004,49.237850,49.240395,0.002544,49.236004,49.236031,49.236259,0.000229
31,Lawf2,1.016423,51.238594,0.698693,0.365057,-0.269116,-49.290859,10.000000,190.373474,0.000000,-50.000000,1.008506,351.441071,0.806350,0.812583,0.818966,0.006383,51.238483,51.244778,51.251213,0.006435,51.238483,51.238594,51.239254,0.000660
32,Dm3v,0.989127,48.615898,0.698693,0.544956,-1.254147,-49.214882,10.000000,194.872772,0.000000,-50.000000,0.994240,347.408905,-1.102463,-1.100478,-1.098097,0.002381,48.615864,48.617840,48.620201,0.002361,48.615864,48.615891,48.616119,0.000229
33,Lai,1.030884,40.770809,0.698693,0.106651,-0.395900,-49.160854,10.001704,191.252151,0.000000,-50.000000,0.955144,350.366730,-7.313557,-7.367367,-7.678147,-0.310780,40.771709,40.720306,40.423473,-0.296833,40.771709,40.770802,40.757679,-0.013123
34,Mi10,0.988959,44.753559,0.698693,0.119220,-1.504199,-48.560577,11.185444,197.199127,0.000000,-50.000000,0.985409,345.277191,-4.584093,-4.562972,-4.530885,0.032087,44.753223,44.774036,44.805660,0.031624,44.753223,44.753567,44.756199,0.002632
35,Mi13,1.011731,46.777195,0.698693,0.141607,-1.152871,-49.164890,23.665941,201.237076,0.000000,-50.000000,0.961344,354.928192,-1.341895,-1.340989,-1.339526,0.001463,46.777176,46.778053,46.779457,0.001404,46.777176,46.777195,46.777302,0.000107
36,Mi14,1.004335,44.279434,0.698693,0.100000,-6.549567,-43.730659,10.774909,207.286194,0.000000,-50.000000,1.001624,347.276855,-5.792152,-5.804533,-5.815408,-0.010874,44.279652,44.267246,44.256351,-0.010895,44.279652,44.279434,44.278141,-0.001293
37,Mi15,0.958100,48.004082,0.698693,0.165692,-1.255568,-49.154427,10.087330,195.483826,0.000000,-50.000000,0.999315,349.969086,-1.962978,-1.965734,-1.975276,-0.009542,48.004128,48.001373,47.991837,-0.009537,48.004128,48.004078,48.003571,-0.000507
38,Mi2,0.975036,51.480618,0.698693,0.100000,-0.725692,-48.834888,10.000000,198.088776,0.000000,-50.000000,1.043092,350.729767,-0.646143,-0.645946,-0.645918,0.000028,51.480618,51.480820,51.480850,0.000031,51.480618,51.480614,51.480625,0.000011
39,Tm16,1.044054,40.778423,0.698693,0.100000,-1.347002,-49.001766,10.000000,205.243332,0.000000,-50.000000,0.972053,349.428223,-8.048572,-8.084973,-8.119899,-0.034925,40.779034,40.743645,40.709698,-0.033947,40.779034,40.778423,40.774712,-0.003712
40,Tm20,0.973026,51.013432,0.698693,0.100000,-0.543853,-49.051369,10.314663,191.114838,0.000000,-50.000000,1.027633,354.097046,-0.360857,-0.198168,0.095417,0.293585,51.010807,51.177986,51.479687,0.301701,51.010807,51.013432,51.035366,0.021935
41,Tm21,0.956533,59.784691,0.698693,2.694234,2.590797,-52.458809,10.000000,200.614105,0.000000,-50.000000,0.972248,351.409210,11.490206,11.545857,11.582318,0.036461,59.783741,59.837849,59.873302,0.035454,59.783741,59.784683,59.789814,0.005131
42,Tm27,0.989641,49.458645,0.698693,1.142196,-0.522041,-49.866253,10.000000,208.123276,0.000000,-50.000000,0.970772,348.129791,0.947664,0.951386,0.952854,0.001468,49.458576,49.462189,49.463615,0.001427,49.458576,49.458641,49.458954,0.000313
43,Tm5a,0.973687,183.231918,0.698693,10.000000,33.715839,-83.665947,10.000000,204.357315,0.000000,-50.000000,0.975107,348.018921,137.799713,144.565323,155.526993,10.961670,183.124771,189.721985,200.410751,10.688766,183.124771,183.231918,184.073334,0.841415
44,Tm5b,0.984672,141.705353,0.698693,10.000000,32.057434,-82.368240,10.000000,202.564896,0.000000,-50.000000,0.991846,354.221069,92.825111,95.634735,99.865021,4.230286,141.660538,144.447235,148.643051,4.195816,141.660538,141.705353,142.044983,0.339630
45,Tm5c,0.996695,55.693821,0.698693,0.100000,-0.991433,-48.832783,10.365419,209.898880,0.000000,-50.000000,1.033772,353.370422,3.871692,4.036353,4.239347,0.202995,55.691032,55.861252,56.071106,0.209854,55.691032,55.693813,55.713196,0.019382
46,Tm5f,0.954055,192.462402,0.698693,10.000000,35.673508,-85.603973,10.000000,209.482101,0.000000,-50.000000,1.046452,345.383911,133.839340,138.695465,146.387634,7.692169,192.379013,197.460709,205.510193,8.049484,192.379013,192.462402,193.109283,0.646881
47,TmY10,1.013514,58.922176,0.698693,1.582232,0.366872,-50.091663,10.000000,209.074173,0.000000,-50.000000,0.958041,354.533752,11.494137,12.031857,12.875080,0.843224,58.913929,59.429085,60.236931,0.807846,58.913929,58.922173,58.985859,0.063686
48,TmY11,0.966474,34.552486,0.698693,0.139247,-1.131611,-49.183140,12.427448,196.470337,0.000000,-50.000000,0.990009,345.320984,-15.098034,-15.142817,-15.177161,-0.034345,34.553265,34.508930,34.474926,-0.034004,34.553265,34.552486,34.548042,-0.004444
49,TmY14,1.021293,53.670509,0.698693,1.298696,0.109110,-50.146294,12.464144,195.634628,0.000000,-50.000000,0.984122,354.194366,4.536364,4.540914,4.542535,0.001621,53.670437,53.674911,53.676506,0.001595,53.670437,53.670509,53.670876,0.000366
50,TmY15,0.956552,50.831383,0.698693,0.100000,-0.614711,-48.892006,10.830168,208.848419,0.000000,-50.000000,0.977337,348.059509,2.009536,2.041084,2.064420,0.023337,50.830845,50.861679,50.884487,0.022808,50.830845,50.831387,50.834419,0.003033
51,TmY3,0.964307,18.986530,0.698693,9.524181,2.422533,-52.679260,10.000000,195.070526,0.000000,-50.000000,1.009592,349.290436,-31.222748,-31.347672,-31.430790,-0.083118,18.988657,18.867916,18.787943,-0.079973,18.988657,18.986528,18.975056,-0.011473
52,TmY4,1.011613,52.439651,0.698693,0.209639,-1.755771,-48.465698,15.357011,199.764938,0.000000,-50.000000,1.038776,351.807465,0.481979,0.491640,0.501057,0.009417,52.439480,52.449516,52.459293,0.009777,52.439480,52.439651,52.440712,0.001060
53,TmY5a,1.027599,68.752007,0.698693,0.763286,-2.000251,-47.728611,11.138376,206.811920,0.000000,-50.000000,0.966689,350.156647,21.099882,22.428480,24.704683,2.276203,68.731445,70.015785,72.216171,2.200386,68.731445,68.752007,68.918823,0.166817
54,TmY9q,1.036380,67.070305,0.698693,2.311896,1.223818,-51.553596,10.000000,205.373154,0.000000,-50.000000,1.039751,349.516144,14.504947,14.571239,14.616149,0.044910,67.069092,67.138008,67.184723,0.046715,67.069092,67.070290,67.076889,0.006599
55,TmY9q__perp,1.006467,67.829628,0.698693,1.144806,-0.842755,-49.217262,10.000000,198.310638,0.000000,-50.000000,1.021575,346.242950,16.395004,16.514626,16.602177,0.087551,67.827477,67.949677,68.039124,0.089447,67.827477,67.829628,67.841667,0.012039
