idx,cell,a_in,a_out,v_th,a_gt,bias_gt,h_g_max,h_g_max_off,h_v_mid,h_slope,tau_v_mid,h_v_mid_off,h_slope_off,tau_v_mid_off,v_pre,v_onset
34,Mi10,3.400423,1.617089,-50.000000,0.999660,0.000000,0.000000,0.000000,-42.228130,-0.200000,-44.261163,-43.981364,-0.200000,-44.242025,-42.859234,-36.576083
35,Mi13,3.400423,2.183271,-50.000000,0.979637,0.000000,0.000000,0.000000,-42.228130,-0.200000,-44.261163,-43.981364,-0.200000,-44.242025,-36.415346,-34.981577
36,Mi14,3.400423,3.425423,-50.000000,0.998945,0.000000,0.000000,0.000000,-42.228130,-0.200000,-44.261163,-43.981364,-0.200000,-44.242025,-28.538257,-26.857902
37,Mi15,3.400423,2.097061,-50.000000,0.996621,0.000000,0.000000,0.000000,-42.228130,-0.200000,-44.261163,-43.981364,-0.200000,-44.242025,-59.668662,-60.404482
38,Mi2,3.400423,0.455710,-50.000000,0.983007,0.000000,0.000000,0.000000,-42.228130,-0.200000,-44.261163,-43.981364,-0.200000,-44.242025,-20.367748,-13.524971
39,Tm16,3.400423,1.686296,-50.000000,0.976115,0.000000,0.000000,0.000000,-42.228130,-0.200000,-44.261163,-43.981364,-0.200000,-44.242025,-62.782609,-63.440925
40,Tm20,3.400423,0.647149,-50.000000,0.963804,0.000000,0.000000,0.000000,-42.228130,-0.200000,-44.261163,-43.981364,-0.200000,-44.242025,-25.194720,-24.316607
41,Tm21,3.400423,3.954700,-50.000000,1.020140,0.000000,0.000000,0.000000,-42.228130,-0.200000,-44.261163,-43.981364,-0.200000,-44.242025,-33.943183,-29.763182
42,Tm27,3.400423,2.347621,-50.000000,0.988400,0.000000,0.000000,0.000000,-42.228130,-0.200000,-44.261163,-43.981364,-0.200000,-44.242025,-10.447524,-2.508005
43,Tm5a,3.400423,4.553839,-50.000000,1.031959,0.000000,0.000000,0.000000,-42.228130,-0.200000,-44.261163,-43.981364,-0.200000,-44.242025,-54.268627,-53.339136
