panel,cell,modality,stimulus,time_s,dff_percent
B,L1,voltage,light,0.0,0.0851063829787234
B,L1,voltage,light,0.004347826086956522,-0.0851063829787234
B,L1,voltage,light,0.008695652173913044,-0.0851063829787234
B,L1,voltage,light,0.013043478260869565,-0.0851063829787234
B,L1,voltage,light,0.017391304347826087,-0.2127659574468085
B,L1,voltage,light,0.021739130434782608,-1.6595744680851063
B,L1,voltage,light,0.02608695652173913,-1.1063829787234043
B,L1,voltage,light,0.030434782608695653,-1.9574468085106382
B,L1,voltage,light,0.034782608695652174,-2.893617021276596
B,L1,voltage,light,0.0391304347826087,-3.021276595744681
B,L1,voltage,light,0.043478260869565216,-2.382978723404255
B,L1,voltage,light,0.04782608695652174,-1.3617021276595744
B,L1,voltage,light,0.05217391304347826,-0.0851063829787234
B,L1,voltage,light,0.05652173913043478,1.0212765957446808
B,L1,voltage,light,0.06086956521739131,1.9148936170212767
B,L1,voltage,light,0.06521739130434782,2.382978723404255
B,L1,voltage,light,0.06956521739130435,2.4680851063829787
B,L1,voltage,light,0.07391304347826087,2.5531914893617023
B,L1,voltage,light,0.0782608695652174,2.5106382978723403
B,L1,voltage,light,0.08260869565217391,2.297872340425532
B,L1,voltage,light,0.08695652173913043,2.0
B,L1,voltage,light,0.09130434782608696,1.702127659574468
B,L1,voltage,light,0.09565217391304348,1.446808510638298
B,L1,voltage,light,0.1,1.3191489361702127
B,L1,voltage,light,0.10434782608695652,1.1914893617021276
B,L1,voltage,light,0.10869565217391304,1.1063829787234043
B,L1,voltage,light,0.11304347826086956,1.1063829787234043
B,L1,voltage,light,0.11739130434782609,1.1063829787234043
B,L1,voltage,light,0.12173913043478261,1.1063829787234043
B,L1,voltage,light,0.12608695652173912,1.0212765957446808
B,L1,voltage,light,0.13043478260869565,1.0212765957446808
B,L1,voltage,light,0.13478260869565217,0.9787234042553191
B,L1,voltage,light,0.1391304347826087,0.9361702127659575
B,L1,voltage,light,0.14347826086956522,0.851063829787234
B,L1,voltage,light,0.14782608695652175,0.851063829787234
B,L1,voltage,light,0.15217391304347827,0.8936170212765957
B,L1,voltage,light,0.1565217391304348,0.851063829787234
B,L1,voltage,light,0.1608695652173913,0.723404255319149
B,L1,voltage,light,0.16521739130434782,0.6382978723404256
B,L1,voltage,light,0.16956521739130434,0.5957446808510638
B,L1,voltage,light,0.17391304347826086,0.5957446808510638
B,L1,voltage,light,0.1782608695652174,0.6382978723404256
B,L1,voltage,light,0.1826086956521739,0.5957446808510638
B,L1,voltage,light,0.18695652173913044,0.5957446808510638
B,L1,voltage,light,0.19130434782608696,0.5531914893617021
B,L1,voltage,light,0.1956521739130435,0.46808510638297873
B,L1,voltage,light,0.2,0.425531914893617
B,L1,voltage,light,0.20434782608695654,0.3829787234042553
B,L1,voltage,light,0.20869565217391303,0.46808510638297873
B,L1,voltage,light,0.21304347826086956,0.5531914893617021
B,L1,voltage,light,0.21739130434782608,0.6808510638297872
B,L1,voltage,light,0.2217391304347826,0.723404255319149
B,L1,voltage,light,0.22608695652173913,0.6808510638297872
B,L1,voltage,light,0.23043478260869565,0.6382978723404256
B,L1,voltage,light,0.23478260869565218,0.5531914893617021
B,L1,voltage,light,0.2391304347826087,0.425531914893617
B,L1,voltage,light,0.24347826086956523,0.2978723404255319
B,L1,voltage,light,0.24782608695652175,0.2553191489361702
B,L1,voltage,light,0.25217391304347825,0.2553191489361702
B,L1,voltage,light,0.2565217391304348,0.2978723404255319
B,L1,voltage,light,0.2608695652173913,0.3404255319148936
