idx,cell,a_in,a_out,v_th,a_gt,bias_gt,tau_lp,tau_hp,v_rest,a_slow,v_pre,v_onset
0,R1-6,1.143057,3.797195,-31.634468,0.969429,0.000000,10.000000,200.676066,-50.000000,0.000000,-29.405869,-29.406020
1,R7,1.143057,4.443038,-34.230859,0.957608,0.000000,10.000000,194.910446,-50.000000,0.000000,-30.003003,-30.003959
2,R8,1.143057,10.000000,-30.000000,1.014305,0.000000,45.378388,201.190921,-50.000000,0.000000,-30.899438,-30.899396
3,L1,1.143057,1.797507,-30.447778,5.759485,0.000000,10.200785,256.087764,0.600000,0.600000,-0.469242,-0.471586
4,L2,1.143057,3.048863,-30.000000,4.234649,0.000000,10.000000,177.443999,0.600000,0.600000,-3.289768,-3.291898
5,L3,1.143057,0.229513,-68.829900,0.398254,0.000000,10.000000,209.781481,-50.000000,0.000000,-47.604882,-47.580764
6,L4,1.143057,0.754672,-56.951637,0.859842,0.000000,10.854832,237.001485,-20.000000,1.000000,-20.000000,-20.001739
7,L5,1.143057,2.908970,-42.677282,2.927179,0.000000,10.000000,203.251883,-20.000000,1.000000,-20.000000,-20.004837
8,Mi1,1.143057,5.464974,-39.731188,2.777222,0.000000,16.184192,207.553522,-50.000000,0.000000,-47.615774,-47.617856
9,Tm3,1.143057,9.003584,-30.056467,0.921819,0.000000,10.000000,203.734062,-50.000000,0.000000,-37.260017,-37.257769
10,Mi4,1.143057,6.298711,-57.322004,3.664792,0.000000,10.000000,191.804673,-50.000000,0.000000,-59.034091,-59.595686
11,Mi9,1.143057,7.554835,-57.641465,2.619923,0.000000,10.409158,200.319039,-50.000000,0.000000,-44.392150,-44.398412
12,T4a,1.143057,4.523021,-48.984350,0.977008,0.000000,10.000000,207.104011,-50.000000,0.000000,-49.452587,-49.453023
13,T4b,1.143057,0.295490,-47.498730,1.019666,0.000000,42.015594,203.807317,-50.000000,0.000000,-51.225773,-51.226661
14,T4c,1.143057,9.254037,-40.342735,1.043955,0.000000,10.000000,197.995156,-50.000000,0.000000,-57.450689,-57.456079
