,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Mi4,Mi9,T1,T2,T2a,T3,T4a,T4b,T4c,T4d,T5a,T5b,T5c,T5d,Tm1,Tm2,Tm20,Tm21,Tm3,Tm4,Tm9,C2,C3,Lawf1,Lawf2
R1-6,0.500000,,,5.000000,1.321501,5.000000,0.953422,,,,,0.500000,,,,,,,,,,,,,,,,,,,0.966880,0.500000,,
R7,,,0.500000,5.000000,,5.000000,,,0.955165,2.302345,5.000000,,,,,,,,,,,,,,,4.699489,,,,,,0.982563,1.058137,
R8,,0.500000,5.000000,5.000000,0.500000,5.000000,,0.500000,1.024494,0.963556,3.157682,0.500000,,,,,,,,,,,,,,5.000000,1.011069,,,,0.976041,0.957666,1.434852,0.968785
L1,0.500000,0.500000,5.000000,1.020782,5.000000,0.717106,0.971190,0.500000,0.974648,0.500000,,0.500000,1.006282,0.999228,,,,,,,,,,0.500000,1.018619,,,1.034980,,,0.957636,1.010170,,0.500000
L2,0.500000,,5.000000,0.726339,1.126941,5.000000,0.500000,2.259207,0.832526,5.000000,0.500000,2.821689,0.969360,1.014473,,,,,,,,,,2.166352,0.500000,0.500000,,0.974053,0.500000,,0.500000,0.500000,,
L3,,0.500000,1.207237,0.957456,0.500000,,,,0.982297,1.048119,0.949099,1.400559,,,,,,,,,,,,0.961487,1.029042,1.080488,1.041912,,1.042224,1.023656,1.016801,0.975298,0.973726,
L4,0.988936,,,1.039379,0.500000,0.500000,1.038026,0.986250,0.955499,,1.006599,,0.950173,,,,,,,,,,,0.996001,0.992337,,,,0.996183,0.997281,,1.017197,1.045947,1.030327
L5,,,,4.940893,1.901431,,,5.000000,0.980076,0.500000,0.959584,0.500000,0.997201,1.024146,,,,,,,,,,0.507701,0.634535,5.000000,0.989095,1.042401,1.033132,,0.688706,1.271547,1.007304,0.500000
Mi1,,0.983772,1.009286,0.949365,0.960892,,,0.963313,1.007068,1.048496,0.994639,1.003950,1.006471,0.996959,1.016243,1.015784,1.030141,1.026091,0.955374,,,,,0.998924,0.962557,0.992526,1.009124,0.980934,1.008333,,1.024477,1.049647,1.026126,1.042810
Mi4,,,,,0.500000,2.476005,,2.914845,1.038120,0.500000,5.000000,2.330750,,0.973044,,0.762474,1.003013,1.034582,0.967115,,,,,2.592852,1.875931,0.500000,,0.980426,0.990239,0.972416,1.028475,1.062327,1.479779,2.742452
Mi9,,,,,,0.500000,1.027895,,0.987039,2.302287,,,0.956034,1.297841,0.985472,0.869032,1.037288,1.045611,0.993939,,,,,5.000000,1.956181,0.556212,1.025335,1.021370,1.041270,1.030405,1.024027,,1.613309,0.500000
T1,0.500000,5.000000,0.500000,,1.737010,3.772445,,0.500000,,,0.500000,,,,,,,,,,,,,5.000000,0.973607,0.500000,,,0.972979,,,,,
T2,,,,,,,,1.026028,0.988071,,0.967276,,1.022417,1.008562,1.002010,,,,,,,,,0.795504,1.022428,,0.980666,1.004033,1.024588,,,,,0.988751
T2a,,,,,,,,,1.038284,,,,0.962829,1.022340,1.001137,,,,,,,,,0.550363,,1.986100,1.026707,0.992354,1.021740,,0.958378,,,0.863921
T3,,,,,,,,,,,,,0.962432,1.022617,1.011214,,,,1.036008,,,,,1.011196,,,1.018883,0.974180,,,,1.020803,,0.870628
T4a,,,,,,,,,,,0.500000,,,,,1.269894,1.035525,0.953695,0.972409,0.975242,,,,,,,,,,,,0.500000,,
T4b,,,,,,,,,1.027135,1.032998,0.976884,,,,,1.010301,0.981492,,0.967090,,0.998476,,,,,,,,,,,,,
T4c,,,,,,,,,,,1.015658,,0.986073,,,,,1.041458,,,,0.995625,1.007901,,,,,,,,,,,
T4d,,,,,,,,,1.027019,,,,,,,,,1.021974,1.044113,,,,0.967202,,,,,,,,,,,
T5a,,,,,,,,,,,,,0.979626,,,1.024625,,,,0.993230,1.040532,,,,1.021940,,,,,,,,,
T5b,,,,,,,,,,,,,0.976730,,,,1.039905,,,1.049667,0.988723,,,,,,,,,,,,,
T5c,,,,,,,,,,,,,1.034482,,,,,0.955899,,,0.989417,1.042887,1.009788,,,,,,,,,,,
T5d,,,,,,,,,,,,,1.008739,,,,,1.033528,1.009529,,,,1.046387,,,,,,,,,,,
Tm1,,,,,1.115498,,,2.114505,1.009072,0.500000,0.500000,5.000000,0.500000,0.503125,0.500000,,,0.984191,,0.977031,1.031795,1.039517,0.956877,0.500000,0.500000,0.500000,0.853081,0.991819,0.500000,0.938699,1.030221,0.500000,,5.000000
Tm2,,,,0.967806,0.500388,,,2.264277,1.024147,1.281508,2.144548,0.500000,0.991030,1.020857,0.986080,0.973509,,1.038896,,1.009077,1.046670,1.037229,1.022614,0.500000,,,1.042049,0.974537,1.022551,1.010147,,0.981087,0.964638,1.009013
Tm20,,,,,,,,,,2.468060,5.000000,5.000000,1.004219,0.905532,,,,,,,,,,0.500000,0.967415,4.324158,0.982370,,,0.500000,,0.500000,,
Tm21,,,,,,,,,0.951677,,,,0.989798,0.990301,,,,,,,,,,0.500000,,,0.991647,,,,,,,
Tm3,,,,1.039320,0.962371,,,,1.029000,1.020466,1.028380,,0.977365,1.009979,1.019122,1.010413,1.008803,0.998127,1.000092,,0.970974,,1.028151,,,,,0.947224,1.048628,,1.019102,1.010895,0.513604,1.029526
Tm4,,,,,0.971223,,,,1.020249,2.141116,,1.043874,1.038590,0.959757,1.016326,,,,,1.045469,0.998870,0.992141,0.991864,0.500000,0.964766,,0.983893,1.046316,0.591792,,0.989830,1.003273,,0.500000
